# Chapter 1 continuation: arcade battle and mission briefing
「いけぇええええーーーーッ！！\nブリザルド・ソーマブレイドッ！」	“上啊啊啊啊——！\n冰霜苏玛之刃！”
「甘いッ！\nエクセルインパクトッ！」	“太天真了！\n卓越冲击！”
「ぐええええーーーーーッ！！\nカウンター超必殺技だとぉおおおーーーッ！！！」	“呜啊啊啊啊——！\n居然是反击超必杀技——！！！”
（ゲーセンに響き渡る<ruby=だんまつま>断末魔</ruby>。\n俺の操作キャラはノヴァのカウンターを\nモロに受け地面に倒れ込む。）	（<ruby=だんまつま>临终哀嚎</ruby>响彻游戏厅。\n我操纵的角色正面吃下诺瓦的反击，\n倒在地上。）
「ブ、ブリュンヒルデーーーーッ！！」	“布、布伦希尔德————！”
「<ruby=私の勝利>YOU WIN</ruby>。\nくにへかえるんだな。\nおまえにもかぞくがいるだろう…。」	“<ruby=私の勝利>YOU WIN</ruby>。\n回老家去吧。\n你也有家人吧……”
（どこぞのキャラの勝利台詞を吐き捨てるノヴァ。）	（诺瓦丢下一句不知哪个角色的胜利台词。）
（俺達は今、世間でも最も人気がある対戦型格闘ゲーム\n『ソードファイターズ』で対戦をしているのである。）	（我们现在正在玩当下最受欢迎的对战格斗游戏\n《剑斗士》。）
「おいおい！俺の技の方が発生が早かったのに\n何で後出しでカウンター喰らうんだよ！\nクソゲーかよ！」	“喂喂！明明我的招式发动更快，\n为什么后出招反而能反击我！\n这是垃圾游戏吗！”
「自分が使ってるスピードタイプのキャラ、\nエクセルハートは超必殺発動時に\n5<ruby=フレーム>F</ruby>の無敵時間が発生するんスよ。」	“我使用的速度型角色，\n卓越之心发动超必杀时\n会有5<ruby=フレーム>F</ruby>的无敌时间。”
「なので、大抵の技の切り返しや\n起き上がり時のリバーサルなんかに\n効果的なんス。」	“所以很适合\n反制大多数招式，以及起身时的逆转\n。”
「ず、ずるいぞ…！\n俺のパワー系女騎士ブリュンヒルデの\n超必殺技には無敵フレームなんてないのに…！」	“太、太赖皮了……！\n我的力量型女骑士布伦希尔德\n超必杀技明明没有无敌帧……”
「ブリュンヒルデはTier最下層の弱キャラ。\nパワーは高いがどの攻撃も大振りで隙だらけで\n扱いずらいんスよねー。」	“布伦希尔德是Tier最底层的弱角。\n力量虽高，但所有攻击动作大、破绽多，\n很难用。”
「何でわざわざそんな弱いキャラ使ってんスか。\n川島さん。<ruby=ぎゃくば>逆張</ruby>りッスかー？」	“为什么偏要用这么弱的角色。\n川岛先生，你是在<ruby=ぎゃくば>反向押注</ruby>吗？”
「う、うるせー！俺は<ruby=たかびしゃ>高飛車</ruby>で自信満々な\nブリュンヒルデってキャラが好きなんだよ！」	“吵、吵死了！我就是喜欢布伦希尔德这种\n<ruby=たかびしゃ>高傲</ruby>又自信满满的角色！”
「だというのに運営から見放されて\n性能が残念になっている<ruby=ふぐう>不遇</ruby>キャラ…ッ！」	“可她却被运营抛弃，\n成了性能悲惨的<ruby=ふぐう>不幸</ruby>角色……”
