# Chapter 1 continuation: Noel's experiment and the garden memory
「……ユートは強いね。」	“……悠斗，你真坚强。”
（ッ！？）	（！？）
「……私は怖いよ。\nソードブレイカーも<ruby=だいさんせだいがた>第三世代型</ruby>も。」	“……我很害怕。\n无论是破剑者，还是<ruby=だいさんせだいがた>第三代机型</ruby>。”
（なんだ……これは……ッ。）	（这……究竟是什么……！）
「……私をここから連れ出してくれないかな？」	“……你能不能带我离开这里？”
（……ッ。頭が……割れそうだ……ッ。）	（……！我的头……像要裂开了……！）
「ちょっ…。\n川島さん、どうしたんスか…！？」	“等……\n川岛先生，你怎么了……！？”
「機体内部に異常発生。\n<ruby=ぎじこんぱくどうちょうりつ>疑似魂魄同調率</ruby>の急激な上昇を検知。」	“机体内部发生异常。\n检测到<ruby=ぎじこんぱくどうちょうりつ>模拟魂魄同步率</ruby>急剧上升。”
「う…っ、ぐぐ…ッ！」	“呜……唔唔……！”
「機体温度上昇。\n<ruby=ぎじこんぱく>疑似魂魄</ruby>から電子記憶領域へのアクセスを確認。」	“机体温度上升。\n确认从<ruby=ぎじこんぱく>模拟魂魄</ruby>访问电子记忆区域。”
「か、身体が……熱い……っ！」	“身、身体……好烫……！”
「これは……っ。\n川島さんの封印されていた記憶が\n呼び起こされようとしている……？」	“这是……！\n川岛先生被封印的记忆\n正在尝试苏醒……？”
「警告。セキュリティレベル<ruby=ファイブ>5</ruby>の情報閲覧には\n管理者権限が必要です。\nパスコードを入力してください。」	“警告。查看安保等级<ruby=ファイブ>5</ruby>的信息\n需要管理员权限。\n请输入密码。”
「あ、頭が……いてぇ……っ！」	“头、头好痛……！”
「パスコード入力。セキュリティ解除。\n警告。<ruby=さいじゅうようきみつじょうほう>最重要機密情報</ruby>へのアクセスを確認。」	“密码输入。解除安保。\n警告。确认访问<ruby=さいじゅうようきみつじょうほう>最高机密信息</ruby>。”
「が……がああ…っ！」	“啊……啊啊……！”
「<ruby=じょうほうろうえい>情報漏洩</ruby>の危険性を検知。\n<ruby=じこぼうえいききのうさどう>自己防衛機能作動</ruby>。\n強制シャットダウンします。」	“检测到<ruby=じょうほうろうえい>信息泄露</ruby>风险。\n<ruby=じこぼうえいききのうさどう>自我防卫功能启动</ruby>。\n即将强制关机。”
「―――――――ッ。」	“——————！”
「川島さん！川島さーーーん！」	“川岛先生！川岛先——生！”
科学者	科学家
「ソードブレイカーの同調率35%。\n<ruby=こんぱくせつぞく>魂魄接続</ruby>の安定性A。\n<ruby=ぎじこんぱく>疑似魂魄</ruby>への移植精度B。」	“破剑者同步率35%。\n<ruby=こんぱくせつぞく>魂魄连接</ruby>稳定性A。\n向<ruby=ぎじこんぱく>模拟魂魄</ruby>移植精度B。”
「……なんというソードブレイカーの\n同調率の高さと<ruby=こんぱくせつぞく>魂魄接続</ruby>の安定性。\nこれがレベル<ruby=ファイブ>5</ruby>の実験体の能力……。」	“……破剑者同步率竟然这么高，\n<ruby=こんぱくせつぞく>魂魄连接</ruby>也如此稳定。\n这就是等级<ruby=ファイブ>5</ruby>实验体的能力……”
「<ruby=だいななきかん>第七機関</ruby>はこんな<ruby=いつざい>逸材</ruby>を\n一体どこから見つけてくるのかしら……。\nまぁ、こちらは研究が進められればそれでいいのだけど。」	“<ruby=だいななきかん>第七机关</ruby>究竟是从哪里\n找到这种<ruby=いつざい>逸才</ruby>的……\n不过，只要研究能继续，我们就满足了。”
「それにしてもこれだけ優秀な実験体を\nわざわざ<ruby=だいさんせだいがた>第三世代型</ruby>の生産に転用するなんて\n<ruby=ていこくじゅうこうじょうそうぶ>帝国重工上層部</ruby>は一体何を考えているのやら……。」	“话说回来，拥有如此优秀的实验体，\n却偏要转用于<ruby=だいさんせだいがた>第三代机型</ruby>的生产，\n<ruby=ていこくじゅうこうじょうそうぶ>帝国重工高层</ruby>到底在想什么……”
「スキャニング完了。\n計測データのアナリティクス同期完了。」	“扫描完成。\n测量数据分析同步完成。”
「実験終了。\n被検体を覚醒します。」	“实验结束。\n唤醒实验对象。”
実験体の少女	实验体少女
「……う……ん。\n終わった……？」	“……嗯……\n结束了吗……？”
「ノエル。検査終了よ。\nもう起きていいわ。」	“诺艾尔，检查结束了。\n你可以醒来了。”
「……うん。」	“……嗯。”
「気分はどう？」	“感觉怎么样？”
「……気持ち悪い。」	“……很不舒服。”
「データ解析中の<ruby=こんぱくせつぞく>魂魄接続</ruby>の影響ね。\n測定器が被検体に強制的に<ruby=こんぱくせつぞく>魂魄接続</ruby>を行うから\n異物が混入したような気持ち悪さが出るのよ。」	“这是数据分析时进行<ruby=こんぱくせつぞく>魂魄连接</ruby>的影响。\n测量仪会强制对实验对象进行<ruby=こんぱくせつぞく>魂魄连接</ruby>，\n所以会产生仿佛混入异物般的不适感。”
「……ドクターの言う事は\n難しくてよくわからない。」	“……博士说的话\n太难了，我听不懂。”
「理解しなくていいわ。\nあなたは私の言う事をだけを\n聞いてればいいの。」	“不需要理解。\n你只要听我的话\n就够了。”
「今日の数値も良好。\n良いデータの推移をしているわ。」	“今天的数值也很好。\n数据变化趋势令人满意。”
「この調子なら<ruby=だいさんせだいがた>第三世代型</ruby>の<ruby=りんしょうじっけん>臨床実験</ruby>は\n問題無く実施出来そうね。」	“照这个势头，<ruby=だいさんせだいがた>第三代机型</ruby>的<ruby=りんしょうじっけん>临床实验</ruby>\n应该可以顺利进行。”
「私……オートマタになるの？」	“我……会变成自动人偶吗？”
「あなたの<ruby=こんぱく>魂魄</ruby>を元に<ruby=だいさんせだいがた>第三世代型</ruby>の\n<ruby=ぎじこんぱく>疑似魂魄</ruby>が生成されるの。」	“会以你的<ruby=こんぱく>魂魄</ruby>为基础，生成<ruby=だいさんせだいがた>第三代机型</ruby>的\n<ruby=ぎじこんぱく>模拟魂魄</ruby>。”
「レベル<ruby=ファイブ>5</ruby>のソードブレイカー使いと\n同等のスペックを持つ\nオートマタが量産される。」	“将量产拥有\n与等级<ruby=ファイブ>5</ruby>破剑者使用者\n同等性能的自动人偶。”
「今まで誰も到達出来なかった<ruby=きんき>禁忌</ruby>の領域。\nオートマタの新しい可能性。<ruby=けんま>剣魔</ruby>など敵ではない。\n世界のパワーバランスを崩壊させる革命的な計画。」	“这是至今无人抵达的<ruby=きんき>禁忌</ruby>领域。\n自动人偶的新可能性，<ruby=けんま>剑魔</ruby>也不再是敌手。\n这是足以颠覆世界力量平衡的革命计划。”
「<ruby=ぜんじんみとう>前人未到</ruby>。ソードブレイカーを振るう\nオートマタの量産化。\nそれがこの <ruby=プロジェクトノヴァ>Project-NOVA</ruby> 。」	“<ruby=ぜんじんみとう>前人未到</ruby>的破剑者\n自动人偶量产化计划。\n这就是<ruby=プロジェクトノヴァ>Project-NOVA</ruby>。”
「光栄に思いなさい。ノエル。\nあなたの力は新時代を作る。\nあなたは奇跡の<ruby=いしずえ>礎</ruby>となるのよ。」	“感到光荣吧，诺艾尔。\n你的力量将创造新时代。\n你会成为奇迹的<ruby=いしずえ>基石</ruby>。”
「わからない……。\n私にはそんな力なんてない……。」	“我不明白……\n我根本没有那种力量……”
「勿体無いわね。\n自分の価値を理解していないだなんて。」	“真是浪费。\n居然不明白自己的价值。”
「あなたは特別な存在なの。\n誰もが<ruby=うらや>羨</ruby>む、誰もが喉から手が出るほど\n欲する力を持った特別な存在。」	“你是特殊的存在。\n拥有人人<ruby=うらや>羡慕</ruby>、人人都渴望\n不惜伸手争抢的力量。”
「帝国重工はついに手に入れたのよ。\n世界を揺るがす強力な力をね。」	“帝国重工终于得到了\n足以撼动世界的强大力量。”
「そんなのどうだっていい……。\n私はただ剣魔から皆を救いたいだけ……。」	“那些都无所谓……\n我只是想从剑魔手中救下大家……”
「剣魔は<ruby=くちく>駆逐</ruby>出来るわ。\n<ruby=プロジェクトノヴァ>Project-NOVA</ruby>が成功すればね。」	“剑魔<ruby=くちく>可以消灭</ruby>。\n只要<ruby=プロジェクトノヴァ>Project-NOVA</ruby>成功就行。”
「さぁ、今日の実験は終了よ。\n部屋に戻りなさい。」	“好了，今天的实验结束。\n回房间去吧。”
「……はい。」	“……是。”
「……<ruby=いんき>陰気</ruby>な子。」	“……真是个<ruby=いんき>阴郁</ruby>的孩子。”
「ロック解除。\n実験体ID-0013入室を許可します。」	“解除锁定。\n允许实验体ID-0013进入。”
「……番号で呼ばないでよ。\n私にはノエルって名前があるんだ。」	“……别叫我编号。\n我有名字，我叫诺艾尔。”
「よー。ノエル。\nおかえり。」	“哟，诺艾尔。\n欢迎回来。”
「……ユート！\n来てたんだ！」	“……悠斗！\n你来了啊！”
「言っただろ。また来るって。」	“我说过会再来的吧。”
「うん、そうだね。\n約束、守ってくれたね。」	“嗯，是啊。\n你遵守了约定。”
「それにしてもよくここに入れたね。」	“不过，你居然能进到这里来。”
「何か俺の身体ちょっとトクベツらしくて\n大体のドアは普通に開けられるんだよな。」	“我的身体似乎有点特别，\n大多数门都能直接打开。”
「へー。顔パスだ。」	“哦——刷脸通行。”
「VIPなのかもしれない。」	“说不定我是VIP。”
「大御所さんだ。」	“原来是大人物。”
「ノエル、今ヒマか？」	“诺艾尔，现在有空吗？”
「うん。見ての通り、\n今日の実験はおしまい。」	“嗯。你也看到了，\n今天的实验结束了。”
「じゃあ、\nこの前言ってた庭園に行ってみようぜ。\nあそこは景色がいいんだ。」	“那我们去\n之前说过的庭园看看吧。\n那里景色很美。”
「うん！行こう行こう！」	“嗯！走吧走吧！”
「わー！すごい！\nとっても綺麗！」	“哇！好漂亮！\n真的好美！”
「研究所の中に\nこんなところがあったんだね。」	“研究所里\n居然有这种地方。”
「どうだい。いい場所だろ？\n俺が見つけた穴場スポットさ。」	“怎么样，不错吧？\n这是我发现的秘密景点。”
「うん。とっても素敵！」	“嗯，真的很棒！”
「ユート、すごいね。\nこんな良い場所を知ってるなんて。」	“悠斗，你真厉害。\n居然知道这么好的地方。”
「俺はいつも研究所内を探検してるからな。\n他のおススメスポットも知ってるんだぜ。」	“我经常在研究所里探险。\n还知道其他推荐景点呢。”
「いいないいなー。\n他の場所も教えてよー。」	“真好真好——\n其他地方也带我去看看嘛——”
「また今度な。\n今日はここでのんびり過ごすとしようぜ。」	“下次再说。\n今天就在这里悠闲地待着吧。”
「うん、絶対だよ。」	“嗯，说定了。”
「みてみてユート。\n<ruby=よつば>四葉</ruby>のクローバーあったよ。」	“快看，悠斗。\n我找到<ruby=よつば>四叶</ruby>草了。”
「四葉のクローバー？\n子供っぽいところあるよな。\n俺より年上なのに。」	“四叶草？\n你也有孩子气的一面嘛。\n明明比我年长。”
「歳は関係ないでしょ。\n四葉のクローバーはいつだって\n見つけたら嬉しいものだから。」	“年龄又没关系。\n四叶草无论什么时候\n找到都会让人开心。”
「そういうもんかねえ。」	“是这样吗。”
「ユートは大人ぶろうとしているね。\n子供は子供っぽくしなきゃだよ。」	“悠斗总想装成熟。\n孩子就该有孩子的样子嘛。”
「はい。そんな君に\n四葉のクローバーをプレゼント。\nこれで幸せが訪れるよ。」	“来，送给这样的你\n一株四叶草。\n幸福会因此降临哦。”
「はいはい。\nせっかくだから幸せをもらっときますか。」	“好好好。\n难得你送我，那我就收下这份幸福吧。”
「素直でよろしい。」	“真是个诚实的好孩子。”
「………幸せ、か。」	“……幸福吗。”
「なんだよ。\n急にマジトーンになって。」	“怎么了？\n突然这么认真。”
「私、ソードブレイカーを\n扱える特別な存在なんだって。」	“听说我是一名\n能使用破剑者的特殊存在。”
「ソードブレイカー…か。\nじゃあ、ノエルもレベル<ruby=ファイブ>5</ruby>なんだな。」	“破剑者……吗。\n那诺艾尔也是等级<ruby=ファイブ>5</ruby>吧。”
「うん。だからここに連れて来られたの。」	“嗯，所以才被带到这里。”
「ドクターが言ってた。\n私が計画に参加すれば<ruby=だいさんせだいがた>第三世代型</ruby>オートマタが\nソードブレイカーを扱えるようになるんだって。」	“博士说过，\n只要我参加计划，<ruby=だいさんせだいがた>第三代机型</ruby>自动人偶\n就能使用破剑者。”
「これは新時代を作る革命的な計画だって。\n剣魔だって駆逐出来るすごいことだって。」	“这是创造新时代的革命计划，\n甚至能消灭剑魔，厉害得不得了。”
「正直、それがどのぐらいすごいのか\nよくわからないけど……。」	“老实说，我不太明白\n这到底有多厉害……”
「剣魔の脅威からみんなを助けられるなら\nいいかなって……。」	“只要能把大家从剑魔的威胁中救出来，\n那就好……”
「みんな？」	“大家？”
「私が居た孤児院やこの街の人たち。」	“我住过的孤儿院，还有这座城市的人们。”
「……私のパパとママは剣魔に殺されちゃったから。\n剣魔のせいでそんな悲しい事、\nもう起きて欲しくないんだ。」	“……因为我的爸爸妈妈被剑魔杀死了。\n我不想再因为剑魔\n发生那样悲伤的事。”
「優しいんだな。ノエルは。」	“诺艾尔，你真温柔。”
「そう……かな。\n臆病なだけかも。」	“是……吗？\n也许我只是胆小。”
