# Chapter 1 continuation: preparing the laboratory infiltration
「生体工学研究所は数年前に\n爆発事故が発生して以来閉鎖中だ。」	“生体工学研究所自几年前发生爆炸事故后，\n就一直处于关闭状态。”
「建物内の警備オートマタも\n機能停止しているはずだ。\n潜入は<ruby=ひかくてきようい>比較的容易</ruby>なはずだ。」	“建筑内的警备自动人偶\n应该也已经停止运作。\n潜入应该<ruby=ひかくてきようい>比较容易</ruby>。”
「とはいえ、研究所閉鎖時に帝国重工が\n証拠となるデータを\n全て削除している可能性は捨てきれない。」	“不过，研究所关闭时，帝国重工\n也可能已经把作为证据的数据\n全部删除了，这种可能不能排除。”
「研究所に行っても\n何も成果が得られない場合もあるだろう。」	“就算去了研究所，\n也有可能什么成果都得不到。”
「そこは出たとこ勝負というか、\n行ってみないとわかりませんねえ。」	“那就只能走一步看一步了，\n不去看看也不知道嘛。”
「はー。<ruby=るすばんぐみ>留守番組</ruby>は気楽でいいッスねー。\nこちとら<ruby=げんばぐみ>現場組</ruby>は\n現地に潜入しないといけないってのに。」	“唉——<ruby=るすばんぐみ>留守组</ruby>就是轻松啊。\n我们<ruby=げんばぐみ>现场组</ruby>还得\n亲自潜入那地方呢。”
「事件は会議室で起きてるんじゃない！\n現場で起きているんだ！」	“事件不是发生在会议室！\n而是发生在现场！”
「はいはい。\nですから実際に現場を見て来てくださいね。」	“好好好。\n所以请你们亲自去现场看看吧。”
「やれやれ。川島さんからも\nこのわからず屋に\n何か言ってやってくださいよ。」	“真是的，川岛先生也帮忙\n对这个顽固的家伙\n说几句吧。”
「生体工学研究所……か。」	“生体工学研究所……吗。”
「お。何<ruby=センチメンタル>センチ</ruby>になってるんスか？\n生体工学研究所に気になることでも？」	“哦，怎么突然<ruby=センチメンタル>多愁善感</ruby>起来了？\n你对生体工学研究所有什么在意的事吗？”
「まぁな。俺は元々、\nあの研究所で暮らしてたんだ。」	“算是吧。我原本\n就住在那座研究所里。”
「ありゃ、そうなんスか？」	“哎呀，是这样吗？”
「川島はかつて生体工学研究所の実験体として\nとある計画に参加していたのだ。」	“川岛曾经作为生体工学研究所的实验体，\n参与过某项计划。”
「ところが、数年前の研究所の爆発で\n施設は閉鎖と同時に計画は<ruby=とうけつ>凍結</ruby>された。」	“然而，几年前研究所发生爆炸，\n设施关闭的同时，计划也被<ruby=とうけつ>冻结</ruby>了。”
「そして、計画に参加していた実験体は\n各自、自由を手にしたというわけだ。」	“于是，参与计划的实验体\n各自获得了自由。”
「その実験体の一人が川島さんだったんスねー。\nうおー。すげー。急にドラマティックな設定\n盛り込んで来るじゃないスか。」	“原来川岛先生就是其中一名实验体啊——\n哇，好厉害。突然塞进这么戏剧性的设定，\n真是让人猝不及防。”
「俺がかつて実験体だったという話を聞いて\nテンション高くなるとか、\nお前やっぱおかしいよ。」	“听说我以前是实验体就兴奋成这样，\n你果然\n不太正常。”
「っていうか、影山。\n何で俺の過去まで知ってるんだ？」	“话说回来，影山。\n你怎么连我的过去都知道？”
「それはそこの諜報員から聞いた。」	“我是从那边的情报员那里听说的。”
「はいはい。お忘れですか？川島さん。\n私が<ruby=いかるがけいさつちょうほうぶ>斑鳩警察諜報部</ruby>の<ruby=ちょうほういん>諜報員</ruby>だという事を。」	“好啦好啦，忘了吗？川岛先生。\n我可是<ruby=いかるがけいさつちょうほうぶ>斑鸠警察情报部</ruby>的<ruby=ちょうほういん>情报员</ruby>。”
「なるほど。\nやけに俺の素性に詳しいと思ったら\n天道に調べさせてやがったのか。」	“原来如此。\n我还奇怪你为什么这么了解我的底细，\n原来是让天道调查的。”
「作戦に関わる人物の情報は事前に調査を行う。\nそれが作戦の成功率を\n上げるのに重要なファクターだ。」	“涉及作战人员的信息必须事先调查。\n这是提高作战成功率\n的重要因素。”
「天道さんは川島さんの情報を売る事で\nドクターからの依頼料をチャラにしてるんスよ。」	“天道先生把川岛先生的信息卖给博士，\n用来抵消委托费用。”
「天道テメェ。\n文字通り俺を売りやがったな。」	“天道，你这混蛋。\n你还真把我给卖了。”
「ちょっとノヴァさん。\nどうしてバラしてしまうんですか。」	“等一下，诺瓦小姐。\n为什么要把这种事说出来？”
「人聞きが悪いですねえ。\nそんな事をしてしまったら、\n私の評判が悪くなってしまうじゃないですか。」	“这话听起来真难听。\n要是这种事传出去，\n我的名声不就更差了吗？”
「元からお前の評判は悪いよ。」	“你的名声本来就很差。”
「これはこれは穏やかじゃないですねえ。」	“哎呀呀，这话可不太温和。”
「ですが、川島さんの過去は\n今回の我々の任務においては\n重要な意味がありそうです。」	“不过，川岛先生的过去\n对我们这次任务\n似乎有着重要意义。”
「どういう事だ？」	“什么意思？”
「フェイリクスが川島を憎む理由。\n一見、何の共通点も無い両者だったが\n同じ生体工学研究所出身だという事が判明した。」	“费利克斯憎恨川岛的理由。\n乍看毫无共同点的两人，\n却被发现都出身于同一座生体工学研究所。”
「つまり、川島が気づいていないだけで\nフェイリクスと接触していた可能性がある。」	“也就是说，可能只是川岛自己没有察觉，\n其实曾经和费利克斯接触过。”
「今回の生体工学研究所への潜入調査は\nノエルの正体およびフェイリクスと川島の関連性を\n確かめる事が目的だ。」	“这次潜入生体工学研究所的调查，\n目的就是确认诺艾尔的身份，\n以及费利克斯和川岛之间的关联。”
「まさに<ruby=いっせきにちょう>一石二鳥</ruby>ですね。」	“真是<ruby=いっせきにちょう>一石二鸟</ruby>。”
「じゃあ、久しぶりに\n川島さんの<ruby=じっかきせい>実家帰省</ruby>になるわけッスね。」	“那就是说，川岛先生要\n久违地<ruby=じっかきせい>回老家</ruby>一趟喽。”
「馬鹿言っちゃいけねえ。\n俺の実家はユリ姉と暮らしているあの家だけさ。」	“少说傻话。\n我住的那栋、和百合姐一起生活的房子，才是我的家。”
「だが、そんな俺達の家に\nフェイリクスとかいう偽物野郎が\n居座ってやがる。」	“可是那栋属于我们的家，\n却被一个叫费利克斯的冒牌货\n赖着不走。”
「生体工学研究所、俺は行くぜ。\nフェイリクスをぶっ倒す\n手掛かりになるのならな。」	“生体工学研究所，我去。\n只要能找到\n打倒费利克斯的线索。”
「ふっ。意気込みや良し。」	“哼，干劲不错。”
「ならば行こう！相棒！」	“那就出发吧！搭档！”
「おうよ！」	“好嘞！”
「おっせーな。ノヴァのやつ。」	“真慢啊，诺瓦那家伙。”
（待ち合わせ時間は既に３０分も過ぎている。\nノヴァはそもそも時間にルーズ過ぎて\n<ruby=ちこくじょうしゅうはん>遅刻常習犯</ruby>である。）	（约定时间已经过去整整三十分钟。\n诺瓦本来就没有时间观念，\n是个<ruby=ちこくじょうしゅうはん>惯犯级迟到者</ruby>。）
（っていうか、何で一緒に住んでるのに\n別々に待ち合わせさせるのか。）	（话说回来，明明住在一起，\n为什么还要分头集合？）
「はろはろー。\nお待たー。」	“哈喽哈喽。\n久等啦。”
（そこへパタパタと手を振りながら\nノヴァが駆け寄ってくる。）	（这时，诺瓦一边啪嗒啪嗒地挥手，\n一边跑了过来。）
（どうやら今回は\nちゃんと地上から登場して来たようだ。）	（看来这次\n她总算是从地面正常登场了。）
「もう待ちくたびれたわ。\n……っていうか、何その<ruby=かっこう>恰好</ruby>。」	“我都等得不耐烦了。\n……话说，你这是什么<ruby=かっこう>打扮</ruby>？”
「お。まず服装チェックから入るのは良いですな。」	“哦，一上来先检查服装，不错嘛。”
「デート用におめかしして来たんスよ。\nだから時間掛かっちゃって。」	“我可是为约会精心打扮过来的。\n所以才花了点时间。”
「いやいや、これから<ruby=ていこくじゅうこうせいたいこうがくけんきゅうじょ>帝国重工生体工学研究所</ruby>に\n潜入調査だってのに何でデート気分で来ちゃうんだよ。」	“不对吧，我们接下来要潜入调查\n<ruby=ていこくじゅうこうせいたいこうがくけんきゅうじょ>帝国重工生体工学研究所</ruby>，你为什么要摆出约会的心情来？”
「ちっちっち。\nわかってないッスねー。\n川島さん。潜入調査だからこそッスよ。」	“啧啧啧。\n你不懂啊，川岛先生。\n正因为是潜入调查才要这样嘛。”
「敵に潜入調査という事を気付かれてはならない。\nデート中のカップルを<ruby=よそお>装</ruby>い、自然な感じに\n潜り込む。これぞ潜入の基本ッス。」	“绝不能让敌人察觉我们在调查。\n伪<ruby=よそお>装</ruby>成约会中的情侣，自然地\n混进去。这就是潜入的基本。”
「まずデート中のカップルは研究所なんかに行かないし\nそもそも俺がオートマタの時点でカップルに見えないし\n色々不自然過ぎるだろうが。」	“首先，约会中的情侣不会去什么研究所，\n再说我一看就是自动人偶，根本不像情侣，\n怎么看都太不自然了。”
「木を隠すなら森の中ってね。\nちょっと派手に見えても<ruby=うぞうむぞう>有象無象</ruby>の中に\n溶け込めてしまうものッスよ。」	“所谓把树藏进森林嘛。\n就算看起来稍微惹眼，\n也能混进<ruby=うぞうむぞう>芸芸众生</ruby>里。”
「森の中にクリスマスツリー立ててるようなもんだから。\nちょっと派手どころか\nイルミネーションの主張が強すぎるだろ。」	“你这分明是在森林里竖起圣诞树。\n何止是有点惹眼，\n灯饰也太抢戏了吧。”
「それにここに来たのは\nちょっとした準備の為ッス。」	“而且我们来这里\n是为了做点准备。”
「準備？」	“准备？”
「そッス。潜入調査も\n<ruby=まるごし>丸腰</ruby>じゃ行けないって事ッスよ。」	“没错。潜入调查\n也不能<ruby=まるごし>赤手空拳</ruby>地去嘛。”
「さあ、行きましょう。」	“好了，我们走吧。”
（ノヴァは俺の手を取り歩き出す。）	（诺瓦拉起我的手，迈步走去。）
「お、おい。ノヴァ。\n行くってどこに？」	“喂、喂，诺瓦。\n你说走，要去哪儿？”
「川島さんも知ってるとこッスよ。」	“去川岛先生也知道的地方。”
「ここは……いつぞやのアングラショップか。」	“这里是……以前来过的地下商店？”
「……ここに来たら\nそれを言うノルマでもあるのか？」	“……每次来这里，\n都非得说这句不可吗？”
「よお。来たか。」	“哟，来了啊。”
「おっす。テンチョー。」	“嗨，店长。”
「例のブツは？」	“那件东西呢？”
「安心しろ。ちゃんと手に入れてある。」	“放心，已经弄到手了。”
「さっすがー。」	“不愧是店长。”
「つーか、\nいつも<ruby=のうき>納期</ruby>がギリギリ過ぎるんだよ。\nもっと余裕持てねぇのか？」	“话说回来，\n你每次的<ruby=のうき>交货期限</ruby>都卡得太死了。\n就不能留点余裕吗？”
「何事にも\n<ruby=しゅんぱつりょく>瞬発力</ruby>とスピード感というものは\n必要なのですよ。」	“做任何事\n都需要<ruby=しゅんぱつりょく>爆发力</ruby>和速度感，\n这是必要的。”
「フッ<ruby=かる>軽</ruby>ッス。フッ<ruby=かる>軽</ruby>。」	“真<ruby=かる>轻</ruby>啊。真<ruby=かる>轻</ruby>。”
「なんでもいいが、\nキッチリ特急料金は貰うからな。」	“随你怎么说，\n特急费我可要一分不少地收。”
「ほいッス。\nいつも通り指定の口座に振り込んでおくッス。\n天道さんが。」	“好嘞。\n照惯例打进指定账户，\n由天道先生负责。”
「天道は諜報部の会計係なのかよ。」	“天道是情报部的会计吗？”
「ま、金さえ貰えれば文句はねぇがな。」	“只要钱到手，我就没意见。”
「ほら、お目当ての生体工学研究所の\nセキュリティカードだ。」	“给，这就是你们要的\n生体工学研究所安保卡。”
「おー。これこれ。\n助かるッス。」	“哦——就是这个。\n帮大忙了。”
「そのカードで<ruby=レベルフォー>LEVEL4</ruby>までの\nセキュリティの扉が開く。ガサ入れなら\n<ruby=レベルフォー>LEVEL4</ruby>までで十分だろ。」	“用那张卡可以打开\n<ruby=レベルフォー>LEVEL4</ruby>以下的安保门。\n要搜查的话，到<ruby=レベルフォー>LEVEL4</ruby>就够了吧。”
「そッスねー。実験施設に出入りさえ\n出来れば何かしらの手がかりは\n手に入るでしょー。」	“是啊。只要能进出实验设施，\n应该就能找到一些线索，\n总会有收获的。”
「なるほどな。研究所に侵入する為に\nカードキーを取り寄せてたのか。」	“原来如此。你是为了潜入研究所，\n才弄来这张门卡的。”
「そんなもの一体、\nどこから手に入れて来るんだ。\nこの店は。」	“这种东西到底是\n从哪里弄来的？\n这家店也太夸张了。”
「俺に手に入れられねぇブツはねーんだよ。\nそういう商売だからな。」	“没有我弄不到的东西。\n我做的就是这门生意。”
「ちっちっち。川島さん。\nだからこそ―――――」	“啧啧啧，川岛先生。\n正因为如此——”
「―――――<ruby=地下へようこそ>Welcome to Underground</ruby>。」	“——————<ruby=地下へようこそ>Welcome to Underground</ruby>。”
