# Chapter 1 continuation: Aizen
「な、何て身のこなしだ…！」	“好、好敏捷的身手……！”
野球少年A	棒球少年A
「す、すみません！怪我は無いですか！？」	“对、对不起！你没有受伤吧！？”
「馬鹿野郎ッ！\nサツキに当たったらどうする！？\nバッティング練習ならグラウンドでやれッ！」	“蠢货！\n要是打中皋月怎么办！？\n想练习击球就去操场！”
（黒いオートマタは野球ボールを\n少年に投げ返した。）	（黑色自动人偶将棒球\n扔回给了少年。）
「ご、ごめんなさいーーーッ！」	“对、对不起————！”
（そして、当のサツキは\nそんな<ruby=ききてきじょうきょう>危機的状況</ruby>になっているなど\n気付きもせず、テクテクと歩いていた。）	（而当事人皋月\n完全没有察觉自己刚才身处<ruby=ききてきじょうきょう>危险境地</ruby>，\n仍旧一步一步往前走着。）
「謎のオートマタの\nファインプレーのおかげで\n五月雨さんは無事みたいッスね。」	“多亏那台神秘自动人偶的\n精彩救球，\n皋月同学似乎平安无事。”
「おいテメェ。何者だ？\n何故、サツキのストーカーをしてやがる。」	“喂，你这家伙是什么人？\n为什么一直跟踪皋月？”
「俺の名はアイゼン。\nサツキは俺が守る。」	“我的名字是艾森。\n皋月由我来保护。”
「は？テメェ。\nサツキとはどういう関係だ？」	“哈？你这家伙，\n和皋月是什么关系？”
「お前が知る必要は無い。\n川島ユート。」	“你没有必要知道。\n川岛悠斗。”
「何だと……ッ！？\nっていうか、何で俺の名前を知っている？」	“你说什么……！？\n话说，你为什么知道我的名字？”
「いや、それ以前にどうして俺が\n川島ユートだとわかる？\n今の俺はオートマタになっているというのに。」	“不，在那之前，你为什么知道\n我就是川岛悠斗？\n现在的我明明已经变成了自动人偶。”
「<ruby=すがたかたち>姿形</ruby>は重要ではない。\nお前の<ruby=こんぱく>魂魄</ruby>が、\nお前が川島ユートだという事を証明している。」	“<ruby=すがたかたち>外在形貌</ruby>并不重要。\n你的<ruby=こんぱく>魂魄</ruby>，\n证明了你就是川岛悠斗。”
「サツキに近づく奴は\nすべて俺のブラックリストに入っている。\nお前も例外ではない。」	“所有接近皋月的人，\n都被列入了我的黑名单。\n你也不例外。”
「なるほどー。\nアイゼンさんはガチめのストーカーでしたか。」	“原来如此——。\n艾森先生果然是个不折不扣的跟踪狂。”
「<ruby=はくちゅうどうどう>白昼堂々</ruby>サツキを<ruby=つ>尾</ruby>け回すのはやめろ！\nお前はサツキのプライバシーを<ruby=しんがい>侵害</ruby>している！」	“别再<ruby=はくちゅうどうどう>光天化日</ruby>之下<ruby=つ>跟踪</ruby>皋月！\n你正在<ruby=しんがい>侵犯</ruby>皋月的隐私！”
「お前も見たはずだ。俺が居なければ\nサツキに野球ボールが直撃し、\n大怪我を負っていただろう。」	“你刚才也看到了。如果没有我，\n棒球就会直接击中皋月，\n令她身受重伤。”
「……そ、それは！」	“……这、这个！”
「この世界は危険が多すぎる。\nだから俺がサツキを守ってやらなくてはならないんだ。」	“这个世界充满了太多危险。\n所以我必须保护皋月。”
「いいか。俺の邪魔をするな。」	“听好了。别妨碍我。”
「アイゼン……。\n一体、何者なんだ……。」	“艾森……\n他到底是什么人……”
「五月雨さんを庇ったって事は\n悪い人では無いのかもしれないッスね。」	“既然他刚才保护了皋月同学，\n或许不是什么坏人。”
「……いや、サツキのストーカーの時点で悪人だろうよ。」	“……不，从他跟踪皋月的那一刻起，就是坏人了吧。”
