# Chapter 1 continuation: the first Karakuri match
「面白い。\nその勝負受けて立とうじゃないか。」	“有意思。\n这场对决，我接下了。”
「な、なんだと！？本気なのか！？」	“什、什么！？你是认真的吗！？”
「ああ。せっかくノエルが来てくれたんだ。\nすぐに帰してしまうのは勿体ない。\n少しは<ruby=よきょう>余興</ruby>を挟んでもいいだろう。」	“当然。诺艾尔难得专程来了，\n马上让她回去未免太可惜。\n中间安排一点<ruby=よきょう>余兴</ruby>，也无妨吧。”
「ケッ！大した余裕じゃねぇか！\nすぐに吠え面かかせてやるよ！」	“呸！你还真是从容啊！\n我马上就让你哭着求饶！”
「おのれッ！鉄クズ<ruby=ふぜい>風情</ruby>がッ！\n川島さんに向かってなんて無礼な口を聞くッ！！」	“可恶！区区一块废铁<ruby=ふぜい>也敢</ruby>！\n竟敢对川岛先生如此无礼！！”
「川島さん！その<ruby=きこうしょうぶ>機巧勝負</ruby>！\n私に任せてくださいッ！\nこの無礼な鉄クズを廃棄処分にしてやるッ！」	“川岛先生！这场<ruby=きこうしょうぶ>机巧对决</ruby>！\n请交给我吧！\n我会把这块无礼的废铁送去报废！”
「なっ！獅堂ミナトッ！\nドサクサに紛れて抜け駆けすんじゃないわよッ！」	“什么！狮堂凑！\n别趁乱抢功啊！”
「わかった。\nここはミナトに任せるとしよう。」	“好吧。\n这次就交给凑。”
「ユート！？」	“悠斗！？”
「おいおい。いいのかよ。\nフェイリクス。\n俺ぁ<ruby=おんなこども>女子供</ruby>が相手でも容赦しねーぜ。」	“喂喂，这样好吗，\n费利克斯？\n我对<ruby=おんなこども>女人和孩子</ruby>可也不会手下留情。”
「舐めるなよッ！<ruby=げす>下種</ruby>がッ！」	“别小看人！你这<ruby=げす>下三滥</ruby>！”
「ミナトも僕が率いる<ruby=がくえんせいとかい>学園生徒会</ruby>・<ruby=してんのう>四天王</ruby>の一人。\n侮っていると<ruby=おおやけど>大火傷</ruby>するよ？」	“凑也是我率领的<ruby=がくえんせいとかい>学院学生会</ruby>·<ruby=してんのう>四天王</ruby>之一。\n要是小看她，可是会<ruby=おおやけど>吃大亏</ruby>的。”
「上等だッ！やってやろうぜノヴァ！」	“正合我意！诺瓦，咱们上！”
「<ruby=がってんしょうち>合点承知</ruby>！目にもの見せてくれるわ！」	“<ruby=がってんしょうち>明白</ruby>！让你们见识一下厉害！”
「川島さんへの数々の<ruby=ひれい>非礼</ruby>ッ！\nこの私が死を持って<ruby=つぐな>償</ruby>わせてやるッ！」	“你对川岛先生屡次<ruby=ひれい>无礼</ruby>！\n我要让你用死亡来<ruby=つぐな>偿还</ruby>！”
「獅堂会長ー。\n<ruby=きこうしょうぶ>機巧勝負</ruby>は相手を殺しちゃダメなんですよー。」	“狮堂会长。\n<ruby=きこうしょうぶ>机巧对决</ruby>可不能杀死对手哦。”
「ああ…。ミナトお嬢様が殿方の為に\n自ら戦いに<ruby=おもむ>赴</ruby>くだなんて…。\nなんと嘆かわしい……。」	“啊……凑大小姐居然为了男人\n亲自<ruby=おもむ>上阵</ruby>战斗……\n真是令人痛心……”
「悲しむポイントそこなんだ…。」	“你悲伤的重点是这个啊……”
「ふふっ。川島さんの<ruby=ちゃばん>茶番</ruby>には\n<ruby=きょうざ>興冷</ruby>めしていたけれど\n一時の退屈しのぎにはなりそうね。」	“呵呵。川岛先生这场\n<ruby=ちゃばん>闹剧</ruby>实在令我<ruby=きょうざ>兴味索然</ruby>，\n不过倒也能暂时打发无聊。”
「マスター楽シソウ！\nフーゲツもタノシイ！」	“主人看起来很开心！\n风月也很开心！”
「<ruby=きこうしょうぶ>機巧勝負</ruby>のバトルフィールドはここだ。\nさすがに生徒会室を壊したくはないからね。」	“<ruby=きこうしょうぶ>机巧对决</ruby>的战场就在这里。\n我可不想把学生会室拆了。”
「保護者の皆様はこちらの席へどうぞ。」	“各位家长请到这边的席位。”
「ハーイ。」	“好——。”
「はいはーい。」	“来啦——。”
「これはご<ruby=ていねい>丁寧</ruby>にありがとうございます。\n川島先生。」	“川岛老师，\n感谢您如此<ruby=ていねい>周到</ruby>。”
「私達はここで観戦させてもらうとしましょうか。」	“我们就在这里观战吧。”
「――――――<ruby=からくりにんぎょう>機巧人形</ruby>の<ruby=しあい>仕合</ruby>というものを。」	“————观赏这场<ruby=からくりにんぎょう>机巧人偶</ruby>的<ruby=しあい>比试</ruby>。”
