# Chapter 1 continuation: parental briefing and infiltration
「よし。作戦内容は決まった。\n直ちに保護者説明会を執り行う。」	“好，作战内容确定。\n现在立即召开家长说明会。”
「は？保護者説明会？」	“哈？家长说明会？”
「忘れたのか？\nこのフェイリクス捕獲作戦は\n<ruby=さみだれけとうしゅ>五月雨家当主</ruby>カグヤ殿からの<ruby=ちょくめい>勅命</ruby>。」	“忘了吗？\n这次抓捕费利克斯的行动，\n是<ruby=さみだれけとうしゅ>五月雨家主</ruby>辉夜大人的<ruby=ちょくめい>敕命</ruby>。”
「そしてカグヤ殿のご<ruby=そくじょ>息女</ruby>サツキ<ruby=じょう>嬢</ruby>は\n今やフェイリクスに洗脳され\n人質の一人となっている。」	“而辉夜大人的<ruby=そくじょ>千金</ruby>皋月<ruby=じょう>小姐</ruby>\n如今已被费利克斯洗脑，\n成了人质之一。”
「早急にカグヤ殿に状況を説明し\n作戦の最終承認を得る必要があるのだ。」	“必须尽快向辉夜大人说明情况，\n取得行动的最终批准。”
「そうそう。斑鳩警察は\n五月雨家、<ruby=すなわ>即</ruby>ちカグヤさんに\n頭が上がりませんからねえ。」	“没错。\n斑鸠警察在五月雨家，也就是辉夜小姐面前，\n可是<ruby=すなわ>完全抬不起头</ruby>的。”
「娘の為に国家権力を動かす力を持つ\nサツキの母親……。これが究極の\nモンスターペアレントってやつか…。」	“为了女儿能调动国家权力的\n皋月母亲……这就是终极的\n怪兽家长吗……”
「あ、それカグヤさんに聞かれたら\n<ruby=ざんしゅ>斬首</ruby>されるッスよ。」	“啊，这话让辉夜小姐听见，\n会被<ruby=ざんしゅ>斩首</ruby>的。”
「天道。保護者に連絡しろ。\n保護者説明会の開催だ。」	“天道，联系家长。\n召开家长说明会。”
「わかりました。斑鳩警察署内にお呼びします。」	“明白。我会请他们来斑鸠警察署。”
「以上が本作戦の全容となります。\n保護者の方々、質問があればどうぞ。」	“以上就是本次行动的全部内容。\n各位家长，有问题请提。”
「なるほどねー。敵拠点に潜入し\n洗脳措置の破壊かー。これで人質が\n解放されるのはシンプルでいいわね！」	“原来如此，潜入敌方据点\n破坏洗脑装置啊。这样就能释放人质，\n简单明了，挺好的！”
「ええ。あくまで破壊工作がメインなので\n人質となっているお嬢様や他の皆さんが\n危険に晒されずに済むのは良いですね。」	“是的，行动以破坏为主，\n作为人质的小姐和其他人\n不用暴露在危险中，这是好事。”
「人命救助優先の真田警部らしい作戦内容ね。\n解決まで時間が掛かり過ぎるのは難点だけれど\n今回は多めに見るとしましょうか。」	“优先救人的作战，很有真田警部的风格。\n虽然耗时太久是个问题，\n这次就睁一只眼闭一只眼吧。”
「サツキが人質になっている状況が状況だけにね。」	“毕竟皋月现在是人质。”
「オオメにミテヤルゾー。」	“这次就宽大处理吧。”
「はっ。<ruby=かんだい>寛大</ruby>なお言葉痛み<ruby=い>入</ruby>ります。」	“是。感谢您<ruby=かんだい>宽大</ruby>的谅解，<ruby=い>感激</ruby>不尽。”
「おいおい。マジかよ。\nあの真田が頭下げてるよ。」	“喂喂，真的假的。\n那个真田居然低头了。”
