# Chapter 1 continuation: Nova's origin and the rematch
「どちらの選択も\n二人が望んだ結果になっているッス。」	“你们各自的选择，\n都带来了两人期望的结果。”
「……そう……か。」	“……这样……吗。”
「それにノエルさんが居なかったら\n今、自分は川島さんの前に居ないわけですし。」	“而且，如果没有诺艾尔小姐，\n现在的我也不会站在川岛先生面前。”
「あの臨床実験、\nノエルの隣のベットに居たオートマタ……\n13号って呼ばれてたな。」	“那场临床实验里，\n在诺艾尔旁边床上的自动人偶……\n被叫作13号吧。”
「ノヴァ、あれはお前だったのか？」	“诺瓦，那就是你吗？”
「どうやらそうみたいッスね。」	“看来确实是我。”
「<ruby=ていこくじゅうこうせい>帝国重工製</ruby>・<ruby=だいさんせだいがたちょうほうていさつよう>第三世代型諜報偵察用</ruby>オートマタ\n<ruby=ノヴァ>NOVA</ruby>-0013。あの場に居たオートマタは\n自分の製造番号の機体ッス。」	“<ruby=ていこくじゅうこうせい>帝国重工制造</ruby>、<ruby=だいさんせだいがたちょうほうていさつよう>第三代情报侦察型</ruby>自动人偶，\n<ruby=ノヴァ>NOVA</ruby>-0013。现场的那具自动人偶，\n就是我的制造编号机体。”
「そして、<ruby=プロジェクトノヴァ>Project-NOVA</ruby>の担当ドクターが言っていた。\n自分はノエルさんの<ruby=うつしみ>現身</ruby>であると。」	“而且，负责<ruby=プロジェクトノヴァ>Project-NOVA</ruby>的博士说过，\n我是诺艾尔小姐的<ruby=うつしみ>化身</ruby>。”
「<ruby=だいさんせだいがた>第三世代型</ruby>の<ruby=ぎじこんぱく>疑似魂魄</ruby>は人工的な<ruby=こんぱく>魂魄</ruby>ッス。」	“<ruby=だいさんせだいがた>第三代机型</ruby>的<ruby=ぎじこんぱく>模拟魂魄</ruby>，是人工制造的<ruby=こんぱく>魂魄</ruby>。”
「しかし、あの時の臨床実験では\n<ruby=ソウルトランスレーター>魂魄転送装置</ruby>を<ruby=かい>介</ruby>して\nノエルさんの<ruby=こんぱく>魂魄</ruby>を<ruby=ちょくせつぎじこんぱく>直接疑似魂魄</ruby>に転送していた。」	“但是在那场临床实验中，\n通过<ruby=ソウルトランスレーター>魂魄转移装置</ruby><ruby=かい>经由</ruby>，\n将诺艾尔小姐的<ruby=こんぱく>魂魄</ruby>直接转移到<ruby=ちょくせつぎじこんぱく>模拟魂魄</ruby>中。”
「本物の<ruby=こんぱく>魂魄</ruby>と<ruby=こくじ>酷似</ruby>した<ruby=こうじゅんど>高純度</ruby>の\n<ruby=ぎじこんぱく>疑似魂魄</ruby>が生成されていたッス。」	“当时生成了与真正的<ruby=こんぱく>魂魄</ruby><ruby=こくじ>极其相似</ruby>的<ruby=こうじゅんど>高纯度</ruby>\n<ruby=ぎじこんぱく>模拟魂魄</ruby>。”
「自分の<ruby=ぎじこんぱく>疑似魂魄</ruby>はノエルさんの<ruby=こんぱく>魂魄</ruby>と同等。\nつまり、自分はほぼノエルさんの生まれ変わりと\n言っても過言では無いッス。」	“我的<ruby=ぎじこんぱく>模拟魂魄</ruby>与诺艾尔小姐的<ruby=こんぱく>魂魄</ruby>等同。\n也就是说，说我是诺艾尔小姐的转世\n也不为过。”
「ノヴァが……ノエルの生まれ変わり。」	“诺瓦是……诺艾尔的转世。”
「そうか……だから、フェイリクスは\nノヴァをノエルと呼んでいたのか。」	“原来如此……所以费利克斯\n才会把诺瓦叫作诺艾尔。”
「ええ。今まではただの<ruby=ざれごと>戯言</ruby>かと思っていたッスが\nあの臨床実験の現場を知ってしまったら\n否定は出来なくなってしまったッスね。」	“是的。以前我还以为那只是<ruby=ざれごと>胡话</ruby>，\n但知道那场临床实验的真相后，\n就无法否定了。”
「それと同時にフェイリクスが俺を憎む理由もわかった。\nあいつからすれば、\n俺がノエルを奪ったようなものだからな。」	“同时我也明白费利克斯憎恨我的理由了。\n在那家伙看来，\n就像是我夺走了诺艾尔。”
「それはさすがにフェイリクスの<ruby=さかうら>逆恨</ruby>みだとは思うッスけど。\n逆恨みするきっかけにはなってたようッスね。」	“我觉得这终究只是费利克斯的<ruby=さかうら>迁怒</ruby>。\n但确实成为了他迁怒的契机。”
「なるほど……色々<ruby=がてん>合点</ruby>がいったぜ。」	“原来如此……许多事情都<ruby=がてん>说得通</ruby>了。”
「ええ。ここに来た収穫は\n十分過ぎるほどありましたな。」	“是的，这次来这里的收获\n已经多得不能再多了。”
「えーとノヴァ……お前って一応、\nノエルでもあるんだよな？」	“那个，诺瓦……你姑且\n也算是诺艾尔吧？”
「そッスね。自分の<ruby=ぎじこんぱく>疑似魂魄</ruby>の中に\nノエルさんの<ruby=こんぱく>魂魄</ruby>が入ってると\n思ってくれていいッスよ。」	“没错。你可以理解为，\n我的<ruby=ぎじこんぱく>模拟魂魄</ruby>里\n包含着诺艾尔小姐的<ruby=こんぱく>魂魄</ruby>。”
「よし。じゃあ、ちょっと待ってろ。」	“好，那你等一下。”
「おろ？」	“咦？”
「んー。どこだどこだ？」	“嗯——在哪里，在哪里？”
「いきなり草むらを\n<ruby=か>掻</ruby>きわけてどうしたんスか？\n気でも触れたんスか？」	“突然钻进草丛里\n<ruby=か>拨</ruby>来拨去干什么？\n你脑子出问题了吗？”
「言い方っ。」	“你这说法！”
「さすがに１本ぐらいは生えてるだろ。\nえーと……。」	“总该能找到一株吧。\n我看看……”
「お、あったあった。これだ。」	“哦，找到了，就是这个。”
「何探してたんスか？」	“你在找什么？”
「ノヴァ……いや、ノエル。」	“诺瓦……不，诺艾尔。”
「また会うって約束、\n守れなくてごめんな。」	“约好要再见面，\n我却没能遵守，对不起。”
（俺はノヴァ……もといノエルに\nさっき草むらで見つけて来たものを渡す。）	（我把刚才在草丛里找到的东西，\n交给诺瓦……不，诺艾尔。）
「これは……四葉のクローバー？」	“这是……四叶草？”
「ああ。あの時、お前にもらった\n四葉のクローバーのお返しだ。」	“嗯，这是回赠你当时送我的\n四叶草。”
「お前のおかげで俺、研究所から離れて\nこうして自由気ままに楽しくてやってるよ。」	“多亏了你，我离开了研究所，\n现在这样自由自在地快乐生活着。”
「四葉のクローバーが\n幸せを呼ぶって本当だったんだな。」	“原来四叶草\n真的会带来幸福。”
「だからさ。ノエル。\n今度はお前が幸せになってくれ。」	“所以，诺艾尔。\n这一次，换你得到幸福吧。”
「………ずるいなぁ。\n急にそんな事言うなんて。」	“……真狡猾。\n突然说这种话。”
「……え？」	“……什么？”
「………ありがと。ユート。」	“……谢谢你，悠斗。”
「ノエル……なのか？」	“你是……诺艾尔吗？”
（突如、耳をつんざく破壊音が響き、\n施設な壁が砕け散る。）	（突然，刺耳的破坏声响起，\n设施的墙壁崩裂。）
「い、いきなりなんだァ！？」	“怎、怎么突然来这一出！？”
「あー。メカワシマくん。\nこんなところに居たー。」	“啊——机械川岛。\n原来你在这里啊。”
「サ、サツキ！？」	“皋、皋月！？”
「ガラハドくんも一緒だよ。\nさ、ガラハドくん挨拶。」	“加拉哈德也一起来了。\n来，加拉哈德，打个招呼。”
「ガラハドデス。\nヨロシク。」	“我是加拉哈德。\n请多关照。”
「そうか！ガラハドが壁ぶっ壊して\n侵入して来やがったのか！？」	“原来如此！是加拉哈德撞破墙壁\n闯进来的啊！？”
「つーか、サツキ！\n何でここに居るんだ！？」	“话说，皋月！\n你为什么会在这里！？”
「ほら、川島くんが言ってたでしょ。\nここに何かあるかもって。」	“川岛不是说过吗？\n这里可能有什么东西。”
「だから、ここに来たら\nメカワシマくん達に会えるかなって\n思ってね。」	“所以我就想，来到这里\n说不定能遇见机械川岛你们，\n就过来了。”
「一応、聞くが……俺達に何の用だ？」	“我姑且问一句……你找我们有什么事？”
「もちろん<ruby=きこうしょうぶ>機巧勝負</ruby>だよ。\nまだ決着ついてないからね。」	“当然是<ruby=きこうしょうぶ>机巧对决</ruby>。\n我们还没有分出胜负呢。”
「いいでしょう。<ruby=さみだれ>五月雨</ruby>さん。\nここで白黒付けるとしましょう！」	“好啊，<ruby=さみだれ>五月雨</ruby>小姐。\n就在这里一决胜负吧！”
「ノエル……いや、ノヴァか！\nああ、ややこしいなもう！」	“诺艾尔……不，是诺瓦！\n啊，真是乱死了！”
