# Chapter 1 continuation: Lieutenant Tendo
白髪のチャラ男	白发轻浮男
「おやおや。こんなところに居たんですか。\n探しましたよ。ノヴァさん。」	“哎呀呀，原来你在这里。\n我找了你好久，诺瓦小姐。”
「うわ。天道さん。\n何しに来たんスか。」	“呜哇，天道先生。\n你来干什么？”
「私に対する第一声が『うわ。』とか\n酷いですねぇ。\n私、あなたの上司なんですけど。」	“见到我第一句话就是‘呜哇’，\n太过分了吧。\n我好歹也是你的上司。”
「誰だテメー。見慣れねぇヤツだな。\nここは関係者以外立ち入り禁止だ。」	“你谁啊？没见过你。\n这里禁止无关人员进入。”
「ちょっとノヴァさん。\nこのオートマタ、口悪くないですか？\nちゃんと<ruby=しつけ>躾</ruby>ておいてくださいよ。」	“等一下，诺瓦小姐。\n这台自动人偶说话是不是太难听了？\n请好好<ruby=しつけ>管教</ruby>它。”
「ほら、関係者以外は立ち入り禁止だ。\nとっとと帰りな。」	“听见没有，这里禁止无关人员进入。\n赶紧回去。”
「何で二人して私を追い出そうとするんですか。」	“为什么你们两个都想赶我走？”
「はぁ…、仕方ありませんね。\n身分を明かして疑いを晴らすとしましょうか。」	“唉……没办法。\n只好表明身份，消除你们的怀疑了。”
「私は<ruby=いかるがけいさつちょうほうぶしょぞく>斑鳩警察諜報部所属</ruby>・<ruby=てんどう>天道</ruby>ルシオ<ruby=けいぶほ>警部補</ruby>です。\nほら、警察手帳。本物ですよ？」	“我是<ruby=いかるがけいさつちょうほうぶしょぞく>斑鸠警察情报部所属</ruby>，<ruby=てんどう>天道</ruby>卢西奥<ruby=けいぶほ>警部补</ruby>。\n看，警察证。是真的哦？”
（天道と自称するチャラそうな男は\n警察手帳を見せて来た。）	（这个自称天道的轻浮男人，\n向我出示了警察证。）
「ちなみに私はこちらのノヴァさんの\n上司になります。」	“顺带一提，我是这位诺瓦小姐的\n上司。”
「は？ノヴァの上司？\nなにそれ。ノヴァって警察だったの？」	“哈？诺瓦的上司？\n什么意思，诺瓦是警察？”
「いいえ、知らない人です。」	“不，我不认识这个人。”
「なんで<ruby=うそつ>嘘吐</ruby>くんですか。\nほら、ノヴァさんも\n警察手帳見せてあげてくださいよ。」	“为什么要<ruby=うそつ>撒谎</ruby>？\n来，诺瓦小姐也把\n警察证拿给他看吧。”
「はいはい。わかりましたよ。」	“是是，我知道了。”
（ノヴァはしぶしぶ<ruby=ふところ>懐</ruby>から警察手帳を取り出す。）	（诺瓦不情不愿地从<ruby=ふところ>怀里</ruby>掏出警察证。）
「<ruby=いかるがけいさつちょうほうぶしょぞく>斑鳩警察諜報部所属</ruby>・<ruby=きこういん>機巧院</ruby>ノヴァ。\n以後、お見知り置きを。」	“<ruby=いかるがけいさつちょうほうぶしょぞく>斑鸠警察情报部所属</ruby>，<ruby=きこういん>机巧院</ruby>诺瓦。\n以后请多关照。”
「おいおい…。マジかよ…。\nお前、警察官だったのかよ…。」	“喂喂……真的假的……\n你居然是警察……”
「まぁ。これもバイトの一種ッスね。\n女の子はお金が掛かるんスよ。」	“这个嘛，也算是一种兼职。\n女孩子可是很花钱的。”
「こうみえてノヴァさんは<ruby=すごうで>凄腕</ruby>の<ruby=ちょうほういん>諜報員</ruby>なんですよ。」	“别看诺瓦小姐这样，她可是<ruby=すごうで>本领高强</ruby>的<ruby=ちょうほういん>情报员</ruby>。”
「<ruby=にんむたっせいりつ>任務達成率</ruby>９９．９％。<ruby=こきゃくまんぞくど>顧客満足度</ruby>９０％。\n<ruby=ぜんねんどさいゆうしゅうじょえんじょゆうしょうじゅしょう>前年度最優秀助演女優賞受賞</ruby>。\n<ruby=かみはんきいかるがけいさつじょせいけいかんにんき>上半期斑鳩警察女性警官人気</ruby>ランキング№２。」	“<ruby=にんむたっせいりつ>任务完成率</ruby>99.9%，<ruby=こきゃくまんぞくど>顾客满意度</ruby>90%。\n荣获<ruby=ぜんねんどさいゆうしゅうじょえんじょゆうしょうじゅしょう>上年度最佳女配角奖</ruby>。\n<ruby=かみはんきいかるがけいさつじょせいけいかんにんき>上半年斑鸠警察女警人气</ruby>排行榜第二名。”
「<ruby=めいじつとも>名実共</ruby>に素晴らしい実績のある警察官で\n上司である私は鼻が高いですねぇ。」	“她是一名<ruby=めいじつとも>名副其实</ruby>、业绩出色的警察，\n我这个上司也深感骄傲。”
「………ところどころ<ruby=うさんくさ>胡散臭</ruby>い\n実績が挟まってるのはなんなんだ。」	“………里面为什么混着几个\n<ruby=うさんくさ>可疑</ruby>的业绩？”
「天道さんみたいなボンクラが警部補の地位に\n立てているのも自分の活躍のおかげだという事を\n忘れないで欲しいッス。」	“请不要忘记，像天道先生这样的废物\n能够坐上警部补的位置，\n也全靠我的活跃表现。”
「はいはい。わかっていますよ。\nすべてはノヴァさんのおかげ。\nいやー。ありがたいですねぇ。」	“是是，我知道。\n一切都多亏诺瓦小姐。\n哎呀，真是感激不尽。”
