# Chapter and scene gallery titles
0-1:殺意の怨念	0-1：杀意的怨念
1-1:奪われたラブコメ主人公	1-1：被夺走的恋爱喜剧男主角
1-2:あなたが私のマスターか？	1-2：你就是我的主人吗？
1-3:反逆の決意	1-3：反叛的决意
1-4:突入！敵本拠地！	1-4：突入！敌方本部！
1-5:魔法アイドル・ザクロちゃん	1-5：魔法偶像小石榴
1-6:魔法少女に大切なこと	1-6：魔法少女最重要的事
1-7:ブーステッドナックル	1-7：增幅铁拳
1-8:VSガラハド	1-8：VS加拉哈德
1-9:砕かれたダイヤモンドハート	1-9：破碎的钻石之心
1-10:D・A・T・E、デートかよ	1-10：D・A・T・E，原来是约会啊
1-11:ソード＆ブレイカー	1-11：剑与破坏者
1-12:決闘者（デュエリスト）	1-12：决斗者（Duelist）
1-13:お帰りなさいませ。ご主人様。	1-13：欢迎回来，主人。
1-14:心に響く、贈りもの。	1-14：直达心底的礼物。
2-1:ロストオブハーレムラブコメ	2-1：失落的后宫恋爱喜剧
2-2:斑鳩警察・諜報部	2-2：斑鸠警察・谍报部
2-3:逮捕しちゃうゾ☆	2-3：要把你逮捕咯☆
2-4:斑鳩警察本部長・真田	2-4：斑鸠警察本部长・真田
2-5:開幕！PTA保護者会	2-5：开幕！PTA家长会
2-6:抜き打ち！ユリヒメ検定！	2-6：突击检查！百合姬测验！
2-7:突撃！緊急保護者参観！	2-7：突击！紧急家长参观日！
2-8:バッドコミュニケーション	2-8：糟糕的沟通
2-9:VSソルジャー	2-9：VS士兵
2-10:勝利への退却	2-10：向胜利撤退
2-11:反省会、ポストモーテム	2-11：反省会，事后检讨
2-12:新居、引っ越し、新生活	2-12：新居、搬家、新生活
2-13:バーチャルアイドル	2-13：虚拟偶像
3-1:開幕！ドキドキ同棲生活	3-1：开幕！心跳同居生活
3-2:君の知らない物語	3-2：你不知道的故事
3-3:配信者は遊びじゃない	3-3：主播可不是闹着玩的
3-4:ノヴァちゃんはメインヒロイン	3-4：诺瓦才是主女主角
3-5:帝国重工生体工学研究所	3-5：帝国重工生体工学研究所
3-6:昼下がりのエンカウンター	3-6：午后的邂逅
3-7:再戦のリベンジデュエル	3-7：复战的复仇决斗
3-8:潜入！生体工学研究所	3-8：潜入！生体工学研究所
3-9:ノエル	3-9：诺艾尔
3-10:理性と記憶の残滓	3-10：理性与记忆的残渣
3-11:四葉のクローバー	3-11：四叶草
3-12:鉄拳！ロケットパンチ！	3-12：铁拳！火箭飞拳！
3-13:飛翔する翼	3-13：飞翔之翼
3-14:夜空を駆ける空中戦	3-14：驰骋夜空的空战
4-1:二律背反のヒロイン達	4-1：自相矛盾的女主角们
4-2:傷つけられたプライド	4-2：受伤的自尊
4-3:交渉決裂	4-3：谈判破裂
4-4:マネーオブパワー	4-4：金钱的力量
4-5:作戦参謀・影山	4-5：作战参谋・影山
4-7:伝説の№1メイド	4-7：传说中的一号女仆
4-8:ミーちゃん＆アーちゃん	4-8：小米与小艾
4-9:ソードファイターズ	4-9：剑斗士们
4-10:洗脳装置破壊作戦	4-10：洗脑装置破坏作战
4-11:以心伝心！ツインエンジェル！	4-11：心意相通！双生天使！
4-12:黒鉄のオートマタ	4-12：黑铁自动人偶
4-13:反旗の逆鱗	4-13：反旗的逆鳞
4-14:サヨナラノツバサ	4-14：再见之翼
5-1:機巧人形	5-1：机巧人偶
5-2:失意の果てに	5-2：失意的尽头
5-3:取り戻した日常、失ったモノ	5-3：取回的日常与失去之物
5-4:強襲	5-4：强袭
5-5:魂魄接続！超次元野球！	5-5：魂魄连接！超次元棒球！
5-6:反抗期	5-6：叛逆期
5-7:斑鳩警察 VS NOVAシリーズ	5-7：斑鸠警察 VS NOVA系列
5-8:ダイレクトアタック	5-8：直接攻击
5-9:私のマスター	5-9：我的主人
5-10:月光計画	5-10：月光计划
5-11:VS影山	5-11：VS影山
5-12:任務完了	5-12：任务完成
5-13:機巧院ノヴァ	5-13：机巧院诺瓦
5-14:帰って来た学園ラブコメ	5-14：归来的校园恋爱喜剧
5-15:存在しない記憶	5-15：不存在的记忆
5-16:職場復帰	5-16：重返工作岗位
5-17:ノヴァとノエル	5-17：诺瓦与诺艾尔
5-18:バーテンダー	5-18：调酒师
5-19:光と闇のヒーロー対決！	5-19：光与暗的英雄对决！
5-20:君だけの魔法アイドル	5-20：只属于你的魔法偶像
5-21:想いを届ける贈りもの。	5-21：传达心意的礼物。
5-22:ずっとあなたの傍で	5-22：永远陪在你身边
