# Chapter 1 continuation: the broken room and Yuto's challenge
「おーい。メカワシマくーん。」	“喂——！机械川岛同学——！”
（俺は壁が粉砕されて<ruby=かぜとお>風通</ruby>しが\nよくなった<ruby=くうどう>空洞</ruby>から声がした方向を<ruby=のぞ>覗</ruby>き込む。）	（我从墙壁被打穿后变得格外<ruby=かぜとお>通风</ruby>的<ruby=くうどう>窟窿</ruby>里，\n朝声音传来的方向<ruby=のぞ>探头望去</ruby>。）
「やっほー。メカワシマくん。」	“嗨——，机械川岛同学。”
「サツキ！？」	“皋月！？”
「おや。引きこもっていると聞いたが\n随分元気そうじゃないか。」	“哎呀。听说你一直闭门不出，\n没想到还挺精神的嘛。”
「フェイリクス…ッ！！\nそうか、これはテメェの<ruby=しわざ>仕業</ruby>だったかッ！」	“费利克斯……！！\n原来如此，这是你<ruby=しわざ>搞的鬼</ruby>啊！”
「いや、今回の作戦はサツキの提案でね。\n僕は手助けしたに過ぎない。」	“不，这次的作战是皋月提出来的。\n我不过帮了她一把。”
「そうだよ。えっへん。」	“没错。哼哼。”
「いきなり部屋ぶっ壊しておいて\n胸を張るなッ！」	“一上来就把别人的房间拆了，\n你还有脸挺胸！”
「おー。部屋目掛けてロケットパンチを喰らえば\nさすがの川島さんでも正気に戻るッスか。」	“哦——。正面吃下一发瞄准房间的火箭拳，\n就连川岛先生也能恢复正常啊。”
「つーかノヴァ！？\nなんでお前がそっち側に居るんだよッ！？」	“话说诺瓦！？\n你为什么站在他们那边啊！？”
「まぁこれには深い事情がありましてなぁ。」	“这个嘛，说来话长。”
「えっとね。ノヴァがメカワシマくんが引きこもっていて\n寂しそうだったから、元気づけてあげようと思ったんだ。」	“嗯，是这样的。诺瓦因为机械川岛同学把自己关了起来，\n看上去很寂寞，所以我想让她打起精神。”
「ノヴァを元気づけるのと俺の部屋に\nオートマタのロケットパンチを\nブチ込む<ruby=いんがかんけい>因果関係</ruby>がまったくわからねーよッ！！」	“让诺瓦打起精神，和往我房间里\n轰进自动人偶的火箭拳之间，\n到底有个鬼的<ruby=いんがかんけい>因果关系</ruby>啊！！”
「私からのプレゼントだよ。」	“这是我送你的礼物哦。”
「ヘコんで引きこもってる人に対して\nロケットパンチをプレゼントしてやろうという\n発想がいじめ通り越してサイコパス過ぎません？」	“给一个消沉自闭的人送火箭拳，\n这想法已经不只是霸凌，\n根本是心理变态了吧？”
「実際、当人は元気そうだし\n君の作戦は成功じゃないか？\nサツキ。」	“实际上当事人看起来挺精神，\n所以你的作战算成功了吧？\n皋月。”
「いえーい。やったね。ノヴァ。」	“耶——。成功了呢，诺瓦。”
「いえーい。」	“耶——。”
（サツキとノヴァは仲良くハイタッチする。）	（皋月和诺瓦开心地击了个掌。）
「ガラハドくんも、いえーい。」	“加拉哈德也来，耶——。”
「イエーイ。」	“耶——。”
（ついでにオートマタともハイタッチ。）	（顺便也和自动人偶击了个掌。）
「つーか、テメェかこの腕を\nブチ込んできやがったのはッ！」	“所以说，就是你把这条手臂\n轰进来的啊！”
「私のパートナーのガラハドくんでーす。」	“这是我的搭档，加拉哈德——。”
「ふざけんじゃ……ねぇッ！！」	“少给我……开玩笑！！”
（俺は<ruby=こんしん>渾身</ruby>の怒りを込めて\nガラハドの腕を投げ返す。）	（我<ruby=こんしん>倾注</ruby>满腔怒火，\n把加拉哈德的手臂扔了回去。）
（しかし、<ruby=とうてき>投擲</ruby>した腕は吸い込まれるように\nガラハドの右腕に戻っていた。）	（然而，<ruby=とうてき>扔出去</ruby>的手臂像被吸过去一样，\n回到了加拉哈德的右臂上。）
「右腕ブーステッドナックル装着。」	“右臂增幅铁拳，装着完毕。”
「おー。そうやって\nロケットパンチって戻るんスね。」	“哦——，原来火箭拳\n是这样回来的啊。”
「ブーステッドナックルは<ruby=しゃしゅつご>射出後</ruby>に<ruby=さいそうてん>再装填</ruby>する為、\n<ruby=オートパイロット>自動操縦</ruby>で本来の腕に戻るようになってるんだ。」	“增幅铁拳在<ruby=しゃしゅつご>射出后</ruby>需要<ruby=さいそうてん>重新装填</ruby>，\n所以会通过<ruby=オートパイロット>自动驾驶</ruby>返回原本的手臂位置。”
「わー。すごーい。\nぱちぱちぱちー。」	“哇——，好厉害——。\n鼓掌鼓掌——。”
「さて、用も済んだし。\n引き上げるとしようかサツキ。」	“好了，事情也办完了。\n我们撤吧，皋月。”
「それもそうだね。\nじゃあね。ノヴァ。」	“也是呢。\n再见，诺瓦。”
「ほーい。ではではー。」	“好——，回头见——。”
「ちょっと待ちなッ！」	“给我等一下！”
（俺は二階から飛び降り地面に着地する。）	（我从二楼纵身跳下，落到了地面上。）
「まだ何か用なのかい？\nあいにく君の為に割く時間は無いのだけれど。」	“还有什么事吗？\n可惜我没有时间浪费在你身上。”
「テメェに無くても俺にはあんだよッ！」	“你没时间，老子有啊！”
「こいつを見なッ！」	“睁大眼看看这个！”
（俺は無残にも粉砕されたザクロちゃんの\nBDコンプリートボックスを見せつける。）	（我把惨遭粉碎的小石榴\n蓝光全集套装举到他眼前。）
「なんだいそのゴミは？」	“那垃圾是什么？”
「……今なんつった？」	“……你刚才说什么？”
「あ、今地雷踏んだッスね。」	“啊，他刚才踩雷了。”
「そうなんだー。」	“这样啊——。”
「ゴミ…？ゴミって言ったか…？\nザクロちゃんに向かって\nゴミって言ったのかテメェッ！！」	“垃圾……？你说垃圾……？\n你竟然对着小石榴，\n说她是垃圾吗，混蛋！！”
「謝れッ！謝れよザクロちゃんにッ！\nザクロちゃんは今悲しんでるんだッ！\nテメェの心無い一言でなッ！」	“道歉！快向小石榴道歉！\n小石榴现在很伤心！\n就因为你那句冷酷无情的话！”
「ザクロちゃんはテメェ如きが\nゴミ呼ばわりしていい存在じゃないんだッ！」	“小石榴不是你这种货色\n有资格称作垃圾的存在！”
「ザクロちゃんは俺の生きる意味……\nいや、人類の希望と言っても過言では無いッ！」	“小石榴是我活着的意义……\n不，说她是人类的希望都毫不为过！”
「俺はテメェの<ruby=こざか>小賢</ruby>しくも卑劣な精神攻撃で\n心が折れて脳が破壊されて生きる希望を失っていた。」	“我被你那<ruby=こざか>狡诈</ruby>卑鄙的精神攻击彻底击溃，\n脑子都被破坏，失去了活下去的希望。”
「だが、ザクロちゃんが言ったんだ。\n『―――――同情するなら金をくれ』ってな。」	“可是，小石榴说了。\n‘―――――要同情我，就给我钱。’”
「だから俺はこうして立ち直る事が出来たッ！」	“正因为如此，我才能像这样重新振作！”
「どんな絶望的状況でも絶対に諦めない\nザクロちゃんの姿が…ッ！心意気が…ッ！\n俺に再びテメェと立ち向かう力をくれたんだッ！」	“无论身处多么绝望的境地都绝不放弃，\n小石榴的身姿……她的气概……\n重新给了我面对你的力量！”
「……ノエル。彼は何を言ってるんだ？」	“……诺艾尔。他到底在说什么？”
「いやー。急にアニメの世界から現実に戻って来たんで\nフィクションと現実の区別が付いてないんじゃないッスかねー。」	“这个嘛——，他突然从动画世界回到现实，\n大概已经分不清虚构和现实了吧——。”
「でも、メカワシマくんって\nいつもあんな感じじゃない？」	“可是，机械川岛同学\n平时不也一直这样吗？”
「フェイリクス…ッ！\nザクロちゃんをこんな変わり果てた姿に\nしやがって絶対許さねぇ…ッ！」	“费利克斯……！\n你竟敢把小石榴害成这副惨状，\n我绝饶不了你……！”
「まぁ、実際の戦犯は五月雨さんなんスけど。」	“不过，真正的罪魁祸首其实是皋月同学。”
「しーっ。\nそれは言わない約束だよ。」	“嘘——。\n不是说好不提这件事的吗？”
「いや、もうバレバレですやん。」	“不，早就一眼看穿了好吧。”
