# Chapter 1 continuation: street duel
ノヴァ／カードハンター	诺瓦／卡牌猎人
「――――――――――<ruby=デュエル>決闘</ruby>ッ！」	“――――――――――<ruby=デュエル>决斗</ruby>！”
「え？っていうか、\n路上で立ったままデュエルすんの？\n<ruby=たくじょう>卓上</ruby>でやらないんだ。」	“欸？话说，\n你们要站在大街上决斗吗？\n不用<ruby=たくじょう>桌面</ruby>啊。”
「知らないんスか？ストリートデュエルは\nスタンディングデュエルが基本なんスよ。」	“你不知道吗？街头决斗\n基本上都是站立式决斗。”
「やべえ。何言ってるのかまったくわからねー。」	“糟糕，完全听不懂你在说什么。”
「先行は俺がもらう！」	“先攻归我！”
「手札から『メタル・ソルジャー』を攻撃表示で召喚！」	“从手牌以攻击表示召唤《金属士兵》！”
「攻撃力１５００の機械族モンスター。\nなるほど。\n『メタル』をテーマとした機械デッキッスか。」	“攻击力1500的机械族怪兽。\n原来如此。\n是以‘金属’为主题的机械卡组吗。”
「そして罠カードを1枚場に伏せてターンエンドだ！」	“然后在场上盖放一张陷阱卡，回合结束！”
「自分のターン！ドロー！」	“我的回合！抽卡！”
「手札の『<ruby=ウインドマン>疾風の羽男</ruby>』と『<ruby=フレイムガール>烈火の炎女</ruby>』の2体を融合し―――――」	“将手牌中的《<ruby=ウインドマン>疾风羽翼男</ruby>》和《<ruby=フレイムガール>烈火炎女</ruby>》两只怪兽融合―――――”
「『<ruby=バーストウイングマン>烈風の火炎男</ruby>』を<ruby=ゆうごうしょうかん>融合召喚</ruby>！」	“将《<ruby=バーストウイングマン>烈风火焰男</ruby>》<ruby=ゆうごうしょうかん>融合召唤</ruby>！”
「現れろ！『<ruby=バーストウイングマン>烈風の火炎男</ruby>』！」	“现身吧！《<ruby=バーストウイングマン>烈风火焰男</ruby>》！”
「１ターン目から\n攻撃力3000の上級モンスターだと！？」	“第一回合就召唤\n攻击力3000的高级怪兽！？”
「自分のヒーローデッキは『<ruby=ゆうごう>融合</ruby>』による\n速攻召喚でビートダウンを狙うデッキ！\nスピードこそパワー！」	“我的英雄卡组是通过‘<ruby=ゆうごう>融合</ruby>’\n快速召唤，进而强攻制胜的卡组！\n速度就是力量！”
「バトルだ！」	“进入战斗！”
「行け！『<ruby=バーストウイングマン>烈風の火炎男</ruby>』！\n『メタル・ソルジャー』に攻撃ッ！」	“上吧！《<ruby=バーストウイングマン>烈风火焰男</ruby>》！\n攻击《金属士兵》！”
「待っていたぞ！伏せカードオープン！\n罠カード『メタル・リフレクターユニット』発動！」	“我等的就是这一刻！打开盖卡！\n发动陷阱卡《金属反射组件》！”
