# Chapter 1 continuation: the guardians confront Ikaruga Police
「いやー。お待たせしてすみません。\n保護者の皆様……、」	“哎呀，让各位久等了，实在抱歉。\n各位家长……”
（天道がヘラヘラしながら\n保護者達の待つ部屋に入ると\n<ruby=しんそく>神速</ruby>の斬撃が天道の頬を<ruby=かす>掠</ruby>めた。）	（天道嬉皮笑脸地走进\n家长们等候的房间，一道<ruby=しんそく>神速</ruby>斩击\n便从他的脸颊旁<ruby=かす>擦</ruby>过。）
「ちょ……………えええ～～！？」	“等…………什么～～！？”
「いきなり刀で人を斬りつけるだなんて\n危ないじゃないですかぁ～！！」	“一上来就拔刀砍人，\n很危险的好不好～！！”
「チッ。生きていたか。」	“啧，居然还活着。”
「ちょっとノヴァさん。\nライン越えてますよ。それ。」	“我说诺瓦女士，\n这可真越界了啊。”
「<ruby=さみだれけとうしゅ>五月雨流当主</ruby>であるこの私を\n随分と待たせてくれたわね。」	“居然让身为<ruby=さみだれけとうしゅ>五月雨流当主</ruby>的我\n等了这么久。”
「<ruby=いかるがけいさつ>斑鳩警察</ruby>は一体いつから\nそんなに偉くなったのかしら？」	“<ruby=いかるがけいさつ>斑鸠警察</ruby>究竟是从什么时候起，\n变得这么了不起了？”
ツインテールのオートマタ	双马尾自动人偶
「おっそーい！\n一体、いつまで待たせるのよー！」	“太慢啦！\n你们到底还要让我们等多久啊！”
メイドのオートマタ	女仆自动人偶
「お嬢様が大変な時に\n何をのんびりとしているのですか！」	“大小姐正身陷危机，\n你们怎么还能如此悠哉！”
飛行型オートマタ	飞行型自动人偶
「ソウダソウダー！」	“就是就是！”
「保護者達が待機していると聞いていたが\nなんかほぼオートマタなんですけど。」	“听说在这里等候的是家长，\n怎么放眼望去几乎全是自动人偶。”
「オートマタだと思って<ruby=あなど>侮</ruby>らないで欲しいわね！」	“可别因为我们是自动人偶就<ruby=あなど>小瞧</ruby>我们！”
「私はリサ！\nユリヒメの親友なんだから！」	“我是莉莎！\n我可是百合姬最好的朋友！”
（リサ……。確かユリ姉のバイト先の\nバーのマスターだったか。\n見覚えがある気がする。）	（莉莎……我记得她是百合姐打工那家\n酒吧的老板。\n好像确实见过。）
（何で教師がバーでバイトしてるんだという\nツッコミはさておき。）	（至于一个老师为什么会去酒吧打工，\n这个槽就先不吐了。）
「私はステラ。獅堂家の使用人。\nミナトお嬢様のメイドをしております。」	“我是斯黛拉，狮堂家的佣人。\n目前担任凑大小姐的贴身女仆。”
「私は<ruby=さみだれ>五月雨</ruby>カグヤ。サツキの母親です。」	“我是<ruby=さみだれ>五月雨</ruby>辉夜，皋月的母亲。”
「そしてこれは我が五月雨家のペット。\n<ruby=ふうげつ>風月</ruby>。」	“而这是我们五月雨家的宠物。\n<ruby=ふうげつ>风月</ruby>。”
「フーゲツだゾー！\nフーゲツはサツキが心配！」	“我是风月哦！\n风月很担心皋月！”
「なるほど。どうやらここに居る全員が\nフェイリクスに洗脳された生徒の関係者である事は\n間違いなさそうだな。」	“原来如此。看来在场所有人\n确实都与遭费利克斯洗脑的学生\n有关系。”
「<ruby=たてがみ>盾守</ruby>パイセンだけ保護者不在なのが\n家庭環境を<ruby=にょじつ>如実</ruby>に表してるッスね。」	“只有<ruby=たてがみ>盾守</ruby>前辈的家长没来，\n这可真是<ruby=にょじつ>如实</ruby>反映了她的家庭状况啊。”
「ダメですよ。ノヴァさん。\n<ruby=たてがみ>盾守</ruby>さんの事が上層部に知られたら\nこちらの立場が危うくなるんですから。」	“不能说啊，诺瓦女士。\n要是<ruby=たてがみ>盾守</ruby>小姐的事被高层知道，\n我们的处境可就危险了。”
