# Chapter 1 continuation: Karakuri Duel, first half
「フェイリクスッ！\n――――――――俺と<ruby=きこうしょうぶ>機巧勝負</ruby>だッ！」	“费利克斯！\n――――――――跟我来一场<ruby=きこうしょうぶ>机巧对决</ruby>！”
「ほう。僕と戦おうと言うのかい？」	“哦？你想和我一战吗？”
「逃げるなんて言わねーよな？」	“你不会临阵脱逃吧？”
「まさか。僕が逃げるわけがないだろ？\n勿論、受けるさ。\nノエルが見ているのだから。」	“怎么会。我怎么可能逃呢？\n我当然接受。\n毕竟诺艾尔正在看着。”
「サツキ。彼の相手をしてやってくれ。」	“皋月，你陪他玩玩。”
「おっけー。ガラハドくん。\n<ruby=きこうしょうぶ>機巧勝負</ruby>の時間だよ。」	“好啊。加拉哈德，\n<ruby=きこうしょうぶ>机巧对决</ruby>的时间到了。”
「了解。マスター。」	“明白，主人。”
「おいッ！フェイリクスッ！\nサツキじゃなくてテメェが相手をしやがれッ！」	“喂！费利克斯！\n别让皋月上，你亲自来跟我打！”
「あいにく僕はオートマタを持っていなくてね。」	“可惜我没有带自动人偶。”
「けれどサツキは僕が率いる<ruby=がくえんせいとかい>学園生徒会</ruby>・<ruby=してんのう>四天王</ruby>の一人。\n代わりといっても僕自身が戦う事と同義だよ。」	“不过，皋月是我所统领的<ruby=がくえんせいとかい>学生会</ruby><ruby=してんのう>四天王</ruby>之一。\n由她代我出战，就等同于我亲自战斗。”
「なるほど。サツキに勝てば、\nテメェに<ruby=ほ>吠</ruby>え<ruby=ヅラ>面</ruby>をかかせられるってワケか。」	“原来如此。只要赢了皋月，\n就能让你露出<ruby=ほ>哭丧</ruby><ruby=ヅラ>脸</ruby>了是吧。”
「ああ。サツキの勝敗の責任は僕が取ろう。」	“没错。皋月的胜负由我负责。”
「おー。川島くんカッコイイ事言うねー。」	“哦——。川岛同学说得真帅啊——。”
「うーむ。どっちが主人公だか\nわからなくってきましたなぁ。」	“唔——，越来越搞不清楚\n到底哪边才是主角了。”
「よっしゃ。異論はねぇ。\n行くぞッ！ノヴァッ！\nサツキと<ruby=きこうしょうぶ>機巧勝負</ruby>だッ！」	“好，没意见。\n上吧，诺瓦！\n跟皋月来一场<ruby=きこうしょうぶ>机巧对决</ruby>！”
「了解ッス！\n川島さんの復帰戦という事で\nいっちょ派手に行きますかー！」	“了解！\n既然是川岛先生的复出战，\n咱们就狠狠干一场吧——！”
「さて、<ruby=たちあいにん>立会人</ruby>は僕が<ruby=つと>努</ruby>めよう。\nまずは<ruby=きこうしょうぶ>機巧勝負</ruby>のルール確認だ。」	“那么，<ruby=たちあいにん>见证人</ruby>就由我来<ruby=つと>担任</ruby>吧。\n首先确认一下<ruby=きこうしょうぶ>机巧对决</ruby>的规则。”
「互いの<ruby=マイスター>操縦者</ruby>はオートマタを１体召喚し、\n先に相手のオートマタを\n機能停止させた方の勝利だ。」	“双方<ruby=マイスター>操纵者</ruby>各自召唤一台自动人偶，\n率先使对方自动人偶\n停止运作的一方获胜。”
「尚、<ruby=マイスター>操縦者</ruby>への<ruby=ダイレクトアタック>直接攻撃</ruby>は禁止とし\nあくまでもオートマタ同士の戦いで勝敗を決する。\n異論は無いかな？」	“另外，禁止对<ruby=マイスター>操纵者</ruby>发动<ruby=ダイレクトアタック>直接攻击</ruby>，\n胜负必须由自动人偶之间的战斗决定。\n没有异议吧？”
「無いでーす。」	“没有——。”
「<ruby=がってんしょうち>合点承知</ruby>。」	“<ruby=がってんしょうち>包在我身上</ruby>。”
「悪いな。ノヴァ。\nちょっとヘコんでて待たせちまった。」	“抱歉啊，诺瓦。\n我消沉了一阵，让你久等了。”
「まったく、\nしっかりして欲しいッスよ。\n相棒。」	“真是的，\n你可得振作一点啊。\n搭档。”
「この戦いはザクロちゃんの<ruby=とむら>弔</ruby>い<ruby=がっせん>合戦</ruby>だ。\n絶対に負けるわけにはいかねぇ。\nきっちり指示を頼むぜ。」	“这一战是替小石榴<ruby=とむら>复仇</ruby>的<ruby=がっせん>大战</ruby>。\n我绝不能输。\n指挥就拜托你了。”
「ええ。ばっちりしっかり勝ちましょうぞ。」	“嗯。咱们干净利落地赢下来吧。”
「両者、準備いいかな？」	“双方准备好了吗？”
「おけおけおっけー。」	“好好好，准备好啦——。”
「では―――――、」	“那么―――――”
（フェイリクスは片手を天高く上げ、）	（费利克斯将一只手高高举向天空，）
「―――――――<ruby=きこうしょうぶ>機巧勝負</ruby>、開始！」	“―――――――<ruby=きこうしょうぶ>机巧对决</ruby>，开始！”
（――――降り下ろした！）	（――――猛然挥下！）
「<ruby=せんてひっしょう>先手必勝</ruby>！行けぇメタビー！\n相手の<ruby=ふところ>懐</ruby>に入り込めッ！」	“<ruby=せんてひっしょう>先下手为强</ruby>！上吧，美达比！\n冲进对手的<ruby=ふところ>近身范围</ruby>！”
「だから誰がメタビーだッ！\n色々危ないからそれやめろっ！」	“都说了谁是美达比啊！\n各方面都很危险，别再喊了！”
（俺は危なっかしいノヴァの指示を受けながら\nガラハド目掛けて突進し、\n一気に間合いを詰めるッ！）	（我听从诺瓦那令人提心吊胆的指挥，\n朝加拉哈德猛冲过去，\n一口气缩短了双方的距离！）
