# Chapter 1 continuation: the emergency parent observation
「川島さん。コーヒーをどうぞ。」	“川岛先生，请用咖啡。”
「ありがとう。ミナト。\n頂くよ。」	“谢谢你，凑。\n那我就不客气了。”
「あっ！ユート！ダメよ！\n<ruby=しどう>獅堂</ruby>ミナトの<ruby=い>淹</ruby>れたコーヒーなんて飲んじゃ！」	“啊！悠斗！不可以！\n狮堂<ruby=しどう>凑</ruby><ruby=い>泡</ruby>的咖啡可不能喝！”
「は？<ruby=けんか>喧嘩</ruby>売ってるのかしら？\n盾なんとかさん。」	“哈？你这是在找<ruby=けんか>茬</ruby>吗？\n盾什么小姐。”
「だから<ruby=たてがみ>盾守</ruby>アメリアだっつってんでしょうが！\nいい加減覚えろ！」	“都说了我叫<ruby=たてがみ>盾守</ruby>阿梅莉亚！\n你也该给我记住了吧！”
「あんたは料理がまともに出来ない<ruby=ぶきようおんな>不器用女</ruby>なんだから！\nあんたが<ruby=い>淹</ruby>れたコーヒーなんて\n<ruby=まず>不味</ruby>くて飲めたもんじゃないでしょ！」	“你可是连饭都做不好的<ruby=ぶきようおんな>笨手笨脚女</ruby>！\n你<ruby=い>泡</ruby>的咖啡，\n<ruby=まず>难喝</ruby>得根本没法入口！”
「そう思うのならあれを<ruby=ごらん>御覧</ruby>なさい。」	“如果你这么认为，就请<ruby=ごらん>看看</ruby>那边。”
「わ。<ruby=しどうかいちょう>獅堂会長</ruby>のコーヒー、おいしー。」	“哇，<ruby=しどうかいちょう>狮堂会长</ruby>泡的咖啡真好喝。”
「うむ。<ruby=びみ>美味</ruby>だな。」	“嗯，<ruby=びみ>美味</ruby>。”
「とても<ruby=おい>美味</ruby>しいよ。ミナト。」	“非常<ruby=おい>美味</ruby>，凑。”
「なん……ですって……。\n馬鹿な……獅堂ミナトのコーヒーが<ruby=うま>美味</ruby>い…だと？」	“你……说什么……\n怎么可能……狮堂凑泡的咖啡居然<ruby=うま>好喝</ruby>……？”
「確かにミナトは最初のうちは\n少々コーヒーを淹れるのを苦戦していたんだ。」	“凑一开始确实\n在泡咖啡这件事上吃了不少苦头。”
「けれど彼女は努力家でね。\n僕がコーヒーの淹れ方を教えると\nみるみると上達していったのさ。」	“不过她很努力。\n我教她泡咖啡的方法后，\n她的手艺很快就突飞猛进了。”
「これも川島さんが<ruby=いっしょうけんめい>一生懸命</ruby>マンツーマンで\n手取り足取り教えてくれたおかげです。」	“这也多亏川岛先生<ruby=いっしょうけんめい>不厌其烦</ruby>地一对一\n手把手教导我。”
「こうして私は誰もが認める\n立派なコーヒーレディになる事が出来ました。\n素敵なレクチャーをありがとうございます。」	“就这样，我终于成为了\n人人认可的优秀咖啡师。\n感谢你精彩的指导。”
「友情！努力！勝利！\nこれぞ我が<ruby=せいおうがくえん>聖皇学園</ruby>の<ruby=もほう>模範</ruby>となる生徒だ！」	“友情！努力！胜利！\n这才是我<ruby=せいおうがくえん>圣皇学园</ruby>的<ruby=もほう>模范</ruby>学生！”
「生徒会長は<ruby=だて>伊達</ruby>ではないな。獅堂。」	“看来学生会长这个头衔并非<ruby=だて>徒有虚名</ruby>啊，狮堂。”
「うんうん頑張ったね。獅堂会長。」	“嗯嗯，努力得很好呢，狮堂会长。”
「あ、ありがとう。五月雨さん。\n嬉しい…きゅん。」	“谢、谢谢你，五月雨同学。\n好开心……心动。”
「そ、そんなあの家庭科ボロクソで\n料理全般ドヘタクソな獅堂ミナトが\nコーヒーレディになったですって…！？」	“怎、怎么会……那个家庭课一塌糊涂、\n做什么料理都笨手笨脚的狮堂凑，\n居然成了咖啡师……！？”
「く、悔しいけど…\nあんたの努力認めるしかないようね…っ。」	“可、可恶……\n虽然不甘心，但也只能承认你的努力了……”
「それじゃ私にもコーヒーレディの淹れた\nコーヒーを頂けるかしら？」	“那么，也能请咖啡师\n给我泡一杯吗？”
「嫌よ。」	“不要。”
「なんでよ！何で皆にコーヒー淹れて\n私にだけコーヒー淹れないのよ！？」	“为什么！为什么给所有人泡咖啡，\n偏偏不给我泡！？”
「このコーヒーレディのコーヒーは\n川島さん達、生徒会メンバーに<ruby=ふるま>振舞</ruby>うもの。」	“这位咖啡师泡的咖啡，\n是供川岛先生他们这些学生会成员<ruby=ふるま>享用</ruby>的。”
「盾なんとかさんとかいう\n部外者に<ruby=ふるま>振舞</ruby>うコーヒーなんて無いわ。」	“至于盾什么小姐这种\n外人，就没有咖啡可<ruby=ふるま>享用</ruby>了。”
「はああああ！？？\nいやいや私だってユート<ruby=ひき>率</ruby>いる\n<ruby=がくえんせいとかい>学園生徒会</ruby>・<ruby=してんのう>四天王</ruby>の一人でしょうが！」	“哈啊啊啊！？\n不对吧，我也是悠斗<ruby=ひき>率领</ruby>的\n<ruby=がくえんせいとかい>学院学生会</ruby>·<ruby=してんのう>四天王</ruby>之一啊！”
「なんで私だけ<ruby=の>除</ruby>け者にするのよ！\n獅堂ミナトぉおおおお～～～ッ！！！」	“为什么偏偏把我<ruby=の>排</ruby>除在外！\n狮堂凑啊啊啊啊～～～！！！”
「やれやれ。また始まったな。」	“真是的，又开始了。”
