# Chapter 1 continuation: synchronisation data and the heroine route
（影山は手慣れた手つきでノートパソコンを\nカタカタと操作する。）	（影山熟练地操作着笔记本电脑，\n键盘发出哒哒声。）
「ふむ。１３号の好感度は高水準を維持している。\nこれは過去に積み重ねた経験がそのまま反映されている。」	“嗯，十三号的好感度维持在高水平。\n这直接反映了你们过去积累的经历。”
「反面、川島は記憶を失った影響で\n１３号への好感度が<ruby=いちじる>著</ruby>しく低下していた。」	“另一方面，川岛因为失去记忆，\n对十三号的好感度曾<ruby=いちじる>显著</ruby>下降。”
「しかし、フェイリクスの<ruby=さくりゃく>策略</ruby>により\n川島の身体は奪われた挙句、\n学園アイドル４人が洗脳される自体が発生。」	“可是，由于费利克斯的<ruby=さくりゃく>策略</ruby>，\n川岛的身体被夺走，\n还发生了四名学院偶像遭到洗脑的事态。”
「このままでは学園アイドルを攻略し\n<ruby=むげんつくよみ>夢幻月読</ruby>を<ruby=だは>打破</ruby>する計画が<ruby=すいほう>水泡</ruby>に<ruby=き>帰</ruby>してしまう。」	“照这样下去，攻略学院偶像、<ruby=むげんつくよみ>梦幻月读</ruby><ruby=だは>打破</ruby>的计划\n就会<ruby=すいほう>化为泡影</ruby><ruby=き>告终</ruby>。”
「<ruby=きゅうち>窮地</ruby>を脱する為、１３号と行動を共にする事が\n多くなった結果、\n川島の１３号に対する好感度が徐々に上昇。」	“为了摆脱<ruby=きゅうち>困境</ruby>，你和十三号共同行动的次数增加，\n结果，\n川岛对十三号的好感度逐渐上升。”
「このまま順当に行けば、\n１３号との<ruby=こんぱくせつぞく>魂魄接続</ruby>も問題無く行えるだろう。」	“照这样顺利发展下去，\n与十三号进行<ruby=こんぱくせつぞく>魂魄连接</ruby>也不会有问题。”
「むしろ、この調子ならば\n今回の攻略対象を１３号に<ruby=す>据</ruby>えても問題無いだろう。\nまさに不幸中の幸いといったところか。」	“倒不如说，照这个势头，\n把十三号<ruby=す>定为</ruby>本次攻略对象也没问题。\n这也算是不幸中的万幸吧。”
「えー。川島さん。\n自分にそんなにときめいちゃってたんスかー。\nきゃー。恥ずかしー。」	“诶——川岛先生。\n原来你这么为我心动啊——\n呀，好害羞——”
「良かったですねえ。ノヴァさん。\n川島さんはノヴァさんの魅力に\n気付きつつあるようですよ。」	“太好了，诺瓦小姐。\n川岛先生似乎正在\n逐渐意识到你的魅力。”
「うん。お前が好感度を数値化出来るのはわかったけど\nそういうのって攻略対象のヒロインの前で言っちゃダメじゃね？\n<ruby=じょうほうつつぬ>情報筒抜</ruby>けで攻略どころの話じゃねーよ。」	“嗯，我知道你能把好感度数值化，\n但这种话不该在攻略对象女主面前说吧？\n情报<ruby=じょうほうつつぬ>全泄露</ruby>了，还攻略个什么啊。”
「確かに通常のヒロイン攻略と違って\n１３号は作戦の<ruby=いちぶしじゅう>一部始終</ruby>を把握している仕掛け人だ。」	“确实，和通常攻略女主不同，\n十三号是掌握作战<ruby=いちぶしじゅう>全部过程</ruby>的幕后策划者。”
「しかし、他のヒロインと違って\n君と過ごした過去の記憶がある分、\n好感度は高水準を維持している。」	“不过，她和其他女主不同，\n拥有与你共度的过去记忆，\n所以好感度一直维持在高水平。”
「むしろ、君が１３号を受け入れるだけで\n良いのだから作戦難易度は低いと言える。」	“换句话说，只要你接受十三号，\n作战难度就算很低了。”
「HEY！YOU！\n早く自分に<ruby=こく>告</ruby>っちゃいなYO！」	“HEY！YOU！\n快点向我<ruby=こく>告白</ruby>吧YO！”
「や……やりずれえ……。」	“这……这也太难办了……”
「参考文献によれば、敵の<ruby=さくりゃく>策略</ruby>に<ruby=はま>嵌</ruby>り\n信じていた者達に裏切られ絶望に落とされた主人公を\nヒロインが救うシチュエーションはまさに王道。」	“根据参考文献，主人公落入敌人的<ruby=さくりゃく>策略</ruby><ruby=はま>陷阱</ruby>，\n遭信任之人背叛而陷入绝望，\n最后由女主角拯救，这正是王道情节。”
「これは、君がフェイリクスによって身体はおろか\n友や家族まで奪われ、<ruby=しんしんそうしつじょうたい>心神喪失状態</ruby>に<ruby=おちい>陥</ruby>ったところへ\n１３号が駆けつけた状況と<ruby=こくじ>酷似</ruby>している。」	“这和你被费利克斯夺走身体，甚至连朋友和家人都失去，\n<ruby=しんしんそうしつじょうたい>心神丧失状态</ruby>的<ruby=おちい>陷入</ruby>时刻，\n十三号赶来救你的情形<ruby=こくじ>极其相似</ruby>。”
「これはつまり、\n君達は意図せず王道ラブコメ展開を\n進んでいたという事だ。」	“也就是说，\n你们一直在无意中\n走王道恋爱喜剧路线。”
「さすが川島。\n君こそがラブコメ主人公だ。」	“不愧是川岛。\n你就是恋爱喜剧的男主角。”
「お、俺は……無意識の内に\nラブコメ主人公に<ruby=かくせい>覚醒</ruby>していたのか……っ。」	“我、我……在不知不觉间\n<ruby=かくせい>觉醒</ruby>成恋爱喜剧男主角了吗……！”
「いいですねえ。\n主人公の<ruby=せんざいのうりょく>潜在能力</ruby>が目覚め<ruby=かくせい>覚醒</ruby>する。\n素晴らしい王道展開じゃないですか。」	“真不错。\n主人公的<ruby=せんざいのうりょく>潜在能力</ruby><ruby=かくせい>觉醒</ruby>，\n这不是精彩的王道展开吗？”
「まさに友情！努力！勝利！ですなあ。\nはっはっは。」	“正是友情！努力！胜利！\n哈哈哈。”
「……しかし、能力覚醒っていうのは\nもっとバトル向けな強化イベント的なものじゃないか？\nラブコメ主人公として覚醒する意味とは…？」	“……不过，所谓能力觉醒，\n不该是更适合战斗的强化事件吗？\n觉醒成恋爱喜剧男主有什么意义……？”
