# Chapter 1 continuation: the salary ultimatum
「ユ、ユリ姉は悪くねえ…っ！\nユリ姉は悪くねえ…っ！」	“百、百合姐没错……！\n百合姐没有错……！”
「ただ、ユリ姉は一生懸命だっただけなんだ…っ！\n何故お前らにはそれがわからない…っ！」	“百合姐只是一直在努力而已……！\n为什么你们就是不明白……！”
「貴様は姉であるユリヒメを<ruby=もうしん>妄信</ruby>し過ぎているな。\n客観的な視点と冷静な判断力を持たなければ、\n本当の真実を見失う事になるぞ。」	“你太过<ruby=もうしん>盲信</ruby>身为姐姐的百合姬了。\n如果没有客观的视角和冷静的判断力，\n终有一天会迷失真正的真相。”
「俺の中ではユリ姉が絶対的正義。\nこれこそがこの世界のにおけるたった一つの真実さ。」	“在我心中，百合姐就是绝对正义。\n这就是这个世界唯一的真相。”
「どうやら既に手遅れのようだ。\nこの男はユリヒメという絶対的な神に\n囚われている。」	“看来已经无可救药了。\n这个男人已经被名为百合姬的\n绝对之神牢牢俘虏。”
「それは自分も困ってるんスよー。\nラブコメ主人公がいきなり特定のヒロインに対して\n好感度MAXとかやりずらくてしょうがねーッス。」	“我也正为这事发愁呢。\n恋爱喜剧的男主角突然对某位女主角\n好感度MAX，实在让人很难办。”
「ノヴァさん、<ruby=しんちゅう>心中</ruby>お察しします。\n川島さんの呪いが早く解けるといいですね。」	“诺瓦小姐，我<ruby=しんちゅう>深表同情</ruby>。\n希望川岛先生的诅咒能早日解除。”
「おいやめろ！俺を<ruby=あわ>憐</ruby>れむんじゃねぇ！\n俺は正常だ！俺は真人間だ！」	“喂，住手！别<ruby=あわ>可怜</ruby>我！\n我很正常！我是个正经人！”
「異常な奴ほど自分を正常だと主張し、\n正当化しようとする。」	“越是异常的人，越会声称自己正常，\n试图为自己正名。”
「典型的な症状が出ていますね。」	“典型症状已经出现了。”
「勝手に診断してんじゃねー。\n俺はどこも悪くねえ！」	“别擅自给我下诊断。\n我哪里都没问题！”
「そんな事より、<ruby=きこういん>機巧院</ruby>。\nお前達を呼び出した理由はわかっているな？」	“先不说这个，<ruby=きこういん>机巧院</ruby>。\n你知道我叫你们来的理由吧？”
「わかりませーん。\n先生、教えてください。」	“不知道——。\n老师，请告诉我吧。”
「誰が先生だ。\n相変わらず舐めた態度をしている。」	“谁是老师？\n你还是一如既往地态度轻浮。”
「これも上司の指導が不十分のせいだ。\nこれだから舐められるのだ。天道。」	“这也是因为上司指导不力。\n所以才会被人轻视，天道。”
「本部の任務遂行中の今、\nノヴァさんの直属の上司は\n真田警部ですよ？」	“现在正在执行总部任务，\n诺瓦小姐的直属上司\n可是您，真田警部啊？”
「機巧院。フェイリクス捕獲任務の\n進捗はどうなっている？\n何故、定時連絡を<ruby=よこ>寄越</ruby>さないのだ。」	“机巧院，费利克斯捕获任务\n进展如何？\n为什么不按时<ruby=よこ>送来</ruby>联络？”
「真田警部。\nこちらも重要な任務を遂行中だったんスよ。」	“真田警部，\n我们这边也在执行重要任务啊。”
