# Chapter 1 continuation: Nova's present
「さて、今回のデートのラストを飾るのは\nこのお店ッス。」	“好了，为这次约会压轴的，\n就是这家店。”
（ノヴァに案内されて来たのは\n<ruby=はんかがい>繁華街</ruby>から外れた<ruby=うらろじ>裏路地</ruby>に\nひっそりと<ruby=たたず>佇</ruby>むビルの地下のフロアだった。）	（诺瓦带我来到的地方，\n是远离<ruby=はんかがい>繁华街</ruby>、位于<ruby=うらろじ>后巷</ruby>内\n一栋<ruby=たたず>悄然伫立</ruby>的大楼的地下楼层。）
「……何かめちゃくちゃアヤシイ雰囲気が\n<ruby=ただよ>漂</ruby>う店なんだが。大丈夫なのかここ？」	“……这家店<ruby=ただよ>散发</ruby>着一股\n极其可疑的气息。这里真的没问题吗？”
「<ruby=地下へようこそ>Welcome to Underground</ruby>。」	“<ruby=地下へようこそ>欢迎来到地下世界</ruby>。”
「その名の通りここはアンダーグラウンド。\nアングラショップ。」	“顾名思义，这里是地下世界。\n一家地下商店。”
「一般流通してない入手困難な\nありとあらゆるブツを\n独自のルートから取り寄せる。」	“所有没有在市面流通、难以获得的货物，\n这里都能通过独家渠道\n设法弄到手。”
「この店で手に入らないものは無いと言っても\n過言では無いスーパーなショップッス。」	“说这家超级商店里没有买不到的东西，\n也毫不夸张。”
「……おいおい、国内で<ruby=ばいばいきんし>売買禁止</ruby>の\nヤベーもんが売られてんじゃねーだろうな？」	“……喂喂，这里该不会在卖\n国内<ruby=ばいばいきんし>禁止交易</ruby>的危险货物吧？”
「馬鹿言うな。<ruby=いかるがけいさつ>斑鳩警察</ruby>のお<ruby=ひざもと>膝元</ruby>で\nそんな割に合わねー事をするかってんだ。」	“别说傻话。在<ruby=いかるがけいさつ>斑鸠警察</ruby>的<ruby=ひざもと>眼皮底下</ruby>，\n谁会做那种得不偿失的生意。”
（俺の<ruby=かげぐち>陰口</ruby>が聞こえたのか、\n店のカウンターからアヤシイオッサンが出て来た。）	（大概是听到了我的<ruby=かげぐち>背后议论</ruby>，\n一个可疑的大叔从商店柜台后走了出来。）
「おー。テンチョー。\nおひさー。」	“哦——，店长。\n好久不见——。”
「よお。ノヴァ。\nこうして顔を合わせるのは久々だな。」	“哟，诺瓦。\n我们确实很久没这样见面了。”
「いつもやり取りはメールか電話で\nブツのやり取りも運び屋を使ってますからなぁ。」	“平时都是用邮件或电话联系，\n货物也由运送人负责交接。”
