# Chapter 1 continuation: the first meeting of Noel and Felix
「臆病？」	“胆小？”
「……本当は怖いんだ。帝国重工も実験も剣魔も。」	“……其实我很害怕。害怕帝国重工，害怕实验，也害怕剑魔。”
「でも、ここから逃げ出す勇気も無くて\nみんなの為って自分に言い聞かせてるだけ。」	“可是，我连逃离这里的勇气都没有，\n只能不断告诉自己，这是为了大家。”
「強がる必要はないさ。\n怖いなら怖いって言えばいい。」	“没必要逞强。\n害怕的话，说出来就好。”
「ノエルが怖がるものは\n俺が追い払ってやるよ。」	“诺艾尔害怕的东西，\n我会替你赶走。”
「ふふっ。頼もしいね。」	“呵呵，真可靠。”
「ユートは怖くないの？\nユートも私と同じ実験体なんでしょ？」	“悠斗不害怕吗？\n悠斗和我一样，也是实验体吧？”
「怖くなんかないね。\nなんたって俺はソードブレイカー計画の実験で\nめちゃくちゃパワーアップしてるからな。」	“我才不怕。\n因为我可是经过破剑者计划实验，\n实力大幅提升的男人。”
「わあ。ユート、ポジティブだね。\n人体実験されていて\nそこまで前向きになれるなんてすごい。」	“哇，悠斗真乐观。\n明明在接受人体实验，\n还能这么积极，真厉害。”
「実験だろうが何だろうが\n強くなれるんなら何だっていいさ。」	“不管是什么实验，\n只要能变强就无所谓。”
「強くなって、剣魔をやっつけて、\n俺がユリ姉を守るんだ。」	“变强，打倒剑魔，\n然后由我来保护百合姐。”
「そっか。\nユートにはお姉さんが居るんだよね。」	“这样啊。\n悠斗有一个姐姐呢。”
「ノエルも俺が守ってやるよ。\n大切な友達だからな。」	“诺艾尔也由我来保护。\n因为你是我重要的朋友。”
「私が……友達。」	“我……是朋友。”
「あのさ……ユート。」	“那个……悠斗。”
「ん？」	“嗯？”
「二人で一緒にここから逃げよう。\nソードブレイカーも<ruby=だいさんせだいがた>第三世代型</ruby>も剣魔も……\n何もかも投げ出して。」	“我们两个一起逃离这里吧。\n不管是破剑者、<ruby=だいさんせだいがた>第三代机型</ruby>，还是剑魔……\n把一切都抛下。”
「それは……出来ない。」	“那……我做不到。”
「どう……して？」	“为……什么？”
「この研究所には\nユリ姉……大切な家族が居るんだ。\nユリ姉を置いて逃げるわけには行かない。」	“这座研究所里\n还有百合姐……我重要的家人。\n我不能丢下百合姐逃走。”
「そう……だよね…。\nごめんね。困らせちゃって。」	“是……这样呢……\n对不起，让你为难了。”
「ノエル……俺は……、」	“诺艾尔……我……”
「こんなところに居たのかい。\nノエル。」	“原来你在这种地方啊。\n诺艾尔。”
「……フェイリクス。」	“……费利克斯。”
「駄目じゃないか。\n勝手に部屋から抜け出しちゃ。\nドクターが怒っていたよ。」	“怎么能这样。\n擅自从房间里跑出来，\n博士都生气了。”
「ごめん。\nちょっと外に出てみたくて。」	“对不起。\n我只是想出来看看。”
「いいんだ。ノエル。\n君のせいじゃないのはわかってる。」	“没关系，诺艾尔。\n我知道不是你的错。”
「すべてはユート、君のせいだ。」	“一切都是因为你，悠斗。”
「なんだと？」	“你说什么？”
「君がノエルをたぶらかし、\nこんなところに連れ出したりなんかするから\nノエルの立場が悪くなる。」	“是你诱骗诺艾尔，\n把她带到这种地方，\n才让诺艾尔陷入困境。”
「ノエルは優しいから君のワガママに\n付き合ってあげているだけだ。\n本当は迷惑してるのさ。」	“诺艾尔只是因为善良，\n才陪你任性。\n其实她心里很困扰。”
「ユート。\nもう二度とノエルに近づかないでくれ。\n君はノエルに悪影響を与えてる。」	“悠斗，\n以后别再接近诺艾尔。\n你会对她造成不好的影响。”
「ンだとテメェ…！\n言わせておけば…！」	“你说什么……！\n别以为我会任你胡说……！”
「やめて…ッ！」	“住手……！”
「フェイリクス、ユートにひどい事言わないで。\n私はユートを迷惑だなんて思ってないし、\n自分の意志でここに来たんだ。」	“费利克斯，不要对悠斗说那么过分的话。\n我从没觉得悠斗碍事，\n是我自己想来这里的。”
「……ノエル。またこの男を<ruby=かば>庇</ruby>うんだね。」	“……诺艾尔，你又要<ruby=かば>袒护</ruby>这个男人吗？”
「ユート。ごめんね。\nフェイリクスは私が心配なだけなんだ。」	“悠斗，对不起。\n费利克斯只是担心我。”
「帰ろう。フェイリクス。\nドクターに謝らないと。」	“回去吧，费利克斯。\n得向博士道歉。”
「わかったよ。行こう。\nノエル。」	“知道了。我们走吧，\n诺艾尔。”
「ユート、今日はありがとう。」	“悠斗，今天谢谢你。”
「………またね。」	“……再见。”
（ノエルは少し申し訳なさそうで、\n寂しそうな表情で言葉を<ruby=つむ>紡</ruby>ぎ、去って行った。）	（诺艾尔带着些许歉意，\n用寂寞的表情<ruby=つむ>诉说</ruby>完这句话，转身离去。）
（そしてこれが、俺がノエルを見た最後の姿だった。）	（而这就是我最后一次见到诺艾尔。）
「<ruby=でんげんせつぞく>電源接続</ruby>。エーテライトコア<ruby=ちょっけつ>直結</ruby>。\n<ruby=きたいしんだんせいじょう>機体診断正常</ruby>。システムオールグリーン。\n<ruby=サイファー>CIPHER</ruby>-09、起動します。」	“<ruby=でんげんせつぞく>电源连接</ruby>。以太核心<ruby=ちょっけつ>直连</ruby>。\n<ruby=きたいしんだんせいじょう>机体诊断正常</ruby>。系统全部为绿色。\n启动<ruby=サイファー>CIPHER</ruby>-09。”
「う……。\nここ……は……？」	“呜……\n这……是哪里……？”
「川島さん。目覚めたッスか？」	“川岛先生，醒了吗？”
「ノエル……？」	“诺艾尔……？”
「残念。ノヴァちゃんッス。」	“遗憾，是诺瓦酱。”
「ノヴァ……か。\nこうして見ると本当にノエルとそっくりだな。」	“诺瓦……吗。\n这样一看，真的和诺艾尔一模一样。”
「どうやらそうみたいッスね。\n<ruby=ノヴァ>NOVA</ruby>シリーズはノエルさんの<ruby=こんぱく>魂魄</ruby>をベースに\n生産されたらしいので。」	“好像确实如此。\n听说<ruby=ノヴァ>NOVA</ruby>系列是以诺艾尔小姐的<ruby=こんぱく>魂魄</ruby>为基础\n生产出来的。”
「夢を見ていた……。\nいや、あれは実際にここで起きた記憶……。」	“我刚才做了个梦……\n不，那是确实发生在这里的记忆……”
「そう、思い出したんだ。\n俺はノエルとあの時、この場所で会っていた。」	“没错，我想起来了。\n那时我曾在这里遇见诺艾尔。”
「記憶は消える事は無い。\nただ、思い出せないだけで。」	“记忆不会消失。\n只是暂时想不起来而已。”
「ノエルさんと過ごしたこの場所に来たのが\nきっかけで忘れていた記憶を\n思い出すことが出来たのでしょう。」	“正因为来到了和诺艾尔共度时光的地方，\n你才找回了\n被遗忘的记忆吧。”
「ノヴァ。俺はノエルと……、」	“诺瓦，我和诺艾尔……”
「みなまで言わずともわかっております。\n川島さんが思い出したノエルさんとの記憶は\nあのモニターを通して上映しておりましたからな。」	“不用说完我也明白。\n川岛先生想起的那些与诺艾尔的记忆，\n我已经通过那台显示器播放出来了。”
「モニター？」	“显示器？”
（振り返ると俺の背後に\nデカい液晶モニターが備え付けられていた。\nモニターの配線コードを見ると俺の頭に繋がっていた。）	（我回头一看，身后装着一台巨大的液晶显示器。\n顺着显示器的连接线看去，\n竟然连在我的头上。）
「お前、俺の記憶を勝手に\nスクリーン上映してんじゃねーよ。\n返せよ。俺の<ruby=じょうちょ>情緒</ruby>を。」	“你这家伙，别擅自把我的记忆\n在屏幕上放映啊。\n把我的<ruby=じょうちょ>情绪</ruby>还给我。”
「いやいや、川島さんは今、\nせっかくオートマタなんスから\nオートマタの利点を最大限に生かさなければ。」	“哎呀，川岛先生现在好歹是自动人偶，\n当然得最大限度利用\n自动人偶的优点。”
「オートマタの利点って家電製品なの？」	“自动人偶的优点就是家电功能吗？”
「それで川島さん。\nあの後、ノエルさんは一体どうなったんスか？」	“那么川岛先生，\n之后诺艾尔小姐到底怎么样了？”
「ナチュラルにスルーするなよ。」	“别这么自然地跳过啊。”
「いや……、あの後、\nノエルを勝手に部屋から連れ出した俺は\n出禁にされちまって、」	“那之后……\n我擅自把诺艾尔带出房间，\n结果被禁止进入研究所，”
「ノエルに会いに行く事が出来なかったんだ。」	“再也没法去见诺艾尔。”
「しばらくして、ほとぼりが冷めた頃に\nノエルに会いに行ったんだが、\nノエルはどこにも居なかった。」	“过了一阵子，等风头平息后\n我再去找诺艾尔，\n她却已经不在任何地方。”
「それ以来、俺はノエルに会っていない。\nあの時、あの庭園で見たのが\n最後のノエルの姿だったんだ。」	“从那以后，我再也没见过诺艾尔。\n那时在庭园里看到的她，\n就是我最后见到的诺艾尔。”
「……そうッスか。」	“……这样啊。”
「……ノエル。\nあの後、一体何があったんだ……。」	“……诺艾尔。\n那之后你到底经历了什么……”
「川島さんの記憶をモニターに外部出力した事で\nわかったことがあるんスけど。」	“把川岛先生的记忆输出到显示器后，\n我发现了一件事。”
