# Chapter 1 continuation: Minato and Tatemori's suspicious outing
「今日は晴れて良かったね。\nミーちゃん。」	“今天放晴真好。\n小凑。”
「ええ。とても良いお出かけ<ruby=びより>日和</ruby>ね。\nアーちゃん。」	“是啊，真是适合出门的好<ruby=びより>天气</ruby>。\n小阿。”
「まるで私達二人を祝福しているかのような\nおあつらえ向きの日ね。」	“简直像是在祝福我们两人的\n完美天气呢。”
「そうね。きっとアーちゃんが\n晴れ女だからに違いないわね。\nさすが私の親友、アーちゃん。」	“没错，一定是因为小阿是\n晴女。\n不愧是我的挚友，小阿。”
「もう。ミーちゃんったらお<ruby=せじ>世辞</ruby>がうまいね。\nでもありがと。」	“真是的，小凑你真会说<ruby=せじ>奉承话</ruby>。\n不过谢谢。”
「ふふっ。」	“呵呵。”
「えへへっ。」	“嘿嘿。”
「<ruby=しどう>獅堂</ruby>と……<ruby=たてがみ>盾守</ruby>だよな？\n何やら様子がおかしいようだが。」	“那是<ruby=しどう>狮堂</ruby>和……<ruby=たてがみ>盾守</ruby>吧？\n总觉得情况不太对。”
「いやいやいや！おかしいにも程があるッス！」	“不不不！这已经不是不对劲能形容的了！”
「会う度に喧嘩をしている<ruby=けんえん>犬猿</ruby>の仲ッ！\n<ruby=はんぱつ>反発</ruby>しあう<ruby=じしゃく>磁石</ruby>のような存在ッ！\n聖皇学園史上最悪のコンビッスよ！？」	“她们每次见面都吵架，关系<ruby=けんえん>水火不容</ruby>！\n像互相<ruby=はんぱつ>排斥</ruby>的<ruby=じしゃく>磁铁</ruby>！\n是圣皇学园史上最糟糕的组合！”
「あの二人が休日に仲良くお出かけしているなんて\n何かキメてるとしか思えないッス！」	“那两个人居然在休息日友好地出门，\n怎么看都像是嗑了什么！”
「し、しかも…ッ！お互いを親友などと<ruby=のたま>宣</ruby>い、\nミーちゃん、アーちゃんと呼び合う超絶親身の距離感ッ！\n世界の<ruby=きんこう>均衡</ruby>が今ッ！破壊されているんスよッ！」	“而、而且……！还<ruby=のたま>宣称</ruby>彼此是挚友，\n互称小凑、小阿，亲密得过分！\n世界的<ruby=きんこう>均衡</ruby>正在被破坏！”
（ノヴァがかつてない動揺を見せているが、\n確かに決して<ruby=あいい>相容</ruby>れないであろう獅堂と盾守が\n仲良さそうにしているのは明らかに異常だ。）	（诺瓦显露出前所未有的动摇，\n但狮堂和盾守明明绝不可能<ruby=あいい>相容</ruby>，\n现在却关系亲密，确实异常。）
「それじゃ早速だけどこの先の\nショッピングモールに行きましょうか。」	“那么，我们现在去前面的\n购物中心吧。”
「うん。お洋服を見るのよね。」	“嗯，去看衣服对吧。”
「ミーちゃんのお洋服、\n私が選んであげる！」	“小凑的衣服，\n我来帮你挑！”
「まあ、嬉しい。\nアーちゃんが選んでくれるなら\n絶対間違いないわ。」	“真的吗，好开心。\n只要是小阿挑的，\n肯定不会错。”
「えへへっ。任せて。\nさあ、行きましょう。」	“嘿嘿，交给我吧。\n走吧。”
「うんっ。」	“嗯！”
（獅堂と盾守は二人で仲良く手を繋ぎながら\nショッピングモールへ向かっていく。）	（狮堂和盾守亲密地牵着手，\n一起走向购物中心。）
「……まじかよ。\n完全にキャラ崩壊してるじゃねーか。」	“……真的假的。\n人设彻底崩了吧。”
「二人の後をつけるッス。\n<ruby=ちょうほうぶじきでん>諜報部直伝</ruby>の本物の<ruby=びこうそうさ>尾行捜査</ruby>。\nとくとお見せしましょう。」	“跟踪她们。\n让你见识<ruby=ちょうほうぶじきでん>谍报部亲传</ruby>的真正<ruby=びこうそうさ>尾行调查</ruby>。\n请好好看着。”
「学生相手にそんな<ruby=やすやす>易々</ruby>と\n<ruby=でんか>伝家</ruby>の<ruby=ほうとう>宝刀</ruby>を抜いちゃっていいのかよ。」	“对学生也能这么<ruby=やすやす>轻易</ruby>地\n拔出<ruby=でんか>祖传</ruby>的<ruby=ほうとう>宝刀</ruby>吗？”
「あ、見て見て。\nこの花柄のワンピースなんて\nミーちゃんに似合うんじゃないかしら？」	“啊，快看。\n这件碎花连衣裙\n不是很适合小凑吗？”
「そうね。全体的にはよさそうだけど\n私には地味過ぎるんじゃないかしら？」	“是不错。但整体来说，\n会不会对我而言太朴素了？”
「そんな事無いわ！」	“才不会！”
「ミーちゃんは<ruby=せいそ>清楚</ruby>でお<ruby=しと>淑</ruby>やかな\nお姉さんタイプなんだからこれぐらい地味な方が\nバッチリ決まると思うの！」	“小凑是<ruby=せいそ>清纯</ruby>又<ruby=しと>淑</ruby>雅的大姐姐类型，\n朴素一点\n才更适合你！”
「確かに。アーちゃんがそう言うなら\nそんな気がしてきたわ。カラーリングも\n白で私に合いそうな気がするもの。」	“确实。小阿这么说的话，\n我也觉得是这样。颜色是白色，\n感觉也很适合我。”
「そうそう。ミーちゃんは学園を代表する\n生徒会長さんだしやっぱりクリーンな\nホワイトカラーがイメージにピッタリね。」	“没错。小凑可是代表学园的\n学生会长，清爽的\n白色最符合你的形象。”
「嬉しい。アーちゃんは私の事、\n何でもわかっているのね。」	“好开心。小阿真是\n什么都了解我。”
「あったりまえよ！\n私にミーちゃんの事を語らせたら\n右に出るものは居ないわ！」	“那当然！\n要说了解小凑，\n没人比得过我！”
「……なんだろう。服の事を話してるはずなのに\n色々<ruby=ちゅうしょうてき>抽象的</ruby>でふわふわしていて\n雲を掴むような話なんだが。」	“……怎么说呢。明明在聊衣服，\n内容却<ruby=ちゅうしょうてき>抽象</ruby>又飘忽，\n像是在捕风捉影。”
「明らかにその場のノリというか\n雰囲気で話してる感あるっスね。」	“明显是在顺着现场气氛\n随口说。”
「これまで犬猿の仲でバチバチだったせいで\nお互いの事を知らなさすぎる挙句、当たり障りの無い\n表面上の所でしか互いを褒められないという事ッスか。」	“因为以前一直水火不容、针锋相对，\n她们对彼此了解太少，\n只能在无关痛痒的表面互相夸奖。”
「そこまでして仲良し感を演出する意味とは…？」	“做到这种程度来装亲密，到底有什么意义……”
「それじゃアーちゃんが選んでくれた\nこの花柄のワンピース買っちゃおうかなっ。」	“那就买下小阿挑的\n这件碎花连衣裙吧。”
「それがいいわ！店員さん！\n一着お買い上げよ！」	“好主意！店员！\n我们买一件！”
「花柄のワンピースですね。\nお買い上げありがとうございます。」	“碎花连衣裙是吧。\n感谢购买。”
「それじゃカードで……、」	“那就刷卡……”
「待って。ミーちゃん。」	“等等，小凑。”
「どうしたの？アーちゃん。」	“怎么了，小阿？”
「私が買ったげる。\nミーちゃんへのプレゼントよ。」	“我来买。\n这是送给小凑的礼物。”
「ッ！あ、アーちゃん……ッ！」	“啊！小、小阿……”
「う、嬉しい…！そのさりげない優しさ…ッ！\n配慮…ッ！気遣い…ッ！\n私、今キュンってしちゃった！」	“好、好开心……！这不经意的温柔……！\n体贴……！关怀……！\n我的心现在怦怦跳！”
「ふふっ。サプライズで\nミーちゃんを喜ばせたかったの。\nどうやらその様子だと大成功みたいね。」	“呵呵，我想给小凑一个惊喜。\n看来\n效果非常成功。”
「うん…っ。成功を通り越して\nもはや優勝…ッ！優勝よ！アーちゃん！」	“嗯……！这已经超过成功，\n简直是冠军……！冠军啊！小阿！”
「ありがとう。優勝トロフィー代わりに\n花柄のワンピースを贈呈させてもらうよ。」	“谢谢。就把碎花连衣裙\n当作冠军奖杯送给你吧。”
「それじゃ、カード一括払いで。」	“那就刷卡一次付清。”
「承りました。\nお買い上げありがとうございます。」	“好的。\n感谢购买。”
「ところでお二人はとても仲が良いのですね。\nご学友ですか？」	“话说两位关系真好。\n是同学吗？”
「学友なんてもんじゃないわ。\nもっと上のステージに居るの。」	“才不只是同学。\n我们的关系在更高的层次。”
「私達、マブダチだもんね。\nアーちゃん。」	“我们可是挚友嘛。\n小阿。”
「うん。マブダチよね！\nミーちゃん。」	“嗯，是挚友！\n小凑。”
「ねー。」	“对吧。”
「……何故あいつらは\n<ruby=しつよう>執拗</ruby>に互いの名前を呼び合うのか。\nしかもあだ名で。」	“……她们为什么要\n<ruby=しつよう>执着</ruby>地互相喊名字，\n还用昵称。”
「……あまりにも露骨な仲良いアピール。\n……妙だな。」	“……过于露骨的亲密宣示。\n……很奇怪。”
（<ruby=しどう>獅堂</ruby>と<ruby=たてがみ>盾守</ruby>の驚くべき関係性を目の当たりにした\n俺達は<ruby=はくちゅうむ>白昼夢</ruby>のような幻覚に憑りつかれているに\n違いないと。そう言い聞かせた。）	（亲眼目睹<ruby=しどう>狮堂</ruby>和<ruby=たてがみ>盾守</ruby>惊人的关系后，\n我们一定是被<ruby=はくちゅうむ>白日梦</ruby>般的幻觉附身了，\n我这样说服自己。）
