# Chapter 1 continuation: BALLISTA battle and Eisen's counterattack
「言われなくても逃げてるよッ！」	“不用你说我也在逃啊！”
（俺は向かってくるミサイルの射線上から\n走って逃げ回るッ！）	（我在飞来的导弹射线上\n拼命奔逃！）
「ああ。言い忘れてたけど\nバリスタのミサイルは<ruby=ついびしき>追尾式</ruby>。」	“啊，忘了告诉你，\nBALLISTA的导弹是<ruby=ついびしき>追踪式</ruby>。”
「どんなに逃げても標的を追い続ける\nホーミングミサイルよッ！」	“无论怎么逃都会追着目标的\n追踪导弹！”
（通り過ぎたミサイル達は<ruby=きゅうせいどう>急制動</ruby>しながら\n方向転換し再びを俺を追尾してくるッ！）	（飞过头的导弹<ruby=きゅうせいどう>急刹</ruby>转向，\n再次追踪我！）
「ちょ…っ！なんだその動き！\nいい加減しつけーぞッ！」	“等……！这是什么动作！\n也太缠人了吧！”
「これで終わりだッ！」	“结束了！”
「受けなさい！正義の<ruby=てっつい>鉄槌</ruby>！」	“接招吧！正义的<ruby=てっつい>铁锤</ruby>！”
「ぐわーーッ！！」	“呜哇——！”
（逃げ場を失った俺は\n近くに着弾したミサイルの爆風に\n吹っ飛ばされるッ！！）	（无处可逃的我\n被在附近落地的导弹爆风\n轰飞了！！）
（爆風の<ruby=すいしんりょく>推進力</ruby>は凄まじく\n俺は進行方向に居るバリスタに激突するッ！！）	（爆风的<ruby=すいしんりょく>推进力</ruby>惊人，\n我撞上了前方的BALLISTA！！）
「いってぇええッ！！」	“好痛啊啊！”
「目標との接触を確認。\n<ruby=ただ>直</ruby>ちに迎撃します。」	“确认接触目标。\n<ruby=ただ>立即</ruby>进行拦截。”
「はん！わざわざバリスタの\n目の前に飛んでくるなんて\nそんなに死にたいらしいわね！」	“哼！居然自己飞到BALLISTA\n面前，\n你是那么想死吗！”
「待って……！あの方向はまずい…ッ！」	“等等……！那个方向不妙……”
（残った３発のミサイルが俺を追尾して飛んでくる。\nそれはつまり、近くのバリスタ目掛けて\nミサイルが向かって来ている事を意味する。）	（剩下的三枚导弹追踪我飞来。\n也就是说，导弹正朝着\n附近的BALLISTA飞去。）
「あああ！ミサイルがバリスタに！\nよ、避けなさいッ！バリスタッ！」	“啊啊啊！导弹朝BALLISTA来了！\n快、快躲开！BALLISTA！”
「く…ッ！まさかこれを狙っていたのか！？」	“唔……！难道你就是在等这个！？”
「―――――――計画通り。」	“——————计划之中。”
（俺がバリスタの真下で伏せると同時に\n３発のミサイルがバリスタに直撃し\n大爆発を起こすッ！）	（我趴到BALLISTA正下方的同时，\n三枚导弹正中BALLISTA，\n引发大爆炸！）
「あ……あ……ッ！\n私達のバリスタが……負けた……？」	“啊……啊……！\n我们的BALLISTA……输了……？”
「そんな……嘘よ……！？\nこれだけやっても勝てないっていうの……！？」	“怎么会……骗人的吧……！？\n做到这种程度还是赢不了吗……！？”
「う……うう…っ。\nわ、私達……負けちゃったよぉ……っ。」	“呜……呜呜……。\n我、我们……输了……”
「どうやら……私達はここまでのようね……っ。\nあとは川島先生に任せましょう……っ。」	“看来……我们到此为止了……。\n接下来交给川岛老师吧……”
「そうね……っ。\nユリ先生なら何とかしてくれるよね……っ。」	“是啊……。\n百合老师一定会想办法的……”
「ええ……っ。\nだから私達は一足先に休ませてもらうとしましょう……。\n少し……疲れたわ……。」	“嗯……。\n那我们就先休息一下吧……\n有点……累了……”
「うん……。お休みなさい。\nミーちゃん……。」	“嗯……晚安。\n小凑……”
「お休み……。\nアーちゃん……。」	“晚安……\n小阿……”
（獅堂と盾守は抱き合いながらその場に倒れ込んだ。）	（狮堂和盾守拥抱着倒在原地。）
「え？死んだ？」	“诶？死了？”
「いや、気を失っているだけッス。」	“不，只是失去意识。”
「おそらく二人で軍事用オートマタの\nバリスタを操縦したことで\n<ruby=こんぱく>魂魄</ruby>が擦り減って<ruby=ひへい>疲弊</ruby>したのでしょう。」	“可能是两人共同操纵军用自动人偶\nBALLISTA，\n<ruby=こんぱく>魂魄</ruby>损耗而<ruby=ひへい>疲惫</ruby>了。”
「オートマタの操縦って\nそんなに消耗するのか……。」	“操纵自动人偶\n这么消耗吗……”
「どちらかというと元々犬猿の仲である獅堂かいちょーと\n盾守パイセンが無理やり仲良くしてたせいで\n潜在的な精神ダメージが大きかったのではないかと。」	“与其说是操纵消耗，\n不如说狮堂会长和盾守前辈本来水火不容，\n硬装亲密造成了巨大的精神伤害。”
「一見仲良さそうに見えても\n互いに反発し合ってたって事か。\n……どんだけ仲悪いんだよ。こいつら。」	“也就是说，看似亲密，\n其实一直在互相排斥。\n……她们关系到底有多差啊。”
「さあ。先を急ぐッス。\n洗脳装置はこの先のB区画ッス。」	“好了，赶紧前进。\n洗脑装置就在前方的B区。”
「おう。」	“好。”
「なんとか獅堂達を<ruby=しりぞ>退</ruby>けたのはいいが、\nまさか破壊工作の情報が筒抜けとはな。」	“虽然总算把狮堂她们<ruby=しりぞ>击退</ruby>了，\n没想到破坏行动的情报竟然泄露了。”
「この先の洗脳装置までの道のりに\n<ruby=しかく>刺客</ruby>が待ち構えてるんじゃないか？」	“前往洗脑装置的路上，\n不会有<ruby=しかく>刺客</ruby>埋伏吧？”
