# Chapter 1 continuation: Yuto reveals his identity
「でも、ちょっと待ってよ！」	“不过，等一下！”
「ユリヒメ達を<ruby=たぶら>誑</ruby>かした<ruby=ちょうほんにん>張本</ruby>人が\n川島ユートの姿をしたフェイリクスだってのは\nわかったわ。」	“我明白了，<ruby=たぶら>蛊惑</ruby>百合姬她们的<ruby=ちょうほんにん>罪魁祸首</ruby>，\n是披着川岛悠斗外表的费利克斯。\n这件事我懂了。”
「じゃあ、身体を奪われたっていう\n本物の川島ユートはどこに行っちゃったのよ！？」	“那么，那个身体遭到夺取的\n真正的川岛悠斗又去了哪里！？”
「た、確かに…！本物の川島さんは<ruby=どこ>何処</ruby>に…！」	“的、的确……！真正的川岛先生究竟在<ruby=どこ>何处</ruby>……！”
「ユートはドコダー！\nサガセー！コロセー！」	“悠斗在哪里！\n找出来！杀了他！”
（このクソオートマタ。\n未だに俺を殺す気でいやがる。\nマジでポンコツなんじゃねーのか？）	（这个混账自动人偶。\n到现在还惦记着杀我。\n它该不会真是个废品吧？）
「皆さん、落ち着いてください。\n犯人はこの中に居ます。」	“各位，请冷静。\n犯人就在我们之中。”
「勝手に犯人呼ばわりしてんじゃねー。」	“别擅自管我叫犯人。”
「え！？犯人が私達の中に紛れ込んでるっていうの！？」	“什么！？你是说犯人混在我们之中！？”
「い、一体誰なんですか…！？\n犯人は…！？」	“究、究竟是谁……！？\n犯人到底是……！？”
「犯人をコロセー！」	“杀了犯人！”
「ふっ。面白い。」	“呵，有意思。”
「では、聞かせてもらいましょうか。\nこの中に居ると言うのなら。\n犯人は一体誰なのか？」	“那就让我听听吧。\n既然你说他就在这里，\n犯人究竟是谁？”
「いいでしょう。お教えしましょう。」	“好吧，我来告诉各位。”
「盛り上がってまいりましたねえ。」	“气氛越来越热烈了啊。”
「……ゴクリ。」	“……咕嘟。”
「……ドキドキ。」	“……心跳加速。”
「ワクワク。」	“好期待。”
「犯人……いや、\n本物の川島ユートはお前だ！」	“犯人……不，\n真正的川岛悠斗就是你！”
（ノヴァは<ruby=じしんまんまん>自信満々</ruby>に俺に向かって指を差す。）	（诺瓦<ruby=じしんまんまん>信心十足</ruby>地伸手指向了我。）
（人を勝手に犯人呼ばわりしてイラッと来るが\nここは自分の正体を明かす為にも\nノヴァに乗っておくか。）	（被人擅自叫成犯人着实让我火大，\n不过为了在这里表明自己的身份，\n我就配合一下诺瓦吧。）
「フェイリクスに身体も大切なモノも\nすべて奪われた悲しき被害者！\n俺が……俺こそが本物の川島ユートだ！」	“被费利克斯夺走身体，也夺走了一切珍爱之物的\n悲惨受害者！\n我……我才是真正的川岛悠斗！”
「え！あんたが本物のユートだったの！？」	“什么！你才是真正的悠斗！？”
「この方が本物の……川島さん！？」	“这位才是真正的……川岛先生！？”
「コイツがユートか！\nサツキを返せコノヤロー！\nシネー！」	“这家伙就是悠斗吗！\n把皋月还回来，混蛋！\n去死！”
「おいポンコツオートマタ。\n人の話聞けよ。」	“喂，你这个废品自动人偶。\n听人说话啊。”
「確かにシスターさんの言う通り、\nその<ruby=からくりにんぎょう>機巧人形</ruby>の<ruby=こんぱく>魂魄</ruby>からは人間の<ruby=こどう>鼓動</ruby>を感じるわ。」	“的确如修女小姐所言，我能从那个<ruby=からくりにんぎょう>机巧人偶</ruby>的\n<ruby=こんぱく>魂魄</ruby>中感受到人类的<ruby=こどう>搏动</ruby>。”
「ええ。<ruby=こんぱく>魂魄</ruby>の<ruby=しゅうはすう>周波数</ruby>も\n血の通った人間らしさを感じますね。」	“是的。它的<ruby=こんぱく>魂魄</ruby><ruby=しゅうはすう>频率</ruby>中，\n也能感受到有血有肉的人性。”
「どうやらその<ruby=からくりにんぎょう>機巧人形</ruby>の中身が人間というのも\nあながち嘘ではないらしいわね。」	“看来那个<ruby=からくりにんぎょう>机巧人偶</ruby>里面是人类的说法，\n也并非全是谎言。”
「おわかりいただけましたかな？」	“现在各位明白了吗？”
「待って。」	“等等。”
「リサさん？」	“莉莎小姐？”
「カグヤちゃんとステラちゃんが言うなら\nそのオートマタの中身が人間だという事は\n認めましょう。」	“既然辉夜酱和斯黛拉酱都这么说，\n那我可以承认\n这个自动人偶里面是人类。”
「ちゃん付けはやめて<ruby=ちょうだい>頂戴</ruby>。」	“请你别再加‘酱’了，<ruby=ちょうだい>拜托</ruby>。”
「だけど、そのオートマタが人間だとして。\nそれが川島ユートだという証拠はあるのかしら！？」	“可是，就算这个自动人偶里面是人类，\n你们有证据证明他就是川岛悠斗吗！？”
「た、確かに！」	“的、的确！”
「なるほど。一理あるわね。」	“原来如此，确实有道理。”
「オラー！オマエはユートナノカー！？\n証拠ダセー！証明シロー！」	“喂！你真的是悠斗吗！？\n拿出证据！证明自己！”
「しまった。そこまで考えてなかった。」	“糟了，我没想到这一层。”
「おやおや。\n痛いところを突かれてしまいましたねえ。\nどうします？ノヴァさん。」	“哎呀呀，\n被人戳中痛处了呢。\n怎么办，诺瓦女士？”
「上手く言いくるめられると思ったのに\nなかなか<ruby=かん>勘</ruby>が<ruby=するど>鋭</ruby>いじゃねーか。」	“我还以为能顺利糊弄过去，\n没想到你的<ruby=かん>直觉</ruby>还挺<ruby=するど>敏锐</ruby>嘛。”
（<ruby=どうよう>動揺</ruby>しているのかシスターとは\n思えない<ruby=げんどう>言動</ruby>が飛び出すノヴァ。）	（或许是因为<ruby=どうよう>动摇</ruby>，诺瓦脱口而出的<ruby=げんどう>言行</ruby>，\n完全不像一个修女。）
（まぁエセシスターだから\n<ruby=ば>化</ruby>けの<ruby=かわ>皮</ruby>が<ruby=は>剥</ruby>がれただけなのだが。）	（不过她本来就是冒牌修女，\n只是<ruby=ば>伪装</ruby>的<ruby=かわ>外皮</ruby>被<ruby=は>揭穿</ruby>了而已。）
「川島のアニキ。何か証明出来ないんスか？\n奴ら、この期に及んで\nアニキを<ruby=うたが>疑</ruby>ってやがりますぜ？」	“川岛大哥，你就没办法证明一下吗？\n她们事到如今，\n居然还在<ruby=うたが>怀疑</ruby>大哥你啊？”
「……何でチンピラの<ruby=しゃてい>舎弟</ruby>みたいな\n言い回しなんだよ。」	“……你这说话方式怎么跟小混混的\n<ruby=しゃてい>小弟</ruby>一样。”
