# Chapter 1 continuation: repairs and the next operation
「こちらの修理は完了した。\n１３号。再起動だ。」	“这边的修理已经完成。\n十三号，重新启动。”
「ほーい。ポチっとな。」	“好——。按一下。”
「電源接続。エーテライトコア<ruby=ちょっけつ>直結</ruby>。\n機体診断正常。システムオールグリーン。\n<ruby=サイファー>CIPHER</ruby>-09、起動します。」	“电源接通。以太光核心<ruby=ちょっけつ>直接连接</ruby>。\n机体诊断正常，系统一切正常。\n<ruby=サイファー>CIPHER</ruby>-09，开始启动。”
「……あん？ここは？」	“……嗯？这里是？”
「おはよー。川島さん。\nここは我々の秘密基地ッス。」	“早上好，川岛先生。\n这里是我们的秘密基地。”
「お目覚めの気分はいかがッスか？	“醒来的感觉怎么样？”
「気分は別によくも悪くも無いな。\nっていうか、オートマタってマジで夢見ないんだな。\n気付いたら起きてたぞ。」	“感觉谈不上好，也谈不上坏。\n话说，自动人偶还真的不会做梦啊。\n回过神来就已经醒了。”
「そりゃ<ruby=かんぜんきおくりょういき>完全記憶領域</ruby>を保有してるッスからね。\n人間みたいに睡眠によって脳を休めて\n記憶を整理する必要が無いんスよ。」	“因为我们拥有<ruby=かんぜんきおくりょういき>完全记忆领域</ruby>。\n不需要像人类一样通过睡眠让大脑休息，\n再整理记忆。”
「はーん。なるほどな。\nそいつはちょっと寂しい気もするぜ。」	“哦——，原来如此。\n总觉得这样有点寂寞啊。”
「寂しい？何故だ？\n本来、夢など無駄以外の何物でも無いと思うが。」	“寂寞？为什么？\n梦这种东西本来就毫无意义，只是浪费而已。”
「ロマンがねぇな。影山。\n夢はその名の通りドリーム。\n現実世界で起きない事も夢なら体験出来るのさ。」	“真不懂浪漫啊，影山。\n梦，顾名思义就是Dream。\n现实世界里不会发生的事，也能在梦中体验。”
「例えば？」	“比如呢？”
「そりゃあ勿論、セーラー服姿のユリ姉と\n学園青春ラブコメをする事だって可能だ。\n夢の世界ならな。」	“那当然是和身穿水手服的百合姐\n上演一场校园青春恋爱喜剧。\n在梦中就能做到。”
「………あくまで現実ではなく\n仮想世界に希望を見出すのは\nなんか悲しくなってくるッスね。」	“………只在虚拟世界而非现实中\n寻找希望，\n总觉得有点可悲啊。”
「ふむ。川島の願望はいわゆる仮想現実での体験。\nVRに通ずるところがあるな。」	“唔。川岛的愿望也就是所谓的虚拟现实体验。\n和VR有相通之处。”
