# Chapter 1 continuation: the card shop
<ruby=デュエリスト>決闘者</ruby>A	<ruby=デュエリスト>决斗者</ruby>A
「俺はフィールドの２体のモンスターを生贄に捧げ、\n手札からツインヘッドドラゴンを召喚！」	“我将场上的两只怪兽作为祭品，\n从手牌召唤双头龙！”
「ツインヘッドドラゴンで\n<ruby=ダイレクトアタック>直接攻撃</ruby>！」	“用双头龙发动\n<ruby=ダイレクトアタック>直接攻击</ruby>！”
<ruby=デュエリスト>決闘者</ruby>B	<ruby=デュエリスト>决斗者</ruby>B
「<ruby=トラップ>罠</ruby>カードをオープン！\nアタックキャンセラーを発動！」	“打开<ruby=トラップ>陷阱</ruby>卡！\n发动攻击无效器！”
「ツインヘッドドラゴンの攻撃を無力化する！」	“使双头龙的攻击无效！”
「おー。やってるやってる。\n今日も<ruby=デュエリスト>決闘者</ruby>達が\n熱い決闘を繰り広げてるッスねー。」	“哦——，打起来了，打起来了。\n<ruby=デュエリスト>决斗者</ruby>们今天也在\n展开火热的对决啊——。”
「……何スかここ？\nっていうかあの人達は何やってんの？」	“……这里是什么地方？\n话说，那群人在干什么？”
「おや？今<ruby=ちまた>巷</ruby>で大流行のカードゲーム\n『ソード＆ブレイカー』をご存じ無い？」	“哦？你不知道现在<ruby=ちまた>街头巷尾</ruby>都很流行的卡牌游戏\n《剑与破坏者》吗？”
「なにそれ。っていうか、\nこの場でカードゲームしてる<ruby=デュエリスト>決闘者</ruby>達は\n全員『ソード＆ブレイカー』をやってんの？」	“那是什么？话说，\n在这里玩卡牌游戏的<ruby=デュエリスト>决斗者</ruby>们，\n全都在玩《剑与破坏者》吗？”
「そッス。このカードショップでは\nデュエルスペースという誰でも無料で利用出来る\nカードゲーム専用のプレイ広場があるんスよ。」	“没错。这家卡牌店里\n设有任何人都能免费使用的决斗区，\n是专门用来玩卡牌游戏的场地。”
「もちろんカードゲームなら\nジャンル問わずプレイ出来るんスけど、」	“当然，只要是卡牌游戏，\n不管什么类型都能在这里玩。”
「今や『ソード＆ブレイカー』が\n人気絶頂の覇権カードゲーム過ぎて\n全員ソーブレやってるッスね。」	“不过如今《剑与破坏者》\n是人气登顶的霸权卡牌游戏，\n所以大家玩的都是剑破。”
「……このカードゲーム、ソーブレって略すんだ。」	“……这款卡牌游戏简称剑破啊。”
男の子A	男孩A
「あ、チャンプだ！」	“啊，是冠军！”
男の子B	男孩B
「おいチャンプ！デュエルしろよ！\n今度はぜってー負けねーからな！」	“喂，冠军！跟我决斗！\n这次我绝对不会输！”
「ふっ。<ruby=ザコ>雑魚</ruby>には用が無いッス。\nせめて大会で三回戦以上勝ち残れたら\n相手してやってもいいッスよ。」	“哼。我对<ruby=ザコ>杂鱼</ruby>没兴趣。\n至少在大赛里闯过第三轮，\n我才可以考虑陪你玩玩。”
「クソがッ！\nまぐれで勝ったからって調子に乗りやがって！」	“可恶！\n不就是侥幸赢了一次，少得意忘形！”
「覚えてろよッ！\n次は必ず吠え面かかせてやるからなッ！」	“给我记住！\n下次一定让你哭丧着脸！”
（ノヴァに絡んできた小学生ぐらいのガキ二人組は\n捨て台詞を吐きながら去っていた。）	（那两个小学生模样、跑来找诺瓦麻烦的小鬼，\n撂下狠话后离开了。）
「あいつら知り合い？\nってかチャンプって？」	“他们是你认识的人？\n还有，冠军是怎么回事？”
「あれは自分に負けた敗北者ッスよ。\n強すぎるのも罪なものッスね。」	“他们只是我的手下败将。\n太强也是一种罪过啊。”
（ノヴァが達観したような表情で遠くを見つめる。）	（诺瓦一脸看破世事的表情，望向远方。）
（っていうか、ノヴァの視線の方向に\n『第三回ソード＆ブレイカーちびっこ大会優勝者\n<ruby=きこういん>機巧院</ruby>ノヴァ』と書かれた表彰状があった。）	（话说，在诺瓦视线的方向，\n有一张写着“第三届剑与破坏者少儿大赛冠军，\n<ruby=きこういん>机巧院</ruby>诺瓦”的奖状。）
「おま……まさか小学生に紛れ込んで\n優勝をかっさらっていったのか？」	“你……该不会混进小学生当中，\n把冠军抢走了吧？”
「デュエルに男も女も子供も関係ねー。\n強い者こそが正義。\nデュエルは遊びじゃねーんだ。」	“决斗不分男女老幼。\n强者就是正义。\n决斗可不是游戏。”
（まさに外道。\n<ruby=じこけんじよく>自己顕示欲</ruby>の為に弱者をいたぶる\nカードゲームあらしがここに居た。）	（简直毫无人性。\n为了满足<ruby=じこけんじよく>自我表现欲</ruby>而欺凌弱者的\n卡牌游戏踢馆者就在这里。）
「おおッ！こ、これは…っ！\nソーブレの新パックで登場した\n超レアカード『<ruby=こんぱくゆうごう>魂魄融合</ruby>』ッ！」	“哦哦！这、这是……！\n剑破新卡包中登场的\n超稀有卡牌《<ruby=こんぱくゆうごう>魂魄融合</ruby>》！”
「ほ、欲しいーーー！」	“好、好想要——！”
（ノヴァはカードが展示されたガラス張りの\nショーケースに張り付きながら一枚のカードを\nよだれを垂らしながら眺めている。）	（诺瓦贴在展示卡牌的玻璃柜上，\n流着口水，目不转睛地盯着\n其中一张卡。）
「なにそれ。そんなに良いカードなの？」	“那是什么？这张卡有那么好吗？”
「良いカードどころの騒ぎじゃないッスッ！\nこれを自分のヒーローデッキに３枚採用出来れば\nまさに世界が変わる革命的な強化が可能になるッス！」	“哪是一个‘好’字可以形容的！\n如果能在我的英雄卡组里投入三张，\n就能获得足以改变世界的革命性强化！”
「え？同じカードを３枚入れる必要があるの？」	“欸？有必要放进三张相同的卡吗？”
「いやいや、同名カード３枚積みは常識ッスよ。\nカードを複数枚積むことでデッキからドローする確率を上げ\nよりコンボに繋げやすくするんスよ。」	“不不，同名卡投入三张可是常识。\n增加卡牌数量能提高从卡组抽到它的概率，\n也就更容易打出连招。”
「まぁ、強すぎるカードは制限が掛かって\nデッキに一枚しか入れられないとかあるッスけど\n幸いこれは出たばかりの新カード。」	“当然，太强的卡牌会受到限制，\n有时一副卡组只能放一张，\n幸好这张是刚刚推出的新卡。”
「まだ何のルール制限も受けてないゆえに\n３枚積み出来るってわけなのです。」	“因为尚未受到任何规则限制，\n所以现在可以投入三张。”
「しかし、このカードの効果はどう考えても強すぎる。\nいずれは制限カードに指定されてしまうでしょう。」	“不过，这张卡的效果怎么想都过于强大。\n迟早会被指定为限制卡。”
「ですが、無制限の今こそが最大の好機ッ！\n今、このカードを３枚積みして無双してやるッス！」	“可是，尚未受限的现在正是最大良机！\n我要趁现在投入三张这张卡，横扫一切！”
「こいつ……己の勝利にしか目が無い……。\nなんて勝ちに貪欲な奴なんだ……。」	“这家伙……眼里只有自己的胜利……\n对胜利也太贪婪了……”
「あ！このカード……一枚５０００円！？\nた、高いッ！高すぎる…ッ！」	“啊！这张卡……一张五千日元！？\n太、太贵了！贵得离谱……！”
「高校生のお小遣いで\nこんなの買えるわけが無い…ッ！\nち、ちくしょー！足元見やがって…っ！」	“高中生的零花钱\n怎么可能买得起这种东西……！\n可、可恶！居然趁火打劫……”
「店員！店員はどこだー！」	“店员！店员在哪里！”
（カードの値段に納得がいかないノヴァは\n店員を呼び出す。\n迷惑クレーマーの誕生である。）	（无法接受卡牌价格的诺瓦\n叫来了店员。\n烦人投诉者就此诞生。）
店員	店员
「どうしましたか？お客さん。」	“怎么了，客人？”
「どうしたもこうしたもねーですよ！\n<ruby=こんぱくゆうごう>魂魄融合</ruby>が一枚５０００円って\nちょっと高すぎるんじゃないッスか！？」	“还问我怎么了！\n一张《<ruby=こんぱくゆうごう>魂魄融合</ruby>》卖五千日元，\n是不是太贵了一点！？”
「まぁ、この前出たばかりの新カードですし\n効果も環境トップクラスの強さ。\n人気も高いのでこれぐらいの値段はしますねぇ。」	“毕竟是前不久才推出的新卡，\n效果强度也是环境顶尖水平。\n人气又高，自然要卖到这个价格。”
「だからって一枚のカードに１BOX相当の\n値段付けるのはどうかと思いますがねえ？\n子供のお小遣いじゃ買えませんよこんなの！」	“就算这样，一张卡卖到整盒卡包的价格，\n也太不合理了吧？\n小孩子的零花钱根本买不起！”
「ウチも商売でやってますからねぇ。\nそれにどこの店もこれぐらいが相場ですよ。\nお客さんだってそれぐらいわかるんじゃないです？」	“我们开店也是要做生意的。\n而且不管哪家店，行情价都差不多。\n客人应该也懂这个道理吧？”
「く…っ！減らず口を……っ！」	“唔……！还敢顶嘴……”
「３０００円…っ。\n３０００円ならどうッスか？」	“三千日元……\n三千日元怎么样？”
（クレームが通らないと悟ったノヴァは\n値切る方向にシフトした。）	（诺瓦发现投诉不起作用，\n转而开始砍价。）
「ダメです。」	“不行。”
「３５００円…っ！」	“三千五百日元……！”
「３８００円…っ！」	“三千八百日元……！”
「ダメです。この価格以上は下げれません。」	“不行，不能再降价了。”
「うがぁああーー！\nこのわからずやめーー！」	“呜嘎啊啊——！\n你这个死脑筋——！”
（わからずやなのはどうみてもノヴァの方である。）	（不管怎么看，死脑筋的明显都是诺瓦。）
「もういい。わかったッス。\nこうなったら、自分で当てるッス。」	“够了，我明白了。\n既然这样，我就自己抽出来。”
「この新パック一つくださいッス。」	“请给我一包这个新卡包。”
「はい。毎度。１８０円になります。」	“好的，谢谢惠顾。一百八十日元。”
（ノヴァはしぶしぶ財布から小銭を出し\n１パックを購入した。）	（诺瓦不情不愿地从钱包里掏出零钱，\n买了一包。）
「ありがとうございましたー。」	“感谢惠顾——。”
「さて、開封式ッス。\nこのパックに５０００円の匂いがプンプンするぜー。」	“好了，接下来是开包仪式。\n这包卡散发着浓浓的五千日元气味——。”
「金額じゃなくてカード名で呼んでやれ。」	“别用价格称呼它，好歹叫卡名啊。”
