# Chapter 1 continuation: Karakuri Duel, second half
「了解。\n右腕ブーステッドナックル射出。」	“明白。\n右臂增幅铁拳，发射。”
「なにっ！？」	“什么！？”
「ぐはああッ！！」	“咕啊啊啊！！”
（ガラハドの射出された右腕が\n俺の<ruby=きょうぶ>胸部</ruby>に直撃し、吹っ飛ばされる。）	（加拉哈德射出的右臂\n正中我的<ruby=きょうぶ>胸口</ruby>，将我轰飞出去。）
「いえーい。大当たり―！」	“耶——。正中靶心！”
「<ruby=きょうぶそんしょうりつ>胸部損傷率</ruby>７５％、\n<ruby=うわんそんしょうりつ>右腕損傷率</ruby>１００％…機能停止。\n右腕アイアンフィスト使用不能。」	“<ruby=きょうぶそんしょうりつ>胸部损伤率</ruby>75%，\n<ruby=うわんそんしょうりつ>右臂损伤率</ruby>100%……机能停止。\n右臂钢铁拳无法使用。”
「あちゃー。そういやガラハドにも\n飛び道具あったの忘れてたッスねー。」	“哎呀——。这么一说，我忘记\n加拉哈德也有远程武器了——。”
「いやいや！お前目の前で\nヤツのロケットパンチで俺の部屋破壊されてんの\n見てんだから覚えとけよ！」	“不对吧！你刚才亲眼看着\n那家伙用火箭拳拆了我的房间，\n这种事给我记住啊！”
「川島さんこそ、ロケットパンチ直撃で\nザクロちゃんを亡き者にされてんスから\nそっちこそ覚えてた方がよくないスか？」	“川岛先生才是，被火箭拳直接命中，\n连小石榴都被它送走了，\n这种事你自己不是更该记住吗？”
「ザクロちゃんは死んでねぇッ！\n俺の心の中で生き続けてんだッ！」	“小石榴才没有死！\n她会永远活在我心里！”
「はいはい。それにしても\n片腕使えなくなったのは痛いッスねー。」	“是是是。不过话说回来，\n一条手臂不能用了确实很伤啊——。”
「つーか、他に武器はねーのか、この機体！\nガラハドが飛び道具満載じゃ勝ち目ねぇぞ！」	“话说这台机体就没有别的武器吗！\n加拉哈德浑身都是远程武器，这还怎么赢！”
「そういえば、\nドクターが川島さんを改造した時に\nいくつか武装を追加したんスよね。」	“这么说来，\n博士改造川岛先生的时候，\n好像加装了几件武器。”
「それを早く言えよッ！\nなんで素手で飛び道具持ちの相手と戦ってんだよ！」	“这种事早点说啊！\n我为什么要赤手空拳跟全是远程武器的家伙打！”
「右腕ガトリング、リロード完了。」	“右臂加特林，装弹完毕。”
「片腕が使えなくなって<ruby=ぜったいぜつめい>絶体絶命</ruby>だっていうのに\n随分と余裕があるじゃない。\nそれとも強がってるだけなのかな？」	“一条手臂都不能用了，已经<ruby=ぜったいぜつめい>走投无路</ruby>，\n你却还挺从容嘛。\n还是说，你只是在逞强？”
「まぁ、ガラハドくんも準備万端みたいだし\nそろそろ壊しちゃうよ？」	“好了，加拉哈德也准备就绪，\n差不多该把你拆掉了哦？”
「やっぱり使い終わった<ruby=がんぐ>玩具</ruby>は\n壊すのに限るよね。」	“用完的<ruby=がんぐ>玩具</ruby>，\n果然还是拆掉最好呢。”
（<ruby=むじゃき>無邪気</ruby>な顔して平然と恐ろしい事を言い放つサツキ。\nこの時俺は絶対こいつの玩具になってはいけないと思った。）	（皋月摆着一张<ruby=むじゃき>天真无邪</ruby>的脸，若无其事地说出骇人的话。\n这一刻，我发誓绝不能成为她的玩具。）
「川島さん。ガラハドのガトリング砲は\n発射の瞬間、一瞬だけ隙が出来るッス。」	“川岛先生，加拉哈德的加特林炮\n在开火的一瞬间会露出短暂的破绽。”
「そのタイミングこそが我々の唯一の勝機。\n自分が照準補正をするッスから\nタイミングは川島さんに任せるッス。」	“那个瞬间就是我们唯一的胜机。\n由我负责修正瞄准，\n把握时机就交给川岛先生了。”
「これが最後のチャンスってわけか。\nいいぜ。その賭け乗った。」	“也就是说，这是最后的机会。\n好啊，这个赌我押了。”
「さーて、お二人さん。\n作戦会議は終わったのかな？」	“那么，两位。\n作战会议开完了吗？”
「ああ。たった今完成したところだ。\n勝利の方程式が。」	“对，刚刚才完成。\n我们的胜利方程式。”
「へー。それはすごいね。\nじゃあ、その方程式の解が\nまちがってる事を教えてあげるよ。」	“哦——，真厉害呢。\n那我就来告诉你们，\n这个方程式的解是错的。”
「やっちゃえ！ガラハドくん！\nばんばんばーん！」	“干掉他，加拉哈德！\n砰砰砰——！”
「右腕ガトリング、射撃開始。」	“右臂加特林，开始射击。”
「川島さんッ！今ッス！」	“川岛先生！就是现在！”
（ガラハドがガトリング砲の照準を合わせ、\n射撃を開始するまでに生じる一瞬の隙。）	（加拉哈德用加特林炮完成瞄准后，\n到正式开火之前会出现一瞬间的破绽。）
（俺はこの<ruby=せつな>刹那</ruby>。\n左腕のサブマシンガンをガトリング砲の発射口、\n目掛けて乱射する。）	（就在这<ruby=せつな>刹那</ruby>间，\n我用左臂的冲锋枪瞄准加特林炮的发射口，\n猛烈扫射。）
「右腕ガトリング発射口損傷。\n射撃ニ失敗シマシタ。」	“右臂加特林发射口受损。\n射击失败。”
「うそっ！ガラハドくんのガトリング砲に\n銃弾を撃ち込んで発射不能にしただって！？」	“不会吧！他把子弹射进加拉哈德的加特林炮，\n让它无法开火了！？”
「この距離から発射口に\n銃弾を<ruby=すんぶんたが>寸分違</ruby>わず撃ち込むとはね。\nなんて精密な射撃精度だ。」	“竟然能从这个距离把子弹<ruby=すんぶんたが>分毫不差</ruby>地\n射进发射口。\n好精密的射击。”
「ふっ。\n川島さんの照準補正は自分が担当してるッス。\n<ruby=ひゃっぱつひゃくちゅう>百発百中</ruby>ッスよ。」	“哼。\n川岛先生的瞄准修正由我负责。\n自然是<ruby=ひゃっぱつひゃくちゅう>百发百中</ruby>。”
「………そうか。ノエルが。」	“………原来如此。是诺艾尔……”
「<ruby=ノヴァ>NOVA</ruby>シリーズの演算能力は\n<ruby=だいさんせだいがた>第三世代型</ruby>の中でも極めて高い。\nこの程度の射撃を成功させるなど<ruby=ぞうさ>造作</ruby>も無い事だったね。」	“<ruby=ノヴァ>NOVA</ruby>系列的运算能力，\n即使在<ruby=だいさんせだいがた>第三代机型</ruby>中也极为出色。\n成功完成这种程度的射击自然<ruby=ぞうさ>不费吹灰之力</ruby>。”
「えっへん。」	“哼哼。”
「もー！こうなったらロケットパンチだ！\n行けぇ！ガラハドくん！」	“真是的！既然这样就用火箭拳！\n上吧！加拉哈德！”
「――――――そこまで。\nこの<ruby=きこうしょうぶ>機巧勝負</ruby>、時間切れで引き分けとする。」	“――――――到此为止。\n这场<ruby=きこうしょうぶ>机巧对决</ruby>因时间耗尽，判为平局。”
「えー！なんでさー！\nまだ決着ついてないよー！」	“欸——！为什么啊——！\n还没分出胜负呢——！”
「残念だけど昼休みは終わりだ。\n早く教室に戻って授業を受けなくちゃあダメだよ。\nサツキ。」	“很遗憾，午休已经结束了。\n你得赶快回教室上课才行。\n皋月。”
「もー。しょうがないなー。\n勝負はお預けにしておいてあげるよ。」	“真是的——。没办法。\n这场胜负就暂且寄放在这里吧。”
「それじゃ私達は教室に戻るから。\n行こ。ガラハドくん。」	“那我们回教室了。\n走吧，加拉哈德。”
「ほーい。ではまたー。」	“好——，回头见——。”
「え？ガラハドを教室に連れてくの？\n絶対その<ruby=ずうたい>図体</ruby>じゃ教室入らないだろ。」	“欸？你要把加拉哈德带进教室？\n它那副<ruby=ずうたい>大块头</ruby>绝对进不了门吧。”
（サツキは引き分けになった事が納得行かないのか\nむくれながらガラハドを引き連れて去っていた。）	（皋月似乎无法接受平局的结果，\n气鼓鼓地带着加拉哈德离开了。）
「いやー。危ないところだったッスねー。\nガラハドのロケットパンチが直撃した時は\nどうなる事かと思ったッスよ。」	“哎呀——，刚才真危险啊——。\n加拉哈德的火箭拳直接命中时，\n我还以为要出大事了。”
「つーか、サブマシンガンとかいう\nちゃんとした武装があるなら先に言えよ！\n無駄に不利な展開になったじゃねーか！」	“话说，既然有冲锋枪这种正经武器，\n一开始就告诉我啊！\n害我白白陷入劣势！”
「武装が追加されたの忘れるぐらい\n一人で引きこもってたのは誰ッスかねー。」	“也不知道是谁把自己关了那么久，\n连加装过武器都忘得一干二净——。”
「……うっ。\nいや、それはそれ。\nこれはこれよ。」	“……唔。\n不，那是一码事。\n这是另一码事。”
「そうやって分が悪くなると\n誤魔化す癖どうにかならないんスかー？」	“一发现自己理亏，\n就这样蒙混过去的毛病不能改改吗——？”
「……ぐっ。\n今回は世話を掛けたな。\nおかげさまで助かったぜ。」	“……唔。\n这次给你添麻烦了。\n多亏你，我才得救。”
「そうそう。素直が一番ッスよ。」	“没错没错，坦率才是最好的。”
「……ノエル。君はそんな顔も出来るんだね。」	“……诺艾尔。原来你也能露出那样的表情。”
「うおっ！フェイリクス！\nお前まだ居たのかよ！」	“哇！费利克斯！\n你居然还在啊！”
「……僕には見せた事の無い、\n僕の知らないノエルの表情。」	“……那是她从未向我展露过的，\n我所不知道的诺艾尔的表情。”
「……君が、君がノエルを変えたのか。\n川島ユート。」	“……是你，是你改变了诺艾尔吗？\n川岛悠斗。”
「……やはりダメだ。\nノエルを君の側に居させては。\nどんどんノエルが君の影響でおかしくなる。」	“……果然不行。\n不能让诺艾尔留在你身边。\n她正在你的影响下变得越来越奇怪。”
「テメェー。ノヴァに振られたからって\n俺に八つ当たりしてんじゃねー。\n女々しいぞコラァ。」	“你这家伙。别因为被诺瓦拒绝了，\n就把火撒在我身上。\n少在这儿婆婆妈妈的。”
「だからフェイリクスは元カレでも\n何でもないって何度言えばわかるんスか。」	“都说了多少遍了，费利克斯根本不是\n什么前男友，你到底要怎样才明白？”
「ノエル。僕と一緒に帰ろう。\nそしてまた一緒に過ごそう。\nあの頃のように。」	“诺艾尔，跟我一起回去吧。\n然后再像从前那样，\n一起生活。”
「フェイリクス。その申し出、\n自分が首を縦に振るとでも？」	“费利克斯。你该不会以为\n我会点头答应你的请求吧？”
「あんたが自分をノエルだと思い込むのは勝手ッスけど\n自分はあんたに１ミリも興味が無い。\nあんたと過ごすだなんて願い下げッス。」	“你非要认定我是诺艾尔，那是你的自由，\n可我对你连一毫米的兴趣都没有。\n要我跟你一起生活，敬谢不敏。”
（ひえー。\n片思いの相手にバッサリいったー。\nノヴァちゃん容赦ねー。）	（咿——。\n把单相思自己的对象拒绝得干净利落。\n诺瓦真不留情啊。）
「もし、それでも自分が欲しいと言うのなら\n川島さんを倒してからにする事ッスね。」	“如果这样你还是说想要我，\n那就先打败川岛先生再说。”
「………いいだろう。」	“………好吧。”
「川島ユート。\n君はノエルを、僕は学園アイドル達を。\nお互いに大切な人を預かっている身だ。」	“川岛悠斗。\n诺艾尔在你身边，校园偶像们在我身边。\n我们都看管着对方珍视的人。”
