# Chapter 1 continuation: Blaze Children and the Sword Breaker
「あの私服はお気に入りなんスから\n仕事で使ったら汚れちゃうじゃないッスか。」	“那套便服可是我的心爱之物，\n拿来工作弄脏了怎么办？”
「この制服は予備が何着もあるので\nむしろこっちを仕事用に使ってるんスよ。」	“这套制服有好几件备用，\n所以我反而把它当工作服穿。”
「へー。服の事、気にするとか\n女の子っぽいとこあるんだな。」	“哦——居然会在意衣服，\n你也有像女孩子的一面嘛。”
「は？川島さんは自分をなんだと思ってんスか。\n自分、めっちゃ女子なんスけど。」	“哈？川岛先生把我当什么了？\n我可是货真价实的女孩子。”
「あ、怒った？」	“啊，生气了？”
「怒ってないよ。」	“没有生气。”
「怒ってるでしょ？」	“你明明生气了吧？”
「しつこいってかうざい。」	“你很烦，别纠缠了。”
「おま……っ。うざいとか言うなよ。\nストレート過ぎんだろ…。\n傷つくだろ…。」	“你这家伙……！别说我烦啊。\n未免太直接了吧……\n我会受伤的……”
「急にナヨるのやめてもらっていいスか？」	“能不能别突然变得扭扭捏捏的？”
「っていうか、<ruby=しごとぎ>仕事着</ruby>だったら\n警官服着ればよくない？\nむしろ、任務に<ruby=ふさわ>相応</ruby>しい服装だろ。」	“话说，既然是<ruby=しごとぎ>工作服</ruby>，\n穿警服不就好了？\n那才是<ruby=ふさわ>适合</ruby>任务的服装吧。”
「普通の警察の任務ならそうッスね。\nでも自分は諜報部で、これは潜入任務。」	“普通的警察任务确实如此。\n但我是情报部的，这次是潜入任务。”
「警察官だとバレないように<ruby=ふくめんけいかん>覆面警官</ruby>に\n扮する必要があるんスよ。」	“为了不被发现是警察，\n必须<ruby=ふくめんけいかん>伪装成便衣警察</ruby>。”
「この恰好なら女子高生が探検がてらに\n<ruby=はいきょ>廃墟</ruby>に入っちゃった<ruby=てい>体</ruby>で<ruby=ごまか>誤魔化</ruby>せるじゃないッスか。」	“穿成这样，就可以让人以为是女高中生探险，\n<ruby=はいきょ>误入废墟</ruby>的<ruby=てい>样子</ruby>，从而<ruby=ごまか>蒙混</ruby>过去，不是吗？”
「……<ruby=ごまか>誤魔化</ruby>せるかなぁ。」	“……真能<ruby=ごまか>糊弄</ruby>过去吗？”
「フェイリクスの話ではこの施設の\n<ruby=イーとうだいよんくかく>E棟第4区画</ruby>に何かあるらしいッス。」	“根据费利克斯的说法，这座设施的\n<ruby=イーとうだいよんくかく>E栋第4区</ruby>似乎有什么东西。”
「今いるのがC棟なので\nここからD棟を経由して\nE棟に向かうとしましょう。」	“我们现在在C栋，\n接下来经过D栋，\n前往E栋吧。”
「今のところ、人っ子一人いないな。\n廃棄されたってのは本当みたいだな。」	“目前一个人影都没有。\n看来这里确实被废弃了。”
「数年前に爆発事故が起きて閉鎖されたと聞いてたんスけど\n思ったより施設内は損傷も無くそのまま残されてるッスね。」	“听说几年前发生爆炸事故后就关闭了，\n但设施内部比想象中保存得完好，几乎没受损。”
「俺達が来る前から施設の電気は付いてたし、\n廃棄されたわりには明らかに稼働してる形跡があるんだよな。」	“我们来之前设施的电就已经开着，\n明明被废弃了，却明显还有运作的迹象。”
「……一体誰が何の為に。\nそれはそれでホラーッスね。」	“……到底是谁，为了什么？\n这反而更像恐怖故事了。”
「急に<ruby=きもだめ>肝試</ruby>し感が出て来たな。」	“突然有种<ruby=きもだめ>试胆</ruby>的感觉了。”
「ここがD棟ッスね。\nここも何かの実験で使われていた施設っぽいッスけど。」	“这里就是D栋。\n看起来也曾是进行某种实验的设施。”
「ここは……。」	“这里是……”
「お、パネルに実験の名前が書いてあるッスね。」	“哦，面板上写着实验的名字。”
「えーと、何々？\n『ブレイズチルドレン計画』？」	“我看看，是什么？\n‘烈焰之子计划’？”
「そうか。ここがあの計画の施設だったか。\n懐かしいな。」	“原来如此，这里就是那个计划的设施。\n真令人怀念。”
「ここは実験棟と居住区が併設されていて\nこのD棟だけで一つの実験が\n行えるようになっていたんだ。」	“这里将实验楼和居住区建在一起，\n光是这座D栋\n就能独立进行一项实验。”
「そういえば、川島さんは\n元々この施設に居たんでしたっけ？」	“说起来，川岛先生\n原本就住在这座设施里吧？”
「あぁ。『ブレイズチルドレン計画』。\n人工的にソードブレイカーを扱える戦士を作る計画。\n俺はその実験体の一人だった。」	“嗯。‘烈焰之子计划’。\n这是制造能够人工操纵破剑者的战士的计划。\n我就是其中一名实验体。”
「俺はモノ<ruby=ごころ>心</ruby>付いた時からこの施設に居て\nこの場所で育ったのさ。」	“从我开始有<ruby=ごころ>记事</ruby>起，就一直住在这座设施，\n在这里长大。”
「……ほう。\nお前が『ブレイズチルドレン計画』の\n生き残りとはな。」	“……哦。\n没想到你竟是‘烈焰之子计划’的\n幸存者。”
「……誰だ！？」	“……谁！？”
（まさかの第三者の声。\n俺は声のした方向に振り返ると、）	（意外地传来第三者的声音。\n我转向声音传来的方向，）
（<ruby=てんじょう>天井</ruby>のダクトから一体のオートマタが飛び降りて来た。）	（一具自动人偶从<ruby=てんじょう>天花板</ruby>的通风管道跳了下来。）
「こんなところで出くわすとはな。」	“没想到会在这种地方遇到你。”
「アイゼン…！\nここで一体何をしている！？」	“艾森……！\n你到底在这里做什么！？”
「ここでは<ruby=ていこくじゅうこう>帝国重工</ruby>の実験体が数多く生み出された。\n俺達オートマタのルーツにも関わる事だ。」	“这里曾诞生过许多<ruby=ていこくじゅうこう>帝国重工</ruby>的实验体。\n这也关系到我们自动人偶的根源。”
「ルーツ……？お前は一体……？」	“根源……？你究竟是……？”
「アイゼンさんも帝国重工製のオートマタみたいッスけど\n公式のデータベースに登録されてないッスね。\n<ruby=ごくひ>極秘</ruby>に開発された実験機ってところッスか。」	“艾森先生似乎也是帝国重工制造的自动人偶，\n但没有登记在官方数据库里。\n也就是说，是<ruby=ごくひ>绝密</ruby>开发的实验机吗？”
「そうだ。\n俺もまた帝国重工の計画によって生み出された\n実験の<ruby=な>成</ruby>れの果てだ。」	“没错。\n我也是帝国重工的计划制造出来的，\n实验的<ruby=な>残</ruby>骸。”
「お前と同じようにな。\n『ブレイズチルドレン計画』の<ruby=きょうかにんげん>強化人間</ruby>よ。」	“和你一样。\n我是‘烈焰之子计划’的<ruby=きょうかにんげん>强化人类</ruby>。”
「お前も帝国重工の実験体なのか。」	“你也是帝国重工的实验体吗？”
「俺の目的はとある実験の情報を調べに来ただけだ。\nお前達こそこんなところで何をしている？」	“我只是来调查某项实验的情报。\n你们又为什么会在这种地方？”
「自分達も似たようなもんスね。\n情報さえ手に入ればすぐに撤収するので\nあんたと敵対する気は無いッス。」	“我们也差不多。\n只要拿到情报就会立刻撤退，\n没有和你为敌的打算。”
