# Chapter 1 continuation: summoned to Ikaruga Police Station
「そんな事より、天道さん。\n一体何しに来たんスか？」	“比起这些，天道先生。\n你到底来干什么？”
「ここは自分の<ruby=かんかつくいき>管轄区域</ruby>ッスよ。\n冷やかしならさっさと帰るッス。しっしっ。」	“这里是我的<ruby=かんかつくいき>管辖区域</ruby>。\n如果只是来看热闹，就赶紧回去。走开走开。”
（ノヴァは片手をスナップさせ\n天道を追い払う仕草をする。）	（诺瓦单手弹了弹，\n做出驱赶天道的手势。）
「<ruby=はるばるいかるがけいさつしょ>遥々斑鳩警察署</ruby>からやって来たというのに、\nそんなに<ruby=じゃけん>邪険</ruby>にしないでくださいよ。\nノヴァさん。」	“我可是<ruby=はるばるいかるがけいさつしょ>大老远从斑鸠警察署</ruby>赶来的，\n请不要这么<ruby=じゃけん>冷淡</ruby>嘛。\n诺瓦小姐。”
「実はノヴァさんに\nやって頂きたい任務がありましてね。\nこうして<ruby=しゅっとうめいれい>出頭命令</ruby>をお伝えしに来たと言うわけです。」	“其实有一项任务\n需要诺瓦小姐去完成。\n所以我特地前来传达<ruby=しゅっとうめいれい>到场命令</ruby>。”
「うわ。事あるごとに\n自分に仕事を振るのやめて欲しんスけど。\n今月、何件目だと思ってんスか。」	“呜哇。能不能别一有事情\n就把工作丢给我？\n知道这已经是本月第几件了吗？”
「仕方ないじゃないですか。上からの命令なんですし。\nそれにこの重要な任務。お任せ出来るのは\nノヴァさんしか居ないのですよ。」	“这也没办法，是上面的命令。\n而且这项重要任务，\n只有诺瓦小姐可以胜任。”
「そう言っていつもいつも面倒な事を\n自分に押し付けてるじゃないッスか。」	“你每次都这样说，\n然后把麻烦事全部推给我。”
「どうせいつもやる事無くて暇なんだから\nたまには天道さんが働いて欲しいッス。」	“反正天道先生平时无所事事，闲得要命，\n偶尔也请你亲自工作一次。”
「暇じゃないですよ。こうみえて私、\nとてもとても忙しいんですから。ええ。」	“我才不闲。别看我这样，\n其实非常非常忙。真的。”
「それにこの任務。\n<ruby=さなだけいぶ>真田警部</ruby>からのご指名です。\nほらこれが証拠の<ruby=れいじょう>令状</ruby>です。」	“而且这项任务，\n是<ruby=さなだけいぶ>真田警部</ruby>亲自点名交给你的。\n看，这份<ruby=れいじょう>命令书</ruby>就是证据。”
