# Chapter 1 continuation: Nova changes into uniform
「キモッ。」	“恶心。”
「ちょっと。ノヴァさん？\nキモいとか言うのでやめてくださいよ。\nライン越えてますよ。」	“等一下，诺瓦小姐？\n请不要说什么恶心。\n这已经越界了。”
「なんで報告書に書いてない事まで\n知ってるんスか。\nプライバシーの侵害ッスよ。」	“为什么连报告里没写的事\n你都知道？\n这是侵犯隐私。”
「私はノヴァさんの上司ですからね。\n部下の勤務管理は上司の仕事でもありますよ。」	“因为我是诺瓦小姐的上司。\n管理部下的工作情况，也是上司的职责。”
「勤務外の事まで調べてるのは\n普通にストーカー行為ッスよ。」	“连工作以外的事情都调查，\n这就是标准的跟踪行为。”
「お前をストーカー犯罪を犯した罪で逮捕する。」	“以跟踪犯罪的罪名逮捕你。”
（ノヴァはどこからともなく<ruby=てじょう>手錠</ruby>を取り出し\n天道の両手に嵌める。）	（诺瓦不知从何处取出<ruby=てじょう>手铐</ruby>，\n铐住天道的双手。）
「ひー。何故、私を逮捕するんですかー。\n私は警察官ですよぉ！？それもノヴァさんの上司！」	“咿——，为什么要逮捕我——？\n我是警察啊！？而且还是诺瓦小姐的上司！”
「お前を署まで連行する。」	“把你押送到警察署。”
「よかったな。すぐそこだぞ。」	“太好了，警察署就在旁边。”
「よくないです！」	“一点也不好！”
「あ、そうだ。ノヴァさん。\n<ruby=さなだけいぶ>真田警部</ruby>に会う前に\n制服に着替えて来てください。」	“啊，对了，诺瓦小姐。\n在见<ruby=さなだけいぶ>真田警部</ruby>之前，\n请先去换上制服。”
「着てるじゃん。制服。」	“我已经穿着啊，校服。”
「そうじゃなくて<ruby=いかるがけいさつしょ>斑鳩警察署</ruby>の制服です。\nそんな恰好じゃ真田警部に\n怒られてしまいますよ。私が。」	“我说的是<ruby=いかるがけいさつしょ>斑鸠警察署</ruby>的制服。\n你穿成这样，真田警部\n会训斥我的。”
「じゃあいいじゃん。」	“那不是挺好吗？”
「よくないです！\n早く更衣室で着替えて来てください！」	“一点也不好！\n赶紧去更衣室换衣服！”
「しょうがねーなー。」	“真拿你没办法——。”
（ノヴァは<ruby=ふてくさ>不貞腐</ruby>れながら\nトボトボと更衣室に向かって行った。）	（诺瓦<ruby=ふてくさ>闹着别扭</ruby>，\n垂头丧气地走向更衣室。）
「はぁ。どうしてノヴァさんは\nああも聞き分けが無いのでしょう。\n反抗期ですかねぇ。」	“唉，诺瓦小姐为什么\n这么不听话？\n难道是叛逆期？”
（天道は両手を<ruby=かか>掲</ruby>げ、\nやれやれと言いながら<ruby=ためいき>溜息</ruby>を吐く。）	（天道<ruby=かか>举起</ruby>双手，\n说着“真没办法”，发出一声<ruby=ためいき>叹息</ruby>。）
「っていうか、天道お前。\n手錠はどうしたんだよ？」	“话说，天道。\n你的手铐呢？”
（先ほどノヴァが天道の両手首に<ruby=は>嵌</ruby>めた手錠が\n忽然と消失している。）	（刚才诺瓦<ruby=は>铐</ruby>在天道双腕上的手铐，\n已经忽然消失。）
「ああ。あの程度の手錠、\n私に掛かれば開錠なんて造作も無い事です。」	“啊，那种程度的手铐，\n对我来说解开简直轻而易举。”
（天道は外した手錠を\n人差し指でくるくると回転させる。）	（天道用食指转动着\n已经取下的手铐。）
「……一体、いつの間に。\n大した<ruby=てじな>手品</ruby>だな。」	“……究竟是什么时候。\n好厉害的<ruby=てじな>魔术</ruby>。”
「結構、女性に評判なんですよ。\n私の<ruby=てじな>手品</ruby>。今度、川島さんにも\n教えて差し上げましょうか？」	“这在女性当中很受欢迎。\n我的<ruby=てじな>魔术</ruby>。下次要不要也\n教给川岛先生？”
「マ、マジか！\nそれを覚えれば俺もモテるってのか！？」	“真、真的吗！\n只要学会这个，我也能受欢迎！？”
「こら川島さん。\n天道さんの<ruby=くちぐるま>口車</ruby>に乗るんじゃありません。」	“喂，川岛先生。\n不要被天道先生的<ruby=くちぐるま>花言巧语</ruby>骗了。”
（ついにモテ期到来のチャンスが舞い降りたかと\n<ruby=こころおど>心躍</ruby>らせていると警官服に\n着替えたノヴァが戻って来た。）	（我正为终于迎来桃花期的机会而\n<ruby=こころおど>心潮澎湃</ruby>时，换上警服的\n诺瓦回来了。）
「おかえりなさい。ノヴァさん。\n良く似合っていますよ。\n<ruby=いかるがけいさつ>斑鳩警察</ruby>の制服姿。」	“欢迎回来，诺瓦小姐。\n很适合你哦。\n<ruby=いかるがけいさつ>斑鸠警察</ruby>的制服。”
「どうスかー？川島さん。\nノヴァちゃんの警察官姿。」	“怎么样——，川岛先生？\n诺瓦的警察造型。”
「ちょっとノヴァさん。\nナチュラルに無視しないでくださいよぉ。」	“等一下，诺瓦小姐。\n不要这么自然地无视我。”
「逮捕しちゃうゾ☆」	“要把你逮捕哦☆”
（ノヴァが敬礼ポーズをしながら\nキメ顔でウインクをする。）	（诺瓦摆出敬礼姿势，\n以得意的表情眨了眨眼。）
