# Chapter 1 continuation: challenged by the Card Hunter
「いやー。今日は大勝利でしたなぁ。」	“哎呀——，今天真是大获全胜。”
「自分のデッキに必要なカードをシングル買いするのも\nいいッスけど。やはり<ruby=トレーディングカードゲーム>TCG</ruby>の<ruby=だいごみ>醍醐味</ruby>はパック開封ッスね。」	“单独购买自己卡组需要的卡固然不错，\n但<ruby=トレーディングカードゲーム>TCG</ruby>的<ruby=だいごみ>真正乐趣</ruby>果然还是开卡包。”
「ランダム<ruby=ふうにゅう>封入</ruby>された中から\n自分が狙ってるレアカードが出ると\nテンション爆上がりッスよー。」	“从随机<ruby=ふうにゅう>封装</ruby>的卡牌中，\n抽出自己一直想要的稀有卡时，\n情绪会瞬间高涨——。”
「そうか。それは良かったな。」	“是吗。那真是太好了。”
「一人で盛り上がってるところ悪いんだけどさ。\n今日がデートって事忘れてない？\n俺、置いてけぼりなんだけど。」	“抱歉打断你一个人的兴奋，\n但你是不是忘了今天是约会？\n我完全被晾在一边了。”
「おやおや。川島さん。\n何か勘違いしてるようッスね。」	“哎呀呀，川岛先生。\n你好像误会了什么。”
「何もデートってのは遊園地に行ったり\n映画を観たり、オサレなお店で\n食事をする事だけじゃないんスよ。」	“约会可不只是去游乐园、\n看电影，或是在时髦的餐厅\n吃饭而已。”
「こういう普段通りの自然体、\n<ruby=とうしんだい>等身大</ruby>で楽しめるような場所で\n過ごすのも立派なデートッスよ。」	“像这样保持平日里的自然状态，\n在能以<ruby=とうしんだい>真实自我</ruby>享受乐趣的地方\n共度时光，也是一场正经的约会。”
「いや、お前しか楽しんでないんだけど。」	“不，享受乐趣的只有你啊。”
「だから、川島さんもカードゲームに\n詳しくなってください。\nそうすれば二人で楽しめるじゃないッスか。」	“所以，川岛先生也请去\n深入了解卡牌游戏。\n这样不就能两个人一起享受了吗？”
「こーゆーのはお互いの歩み寄りが重要なんス。\n共通の趣味でお互いが楽しめるようになると\nヒロインとの距離感はぐっと近くなるんス。」	“这种事最重要的是彼此迁就。\n只要双方能一起享受共同的爱好，\n与女主角的距离就会一下子拉近。”
「はー。なるほどねー。」	“哦——，原来如此——。”
（俺は恋愛ソムリエのノヴァの<ruby=こうせつ>高説</ruby>を聞きながら\nその説得力に妙に納得してしまった。）	（我听着恋爱鉴赏家诺瓦的<ruby=こうせつ>高论</ruby>，\n竟莫名觉得这番话很有说服力。）
（こいつ、なんか口だけは上手いんだよな。）	（这家伙也就嘴上功夫特别厉害。）
「さてそれじゃ、\n次のデートスポットに向かうとするッスか。」	“好了，那么，\n我们去下一个约会地点吧。”
（ノヴァがスマホを見ながら次の目的地に向かって\n歩き出そうとすると、目の前に人影が立ちはだかった。）	（诺瓦看着手机，正准备朝下一个目的地\n迈步时，一道人影挡在了面前。）
「―――――――おっと、待ちな。」	“―――――――喂，等一下。”
「何だお前は？」	“你是什么人？”
「俺はカードハンター。\nお前のレアカード『<ruby=こんぱくゆうごう>魂魄融合</ruby>』を頂く。」	“我是卡牌猎人。\n你的稀有卡《<ruby=こんぱくゆうごう>魂魄融合</ruby>》，我要了。”
「なに…っ？\nこんな真っ昼間からカツアゲだと…！？」	“什么……？\n大白天就敢当街抢劫……！？”
「カードハンター。この街で決闘者に\n<ruby=むさべつ>無差別</ruby>に賭けデュエルを挑み\nレアカードを巻き上げる盗賊団ッスね。」	“卡牌猎人，是在这座城市<ruby=むさべつ>无差别</ruby>挑战决斗者，\n强迫对方进行赌卡决斗，\n借此夺走稀有卡的盗贼团。”
「大方、さっきのカードショップで\n自分がレアカードを引き当てたのを見て\nターゲットにしたんでしょう。」	“多半是在刚才的卡牌店里，\n看到我抽中了稀有卡，\n所以把我当成了目标。”
「ほう。俺達を知ってるのか。\nなら、話は早い。」	“哦？你知道我们。\n那就好办了。”
「さあ、そのレアカード『<ruby=こんぱくゆうごう>魂魄融合</ruby>』を掛けて\n俺とデュエルだ。」	“来吧，以那张稀有卡《<ruby=こんぱくゆうごう>魂魄融合</ruby>》为赌注，\n跟我决斗。”
