# Chapter 1 continuation: the Yurihime certification
「では、第一問！\nユリヒメのバイト先のお店の名前は？」	“那么，第一问！\n百合姬打工的店叫什么名字？”
「『<ruby=バー スメラギ>BAR SUMERAGI</ruby>』。\nそして、バーのマスターはリサ。お前だ。」	“《<ruby=バー スメラギ>BAR SUMERAGI</ruby>》。\n还有，酒吧老板就是莉莎，也就是你。”
「せ、正解…！\nま、まぁこんなの序の口よね…。」	“答、答对了……！\n不、不过这只是开胃菜而已……”
「では、第二問！\nユリヒメが『<ruby=バー スメラギ>BAR SUMERAGI</ruby>』で\n働くようになった理由は？」	“那么，第二问！\n百合姬为什么会在《<ruby=バー スメラギ>BAR SUMERAGI</ruby>》\n打工？”
「リサの夢を手伝う為。\n自分の店を持ちたいというリサの夢の\n手助けをしたいとユリ姉から志願したんだ。」	“为了帮助莉莎实现梦想。\n莉莎一直梦想拥有自己的店，\n是百合姐主动提出要帮她的。”
「せ、正解…！\nそこまで完璧に志望動機を把握しているとは…！\nや、やるわね…！」	“答、答对了……！\n居然连她打工的动机都掌握得这么清楚……！\n你、你还真有两下子……”
「第三問！\nユリヒメの<ruby=あいとう>愛刀</ruby>の名前は？」	“第三问！\n百合姬的<ruby=あいとう>爱刀</ruby>叫什么名字？”
「ソードブレイカー・<ruby=べにほむら>紅焔</ruby>。\n<ruby=なお>尚</ruby>、<ruby=べにほむら>紅焔</ruby>には<ruby=がんさく>贋作</ruby>が多数存在するが\nユリ姉の<ruby=しょうしんしょうめい>正真正銘</ruby>の<ruby=しんうち>真打</ruby>。本物だ。」	“破剑者·<ruby=べにほむら>红焰</ruby>。\n<ruby=なお>另外</ruby>，<ruby=べにほむら>红焰</ruby>虽然有许多<ruby=がんさく>赝品</ruby>，\n但百合姐的才是<ruby=しょうしんしょうめい>货真价实</ruby>的<ruby=しんうち>真品</ruby>。”
「せ、正解…っ！\nまさか<ruby=がんさく>贋作</ruby>と<ruby=しんうち>真打</ruby>の違いさえも\n知っているなんて…！」	“答、答对了……！\n没想到连<ruby=がんさく>赝品</ruby>和<ruby=しんうち>真品</ruby>的区别都\n知道……！”
「じゃ、じゃあ次からは難易度を上げて\nユリヒメのプライベートな質問に行くわよ…！」	“那、那么接下来提高难度，\n问一些百合姬的私人问题……”
「望むところだ。どんと来い。」	“正合我意，尽管放马过来。”
「あの絶対的な自信はどこから来るんでしょうねえ。」	“他那无比的自信究竟是从哪儿来的呢？”
「ユリせんせーの事になると目つき変わるの\nガチで怖いんスよねぇ…。」	“一提到百合老师，眼神就完全变了，\n说真的，怪吓人的……”
「ユリヒメは聖皇学園の教師になる前\nとある仕事をしていた。\nその仕事は一体何か？」	“百合姬在成为圣皇学园教师之前，\n曾经从事过一份工作。\n那究竟是什么工作？”
「<ruby=いかるがけいさつ>斑鳩警察</ruby>・<ruby=たいけんまたい>対剣魔隊</ruby>。\n突如として現れた謎の生命体、<ruby=けんま>剣魔</ruby>を狩る仕事だ。」	“<ruby=いかるがけいさつ>斑鸠警察</ruby>·<ruby=たいけんまたい>对剑魔队</ruby>。\n负责猎杀突然出现的神秘生命体——<ruby=けんま>剑魔</ruby>。”
「せ、正解…！ユリヒメは身内にすら\n細かい仕事内容は伝えて無かったと思うけど\nよ、よく知ってるわね…！」	“答、答对了……！我记得百合姬连家里人都没说过\n具体的工作内容，\n你、你居然知道得这么清楚……”
「ユリ姉から直接聞かなくてもわかる。\n<ruby=あうん>阿吽</ruby>の<ruby=こきゅう>呼吸</ruby>でな。」	“就算不用百合姐亲口告诉我，我也知道。\n我们之间可是<ruby=あうん>心有灵犀</ruby>的<ruby=こきゅう>默契</ruby>。”
「あー。っていうか、\n今の<ruby=きみつじこう>機密事項</ruby>じゃないんですか？\nいいんですか喋らせちゃって？」	“啊，话说回来，\n这不是<ruby=きみつじこう>机密事项</ruby>吗？\n就这样让他说出来真的没问题吗？”
「まぁ、ここは<ruby=いかるがけいさつしょない>斑鳩警察署内</ruby>ですし\nいんじゃないスかー？」	“这里毕竟是<ruby=いかるがけいさつしょない>斑鸠警察署内部</ruby>，\n应该没关系吧？”
「うわ。<ruby=ちょうほうぶ>諜報部</ruby>にあるまじき適当っぷりですねえ。」	“哇，这种随便劲儿可真不像<ruby=ちょうほうぶ>情报部</ruby>该有的作风。”
「で、では第五問…！」	“那、那么，第五问……！”
「ユリヒメは<ruby=いかるがけいさつ>斑鳩警察</ruby>に配属する前、\nとある研究施設に居た。\nその施設名を答えよ。」	“百合姬在被分配到<ruby=いかるがけいさつ>斑鸠警察</ruby>之前，\n曾待在某个研究设施。\n请说出那座设施的名字。”
「<ruby=ていこくじゅうこう>帝国重工</ruby>・<ruby=せいたいこうがくけんきゅうじょ>生体工学研究所</ruby>。\nユリ姉はそこの<ruby=じっけんたい>実験体</ruby>だった。」	“<ruby=ていこくじゅうこう>帝国重工</ruby>·<ruby=せいたいこうがくけんきゅうじょ>生物工程研究所</ruby>。\n百合姐曾是那里的<ruby=じっけんたい>实验体</ruby>。”
「せ、正解…！\nでは、その実験が行われていた計画の名前は？」	“答、答对了……！\n那么，进行那项实验的计划叫什么名字？”
「ブレイズチルドレン<ruby=けいかく>計画</ruby>。\n<ruby=けんま>剣魔</ruby>を<ruby=くちく>駆逐</ruby>する為、人工的にソードブレイカーを\n扱う<ruby=きょうかにんげん>強化人間</ruby>を作る計画だ。」	“烈焰之子<ruby=けいかく>计划</ruby>。\n为了<ruby=けんま>剑魔</ruby>的<ruby=くちく>消灭</ruby>，人工制造\n能够操纵破剑者的<ruby=きょうかにんげん>强化人类</ruby>。”
「正解！ユリヒメの<ruby=きょうかにんげん>強化人間</ruby>としてのレベルは！？」	“答对！百合姬作为<ruby=きょうかにんげん>强化人类</ruby>的等级是！？”
