# Epilogue route: Kusanagi and the morning after
―――――<ruby=げっか>月下</ruby>に鳴り響く<ruby=けんげき>剣戟</ruby>の音色。	——————<ruby=げっか>月下</ruby>回荡着<ruby=けんげき>剑戟</ruby>之声。
そこには、剣を構え<ruby=たいじ>対峙</ruby>する二つの影があった。	那里有两道手持利剑、彼此<ruby=たいじ>对峙</ruby>的身影。
学ランの男	穿着学生制服的男人
<Character=ユート>怒り	<Character=ユート>愤怒
「観念するんだな。\nお前の<ruby=たくら>企</ruby>みもここまでだ。」	“认命吧。\n你的<ruby=たくら>阴谋</ruby>到此为止。”
<Character=ユート>怒り3	<Character=ユート>愤怒3
「この一刀で諸悪の根源を断ち切り\n俺はあいつらと共に未来を掴む。」	“我要用这一刀斩断万恶之源，\n和她们一起抓住未来。”
和装の女	穿着和服的女人
<Character=カグヤ>笑み3	<Character=カグヤ>笑容3
「…<ruby=いさ>勇</ruby>ましいことね。」	“……真是<ruby=いさ>勇敢</ruby>呢。”
<Character=カグヤ>真顔5	<Character=カグヤ>面无表情5
「けれどその<ruby=せりふ>台詞</ruby>、いい加減聞き飽きたわ。」	“不过这句<ruby=せりふ>台词</ruby>，我已经听腻了。”
<Character=カグヤ>真顔2	<Character=カグヤ>面无表情2
「あなたはいつもそうやって意気込むけれど\n結局は、この私と<ruby=げっこう>月光</ruby>の前に敗れ去る<ruby=さだめ>運命</ruby>。」	“你总是这样鼓起干劲，\n可最后要败在我和<ruby=げっこう>月光</ruby>面前，这是<ruby=さだめ>注定</ruby>的。”
<Character=カグヤ>真顔	<Character=カグヤ>面无表情
「過去も未来も確定している。\nそれは<ruby=くつがえ>覆</ruby>すことの叶わない絶対的な法則。\n<ruby=よていちょうわ>予定調和</ruby>と言ってもいい。」	“过去和未来都已确定。\n这是无法<ruby=くつがえ>颠覆</ruby>的绝对法则。\n称作<ruby=よていちょうわ>预定调和</ruby>也不为过。”
<Character=カグヤ>笑み5	<Character=カグヤ>笑容5
「――――だって、そういう風になっているのだから。」	“————因为一切本来就该如此。”
「<ruby=ごたく>御託</ruby>はいらねぇ。\nこれで<ruby=しま>終</ruby>いだ。」	“少说<ruby=ごたく>废话</ruby>。\n这一刀就<ruby=しま>结束</ruby>。”
男は剣を構えなおし――――	男人重新举剑————
――――地を蹴るッ！	————蹬地冲出！
一直線に目標に向かって突進し、	他直线冲向目标，
下段に構えた刃を女の首筋目掛けて振り抜いた。	挥出下段的刀刃，直取女人的脖颈。
<Character=ユート><Off>激怒3	<Character=ユート><Off>暴怒3
「……がっ……！」	“……呃……”
――――だが、斬られていたのは男の方だった。	————然而，被砍中的却是男人。
「<ruby=こ>懲</ruby>りないわね。あなた。\nいえ、学習能力が無いと言った方がいいのかしら。」	“你真是<ruby=こ>不长记性</ruby>。\n不，应该说你没有学习能力。”
「退屈な<ruby=しあい>仕合</ruby>だったけれど大目に見てあげるわ。\n今の私は気分が良いの。」	“虽然这场<ruby=しあい>比试</ruby>很无聊，\n但今天心情不错，就宽恕你吧。”
<Character=カグヤ>笑み2	<Character=カグヤ>笑容2
「<ruby=こよい>今宵</ruby>は<ruby=まんげつ>満月</ruby>。　<ruby=ごらん>御覧</ruby>なさい。\n―――月が、綺麗でしょう？」	“<ruby=こよい>今夜</ruby>是<ruby=まんげつ>满月</ruby>。请<ruby=ごらん>看</ruby>吧。\n——月亮，很美吧？”
<Character=カグヤ>驚き	<Character=カグヤ>惊讶
「あら。残念。\nもう聞こえてないのね。」	“哎呀，真遗憾。\n已经听不见了吗。”
「さて、くだらない<ruby=ちゃばん>茶番</ruby>は終わりにして\n<ruby=さい>賽</ruby>の<ruby=め>目</ruby>を振り直すとしましょうか。」	“好了，结束无聊的<ruby=ちゃばん>闹剧</ruby>，\n重新掷一次<ruby=さい>骰子</ruby><ruby=め>点数</ruby>吧。”
<Character=カグヤ>真顔4	<Character=カグヤ>面无表情4
