# Chapter 1 continuation: automata, maid work, and Satsuki's pursuer
「ところが新世代である<ruby=だいさんせだいがた>第三世代型</ruby>オートマタから\n食事機能が追加され、」	“不过，从新世代的<ruby=だいさんせだいがた>第三代机型</ruby>自动人偶开始，\n新增了进食功能。”
「人間と同じように食事をする事でエネルギーを\n補給する事が出来るようになったんス。」	“它们可以像人类一样进食，\n借此补充能源。”
「味覚機能もあるから、このミートスパゲティが\n滅茶苦茶美味いって事もわかるんスよ。\nちょーうめー。」	“因为还具备味觉功能，所以我能尝出这份肉酱意面\n好吃得不得了。\n超级美味——。”
「へー。食事が出来るオートマタねぇ。」	“哦——，能吃饭的自动人偶啊。”
「確かに<ruby=だいさんせだいがた>第三世代型</ruby>の見た目って\n人間そっくりだから、そうしてると\nオートマタかどうか区別付かないな。」	“<ruby=だいさんせだいがた>第三代机型</ruby>的外表确实与人类一模一样，\n像这样吃着饭时，\n根本分辨不出是不是自动人偶。”
「まさにそれが<ruby=ていこくじゅうこう>帝国重工</ruby>の……、\n<ruby=だいさんせだいがた>第三世代型</ruby>の狙いなのです。」	“这正是<ruby=ていこくじゅうこう>帝国重工</ruby>……\n开发<ruby=だいさんせだいがた>第三代机型</ruby>的目的。”
「<ruby=だいさんせだいがた>第三世代型</ruby>オートマタの設計コンセプトが人間の<ruby=もほう>模倣</ruby>。\n人工的な人間の開発。つまり、\n<ruby=じんぞうにんげん>人造人間</ruby>を目指してたわけですな。」	“<ruby=だいさんせだいがた>第三代机型</ruby>自动人偶的设计理念是<ruby=もほう>模仿</ruby>人类。\n开发人工制造的人类。也就是说，\n目标是创造<ruby=じんぞうにんげん>人造人</ruby>。”
「だから、<ruby=だいにせだいがた>第二世代型</ruby>までの旧世代と違って\n<ruby=だいさんせだいがた>第三世代型</ruby>には人間らしくある為の\n様々な機能が追加されているのですよ。」	“所以，与<ruby=だいにせだいがた>第二代机型</ruby>以前的旧世代不同，\n<ruby=だいさんせだいがた>第三代机型</ruby>新增了各种\n用于表现人性的功能。”
「人造人間ねぇ、なんだかSFみたいな話だな。\n……………ん？」	“人造人啊，听起来像科幻故事。\n……………嗯？”
（―――――――<ruby=ひらめ>閃</ruby>いた！）	（―――――――我<ruby=ひらめ>灵光一闪</ruby>！）
