# Chapter 1 continuation: the laboratory's automatic defenses
「おいおい！\nあんな遠距離から腕飛ばせるのかよ！？」	“喂喂！\n手臂还能从那么远的地方飞过来吗！？”
「よし！こちらもロケットパンチだ！\nいっけぇえええーーーッ！！」	“好！我们也用火箭拳！\n上啊啊啊啊——！”
「え！？何それ！？\nそんな武装ねーよ！」	“什么！？那是什么！？\n我们根本没有这种武装啊！”
（ノヴァの指示に俺の右腕が勝手に突き出され―――――）	（在诺瓦的指示下，我的右臂擅自伸出————）
（――――右腕がロケットの如く射出された。）	（————右臂如火箭般发射出去。）
「はああああああーーーーー！？\n俺の腕、飛んだーーーーーー！？」	“哈啊啊啊啊啊————！？\n我的手臂飞出去了————！？”
「こんな事もあろうかと改造しておいたッス！」	“我早就料到会有这种情况，所以改造过了！”
「勝手に改造してんじゃねー！」	“别擅自改造啊！”
（ガラハドのブーステッドナックルに\n俺のロケットパンチがぶち当たり、）	（我的火箭拳狠狠撞上\n加拉哈德的增幅铁拳，）
（ガラハドの右腕を粉砕するッ！）	（将加拉哈德的右臂粉碎！）
「…右腕損傷率１００。\n右腕ブーステッドナックルおよび\nガトリング使用不能。」	“……右臂损伤率100%。\n右臂增幅铁拳及\n加特林炮无法使用。”
「そんな！ガラハドくんの必殺パンチが負けた！？」	“怎么会！加拉哈德的必杀拳居然输了！？”
「ほう。ガラハドの装甲を砕くか。\nロケット<ruby=ふんしゃ>噴射</ruby>の<ruby=すいしんりょく>推進力</ruby>があるとはいえ、\n大した強度をしている。」	“哦，竟然能击碎加拉哈德的装甲。\n虽然有火箭<ruby=ふんしゃ>喷射</ruby>的<ruby=すいしんりょく>推进力</ruby>，\n但强度相当了得。”
「チャンス！\n川島さん一気にガラハドの間合いに飛び込むッス！」	“机会来了！\n川岛先生，一口气冲进加拉哈德的攻击范围！”
「<ruby=がってん>合点</ruby>だ！」	“<ruby=がってん>明白</ruby>！”
（俺は戻って来た右腕を装着し\nガラハドに向かって突進する！）	（我装回飞回来的右臂，\n向加拉哈德冲去！）
「サツキ！来るぞ！\n迎撃しろ！」	“皋月！他要来了！\n迎击！”
「あ、うん！」	“啊，好！”
「おいアイゼン！\n何サツキにアドバイスしてんだ！\n堂々と<ruby=ひいき>贔屓</ruby>してんじゃねー！」	“喂，艾森！\n你怎么还给皋月出主意！\n别这么明目张胆地<ruby=ひいき>偏袒</ruby>啊！”
「まだだよ！　ガラハドくん！\nブレードで薙ぎ払えー！」	“还没完呢！加拉哈德！\n用刀刃横扫——！”
「…了解、マスター。\n左腕ブレード展開。　攻撃開始。」	“……了解，主人。\n展开左臂刀刃，开始攻击。”
「何ィ！　そんなところから\n剣を出すなんて反則だろ！」	“什么！从那种地方\n拔出剑也太犯规了吧！”
（ガラハドは左腕に内蔵されたブレード展開し、\n俺に切りかかってきた。）	（加拉哈德展开左臂内置刀刃，\n向我砍来。）
「川島さん！\nこちらも<ruby=こうしゅうは>高周波</ruby>ブレード展開ッス！」	“川岛先生！\n我们也展开<ruby=こうしゅうは>高频</ruby>刀刃！”
「は！？ブレード！？\nそんなものどこに！？」	“哈！？刀刃！？\n那种东西藏在哪里！？”
（背中のバックパックから<ruby=かたな>刀</ruby>の<ruby=つか>柄</ruby>が射出され、\n俺が<ruby=つか>柄</ruby>を握ると<ruby=やいば>刃</ruby>が出現した。）	（刀的<ruby=かたな>刀身</ruby><ruby=つか>刀柄</ruby>从背包中射出，\n我握住<ruby=つか>刀柄</ruby>后，<ruby=やいば>刀刃</ruby>显现。）
（そして、俺は刀を握りしめ\nガラハドのブレードを受ける。）	（然后我紧握长刀，\n挡下加拉哈德的刀刃。）
「な…っ！？ガラハドくんの\nブレードを受け止めた！？」	“什么……！？\n居然挡住了加拉哈德的刀刃！？”
「こいつ…！剣も使えるのか…！？\nなんて武装の多い奴だ…！」	“这家伙……！连剑也会用吗……！？\n装备未免太多了……！”
