# Chapter 1 continuation: Nova's livestream
「……ッ！」	“……！”
（……そうだ。\n俺はいつからか過去の記憶が<ruby=あいまい>曖昧</ruby>というか\n抜け落ちている。）	（……没错。\n不知从什么时候起，我的过去记忆变得<ruby=あいまい>模糊</ruby>，\n甚至出现了缺失。）
（過去の俺からの手紙によれば\n俺はノヴァ達学園アイドルの５人と\n過去に仲間だったらしい…。）	（根据过去的我寄来的信，\n我似乎曾和诺瓦她们这五名学院偶像\n是伙伴……）
（だが、まったく思い出せない…。\nノヴァ達の記憶だけ忽然と消えたかのように…。）	（可是，我完全想不起来……\n唯独关于诺瓦她们的记忆仿佛突然消失了……）
「あなたの失くした記憶。\n思い出せるといいですね。」	“希望您能找回\n失去的记忆。”
「でなければノヴァさんがあまりにも悲しすぎる。」	“否则诺瓦小姐未免太可怜了。”
「――――好きな人から忘れられてしまうだなんて。」	“————被喜欢的人遗忘什么的。”
（天道の去り際の言葉が強く俺の<ruby=こんぱく>魂魄</ruby>に響く。）	（天道临走时的话，深深<ruby=こんぱく>震响</ruby>在我的灵魂里。）
（ノヴァは俺に好意的だった。\nそれはあの時、あの公園で出会った時から。）	（诺瓦一直对我抱有好感。\n从那时起，从我们在那座公园相遇时起。）
（けれどノヴァからしてみれば\n俺の事をもっと前から知っていて\n俺と過ごしたいくつもの思い出があるのだろう。）	（但对诺瓦来说，\n她应该早在更久以前就认识我，\n也拥有和我一起度过的许多回忆。）
（だが、俺はそれがどうにも思い出せない。）	（可我无论如何都想不起来。）
（ノヴァとの記憶が思い出せない、もどかしさ。\nノヴァの好意に俺は何も返してやれない。）	（想不起与诺瓦的回忆，这份无力感令人焦躁。\n面对诺瓦的好意，我什么也回报不了。）
（俺はノヴァの好意の理由すらわからないんだ。）	（我甚至不知道诺瓦喜欢我的理由。）
（自分の置かれた立場に<ruby=かっとう>葛藤</ruby>しながら\n部屋に戻ると、玄関の前でノヴァが\n腕を組みながら<ruby=におうだ>仁王立</ruby>ちしていた。）	（我对自己的处境深感<ruby=かっとう>矛盾</ruby>，\n回到房间时，诺瓦正站在门口，\n抱着双臂<ruby=におうだ>威风凛凛</ruby>地等着我。）
「おっそーい！\n一体、どこほっつき歩いてたんスか！」	“太慢啦！\n你到底跑到哪里去了！”
「え？天道の見送りだけど。」	“咦？我去送天道了。”
「いやいや。\nどんだけ天道さんが<ruby=なごりお>名残惜</ruby>しかったんスか。\nそんなに<ruby=ながばなし>長話</ruby>するような<ruby=あいだがら>間柄</ruby>じゃないでしょう。」	“不不不。\n您有多<ruby=なごりお>舍不得</ruby>天道先生啊，\n居然聊了这么久。你们可不是会说这么多<ruby=ながばなし>长话</ruby>的<ruby=あいだがら>关系</ruby>吧。”
「っていうか、何その可愛い恰好。」	“话说回来，你这身可爱的打扮是怎么回事？”
「おんやー？川島さん。\nなかなかお目が高いッスねー。\n女の子の変化を見逃さずに褒めるだなんて。」	“哎呀？川岛先生，\n眼光不错嘛。\n居然能注意到女孩子的变化，还知道夸奖。”
「そうそう。やはり異性に対しては素直で\nストレートな感情をぶつけるのが一番ッス。」	“没错没错。面对异性，\n坦率直接地表达感情才是最好的。”
「ラブコメ特有の<ruby=どんかんけいしゅじんこう>鈍感系主人公</ruby>にありがちな\n<ruby=にぶ>鈍</ruby>すぎるスルースキルなどもはや時代遅れ。\n所詮、<ruby=せん>先</ruby>の時代の<ruby=はいぼくしゃ>敗北者</ruby>。」	“恋爱喜剧里常见的<ruby=どんかんけいしゅじんこう>迟钝系男主</ruby>，\n那种过于<ruby=にぶ>迟钝</ruby>的装傻技能早已过时。\n说到底，不过是<ruby=せん>前</ruby>时代的<ruby=はいぼくしゃ>败者</ruby>。”
「『え？なんだって？』だのなんだのの<ruby=なんちょう>難聴</ruby>ムーブも\nただただテンポが悪いだけで物語の進行を遅らせ\n無駄に時間を引き延ばす遅延行為ッス。」	“什么‘咦？你说什么？’之类的<ruby=なんちょう>装聋</ruby>桥段，\n只会拖慢节奏，\n白白延长剧情，是一种拖延行为。”
「やはり、これからのラブコメは\nテンポとスピードが大事。女の子の好感度が\n上がる行動は積極的にやっていきましょう。」	“今后的恋爱喜剧，\n节奏和速度才是关键。能提高女孩好感度的行为，\n就要积极去做。”
「ノヴァちゃんは褒めて伸ばすタイプなのです。\n川島さんはノヴァちゃんをどんどん褒めて\nゴキゲンにしましょう。」	“诺瓦酱属于越夸越有干劲的类型。\n川岛先生要不断夸奖诺瓦酱，\n把她哄得开开心心。”
「それがノヴァちゃんを攻略する鍵ですぞ。」	“这就是攻略诺瓦酱的关键。”
「何気なく服装に対する質問をしただけなのに\n想像の斜め上の回答が返って来たんだが。」	“我只是随口问了句衣服，\n怎么会得到完全超出想象的回答。”
「あー。ちなみにこの服は外向け用の部屋着ッス。、」	“啊，顺便一提，这身是外出用的家居服。”
「外向け用の部屋着って\n外なのか中なのかどっちやねん。」	“外出用的家居服，\n到底是外出穿还是在家穿啊。”
「これから配信があるッスからねー・\n部屋着とはいえ、\nちょっと人前に出れる服装なんスよ。」	“因为接下来要直播嘛。\n虽说是家居服，\n也是能在人前穿的衣服。”
「配信？」	“直播？”
「はろはろー。\n皆の小悪魔系ゆるふわアイドル。\nノヴァちゃんッスよー。」	“哈喽哈喽——\n大家的小恶魔系软萌偶像，\n诺瓦酱来啦。”
「今日もノヴァちゃんねるの\n配信観に来てくれてありがとッスー。」	“感谢大家今天也来观看\n诺瓦频道的直播——”
（ノヴァはPCの前に座りマイク越しに\nモニターの外に居るネット上の\nリスナー達に話しかける。）	（诺瓦坐在电脑前，隔着麦克风\n向屏幕另一端网络上的\n听众们搭话。）
（何やらノヴァはネットアイドルをやってらしく、\nこうして定期的にライブ配信を行い\nネット上のファンと交流しているのだとか。）	（诺瓦似乎是网络偶像，\n会定期进行直播，\n和网络上的粉丝交流。）
「あー。ちょっと音量調整するッス。\nBGMと声のバランスどうッスか？」	“啊，我调一下音量。\n背景音乐和声音的平衡怎么样？”
「ほうほう。声の音量は大丈夫と。\nBGMがちょっと小さい？」	“哦哦，声音音量没问题。\n背景音乐有点小？”
