# Chapter 1 continuation: Nova's date begins
「ノヴァのヤツ、おっせーな。\n待ち合わせ時間からもう３０分は過ぎてるぞ。」	“诺瓦那家伙也太慢了。\n已经超过约好的时间三十分钟了。”
（ノヴァに指定された待ち合わせ場所で\n待っているのだが、\n当の本人は<ruby=いっこう>一向</ruby>に現れる気配が無い。）	（我正在诺瓦指定的碰面地点\n等着她，\n可本人却<ruby=いっこう>迟迟</ruby>没有现身的迹象。）
（あいつマジで忘れてんじゃねーだろうな。）	（那家伙不会真的忘了吧。）
「――――――川島さん。上ッスよ。」	“――――――川岛先生，在上面。”
（何故か空からノヴァの声が聞こえたので\n見上げてみると、）	（不知为何，诺瓦的声音从空中传来。\n我抬头一看，）
（空からノヴァが降って来た。）	（诺瓦从天而降。）
「へーい。到着ー。」	“嘿——，到达——。”
「いや……、お前マジでどっから来たの？」	“不是……你到底从哪儿来的？”
「<ruby=Sky>空</ruby>。」	“<ruby=Sky>天上</ruby>。”
（ノヴァが空を指さしながら平然と答える。）	（诺瓦指着天空，若无其事地回答。）
「空って……まさか飛んで来たとか言わねーよな？」	“天上……你该不会想说自己是飞过来的吧？”
「おやおや。\n今どきのオートマタは飛べるって知らないんスかー？」	“哎呀呀。\n你不知道现在的自动人偶会飞吗——？”
「そう。<ruby=かんそうしき>換装式</ruby>フライトユニットさえあればね。」	“没错。只要有<ruby=かんそうしき>换装式</ruby>飞行组件就行。”
（どうやら飛行パーツを装着して\n文字通り飛んで来たらしい。\nフリーダム過ぎるわ。色んな意味で。）	（看来她装上了飞行部件，\n真的是一路飞过来的。\n各种意义上都自由过头了。）
「いやー。遅刻ギリギリだったから\n川島さんの為に飛んで来たんスよ？」	“哎呀——，眼看就要迟到了，\n我可是特意为川岛先生飞过来的哦？”
「ギリギリも何もお前普通に遅刻してるから。\n俺、３０分前からここで待ってんだけど。」	“什么眼看就要，你明明已经迟到了。\n我从三十分钟前就在这儿等着了。”
「川島さん。そこは\n『全然待ってないよ。今来たとこ。』って\n言うのがデートの<ruby=じょうせき>定石</ruby>じゃないんスか？」	“川岛先生，这种时候应该说\n‘我完全没等多久，刚刚才到。’\n这不是约会的<ruby=じょうせき>惯例</ruby>吗？”
「なんで遅刻した側から\nイチャモン付けられなくちゃなんねーんだよ。」	“为什么迟到的那一方\n反倒还有脸来找我的茬？”
「え？っていうかこれデートだったの？」	“欸？话说这原来是约会吗？”
「おや。男女が二人っきりで出かけるのは\nデート以外の何ものでも無いと思うッスが？」	“哦？一男一女单独出门，\n除了约会还能是什么？”
「マジか。俺の初デートお前かよ。」	“真的假的。我的第一次约会居然是和你。”
「やったね。川島さん。\n初デートがノヴァちゃんなのは\nとっても<ruby=こうえい>光栄</ruby>な事だよね。」	“太好了呢，川岛先生。\n第一次约会的对象就是诺瓦，\n这可是非常<ruby=こうえい>光荣</ruby>的事哦。”
「まぁ、確かに今後学園アイドルを攻略していくとなると\nデートの練習ぐらいはしておいた方がいいのか。」	“不过，既然今后还要攻略校园偶像，\n确实应该先练习一下约会。”
「うわ。女の子を前にして\nデートの練習とか言い出すの\nマジでKYなんスけど。」	“哇。居然当着女孩子的面，\n说什么练习约会。\n你真的很不会看气氛啊。”
「いや、だってお前オートマタだし\nそもそも学園アイドル攻略作戦をサポートする\nお助けキャラクターなんだろ？」	“不，因为你是自动人偶，\n而且本来就是负责支援校园偶像攻略作战的\n辅助角色吧？”
「川島さん。何か前提を忘れてりゃしませんか？」	“川岛先生，你是不是忘了什么前提？”
「前提？」	“前提？”
「我々が攻略すべき学園アイドルは５人。\nその名を言ってみてくださいッス。」	“我们要攻略的校园偶像共有五人。\n请把她们的名字说出来。”
「えーと…サツキ、<ruby=しどう>獅堂</ruby>、<ruby=たてがみ>盾守</ruby>、ユリ姉……、\nあと一人は……、」	“我想想……皋月、<ruby=しどう>狮堂</ruby>、<ruby=たてがみ>盾守</ruby>、百合姐……\n还有一个是……”
「そうッス。５人目の学園アイドル。\n<ruby=こあくまけい>小悪魔系</ruby>ロリカワ<ruby=びしょうじょ>美少女</ruby>・<ruby=きこういん>機巧院</ruby>ノヴァ。」	“没错。第五位校园偶像。\n<ruby=こあくまけい>小恶魔系</ruby>娇小可爱的<ruby=びしょうじょ>美少女</ruby>，<ruby=きこういん>机巧院</ruby>诺瓦。”
「おわかりいただけただろうか？」	“这下你明白了吗？”
「え？つまりお前も攻略対象だったの？」	“欸？也就是说，你也是攻略对象？”
「左様。このデートは練習では無く本番。\n川島さんは今、攻略すべきヒロインの前に\n立っているッス。」	“正是。这场约会不是练习，而是实战。\n川岛先生现在正站在\n自己应该攻略的女主角面前。”
「だから川島さん。\n全力で自分を攻略するのです。」	“所以，川岛先生。\n请全力攻略我吧。”
