# Chapter 1 continuation: Inspector Sanada's briefing
「失礼します。」	“打扰了。”
「<ruby=さなだけいぶ>真田警部</ruby>。\nノヴァさんをお連れしました。」	“<ruby=さなだけいぶ>真田警部</ruby>，\n我把诺瓦小姐带来了。”
「やっほー。」	“嗨——。”
「遅いぞ！天道！\nいつまで待たせる気だ！」	“太慢了！天道！\n你打算让我等到什么时候！”
「<ruby=きこういん>機巧院</ruby>も何だその挨拶は！\n部下の教育もまともに出来んのか！天道！」	“<ruby=きこういん>机巧院</ruby>，你那算什么问候！\n连部下都教不好吗！天道！”
「ええ…。結局、私怒られるんですかぁ…？\n急いでノヴァさんを連れて来たというのに。\nしくしく。」	“欸……结果挨骂的还是我……？\n我明明急忙把诺瓦小姐带来了。\n呜呜。”
「どんまい。」	“别在意。”
「ほぼノヴァさんのせいだという事に\n気付いてくださいよ。とほほ。」	“请你意识到这基本上\n都是诺瓦小姐的错。唉。”
「機巧院！挨拶のやり直しだ！\n斑鳩警察官たるもの挨拶を<ruby=おろそ>疎</ruby>かにするなど<ruby=ごんごどうだん>言語道断</ruby>！」	“机巧院！重新问候！\n身为斑鸠警察，竟然<ruby=おろそ>怠慢</ruby>问候，简直<ruby=ごんごどうだん>岂有此理</ruby>！”
「挨拶に始まり、挨拶に終わる！\n<ruby=れいせつ>礼節</ruby>を重んじ、<ruby=たいげん>体現</ruby>するのが斑鳩警察なのだ！」	“始于问候，终于问候！\n重视<ruby=れいせつ>礼节</ruby>并将其<ruby=たいげん>身体力行</ruby>，才是斑鸠警察！”
「相変わらず暑苦しいなー。」	“还是一如既往地热血过头——。”
「ほら、リクエストされてますよ。\nはい。<ruby=テイクツー>Take2</ruby>どうぞ。」	“听见了吧，人家要求你重来。\n来，请开始<ruby=テイクツー>第二次拍摄</ruby>。”
「はいはい。」	“是是。”
「<ruby=いかるがけいさつちょうほうぶしょぞく>斑鳩警察諜報部所属</ruby>・<ruby=きこういん>機巧院</ruby>ノヴァ。」	“<ruby=いかるがけいさつちょうほうぶしょぞく>斑鸠警察情报部所属</ruby>，<ruby=きこういん>机巧院</ruby>诺瓦。”
「真田警部の<ruby=めい>命</ruby>により、ただいま<ruby=しゅっとう>出頭</ruby>しました。」	“奉真田警部之<ruby=めい>命</ruby>，现已<ruby=しゅっとう>到场报到</ruby>。”
「うむ。次から入室する時はその挨拶を忘れるな。」	“嗯。下次进门时，不要忘记这番问候。”
「はっ！<ruby=がってんしょうち>合点承知</ruby>の<ruby=すけ>助</ruby>であります！」	“是！<ruby=がってんしょうち>完全明白</ruby>的<ruby=すけ>明白之助</ruby>！”
「いつの時代の返事だよ……。」	“这是哪个年代的回答……”
「む？ところで何だそいつは？\n見慣れないオートマタだな。」	“嗯？话说，那家伙是什么？\n没见过的自动人偶。”
（真田は俺を見るなり、\n<ruby=いぶか>訝</ruby>しげに質問をしてきた。）	（真田一看到我，\n便<ruby=いぶか>满怀疑惑</ruby>地问道。）
「俺は川島ユート。\n見ての通り、平凡な高校生さ。」	“我是川岛悠斗。\n如你所见，只是个平凡的高中生。”
（とりあえず無難な自己紹介をしておいた。）	（总之先做了一番稳妥的自我介绍。）
「お前のような身なりの高校生が居るか。」	“哪有打扮成你这样的高中生。”
「真田警部。これが例のフェイリクスに\n身体を奪われたという方ですよ。」	“真田警部，这位就是那个\n被费利克斯夺走身体的人。”
「……川島ユート、だったか。\nなるほど。<ruby=げんどう>言動</ruby>や態度からして中身は\n世間知らずの高校生というのも頷ける。」	“……是叫川岛悠斗吧。\n原来如此，从<ruby=げんどう>言行</ruby>和态度来看，\n里面确实是个不谙世事的高中生。”
「テメェ。喧嘩売ってんのか。」	“你这家伙，想找茬吗？”
「俺を馬鹿にするという事は俺を教育した\n担任教師であり、<ruby=俺の尊い姉ちゃん>マイスウィートシスター</ruby>である\nユリ姉を馬鹿にするという事だ。」	“侮辱我，就等于侮辱教育我的\n班主任，也是<ruby=俺の尊い姉ちゃん>我最亲爱的姐姐</ruby>的\n百合姐。”
「取り消せよ。今の言葉。」	“把刚才的话收回去。”
「礼儀知らずだけではなく、なんと<ruby=ごうまん>傲慢</ruby>な奴なのだ。\n何故フェイリクスはこいつをターゲットにしたのか。\nまるで理解が出来んぞ。」	“不仅不懂礼貌，还如此<ruby=ごうまん>傲慢</ruby>。\n费利克斯为何会把这家伙当成目标？\n我完全无法理解。”
「そりゃあ、<ruby=こいがたき>恋敵</ruby>を潰してやろうという\n気持ちはわからなくもないですよ。\nねぇ、ノエルさん？」	“想要除掉<ruby=こいがたき>情敌</ruby>的心情，\n倒也不难理解。\n对吧，诺艾尔小姐？”
「ノエルじゃねぇ、ノヴァだ。\n二度と間違えるな。殺すぞ。」	“我不是诺艾尔，是诺瓦。\n别再叫错。否则杀了你。”
「ひぃ、怖いですねえ。くわばらくわばら。」	“咿，好可怕。老天保佑，老天保佑。”
「まったく。その<ruby=いろごいざた>色恋沙汰</ruby>のせいで\nフェイリクスが聖皇学園生徒を洗脳するなどという\n<ruby=あくじ>悪事</ruby>を働いてしまっているではないか。」	“真是的。正因为这场<ruby=いろごいざた>情感纠纷</ruby>，\n费利克斯才犯下洗脑圣皇学园学生这种\n<ruby=あくじ>恶行</ruby>。”
「自分も正直迷惑してるんスよ。\nフェイリクスに言い寄られて。」	“老实说，我也很困扰。\n费利克斯一直纠缠我。”
「動機はどうあれ、\nこの事件に斑鳩警察官が関与している事は事実。\n早急に対処しなくてはならない。」	“不管动机如何，\n斑鸠警察牵涉此事是事实。\n必须尽快处理。”
「そりゃあ、洗脳状態の生徒ならまだしも\n保護者側が騒ぎ出したら斑鳩警察への\nバッシングが激しくなりますからねえ。」	“被洗脑的学生暂且不论，\n如果家长们闹起来，针对斑鸠警察的\n舆论抨击会很猛烈。”
「よからぬ<ruby=ふいちょう>吹聴</ruby>が<ruby=まんえん>蔓延</ruby>する前に\n騒ぎの種を\n摘み取っておかなければなりません。」	“必须赶在不利的<ruby=ふいちょう>传言</ruby><ruby=まんえん>蔓延</ruby>之前，\n把引发骚乱的种子\n彻底拔除。”
「だからこそ我々<ruby=ちょうほうぶ>諜報部</ruby>に\n<ruby=しらは>白羽</ruby>の<ruby=や>矢</ruby>が立ったのでしょう？」	“正因为如此，我们<ruby=ちょうほうぶ>情报部</ruby>\n才会被<ruby=しらは>选</ruby><ruby=や>中</ruby>，不是吗？”
「口を<ruby=つつし>慎</ruby>め天道。斑鳩警察は地位や名誉の為だけに\n存在しているのではない。\n最重要事項は市民の安全確保。」	“说话<ruby=つつし>谨慎</ruby>些，天道。斑鸠警察并不只是为了地位和名誉\n而存在。\n最重要的是确保市民安全。”
「フェイリクスに洗脳された生徒達は\nいわば人質。\n人質の解放が何よりも先決なのだ。」	“被费利克斯洗脑的学生们，\n相当于人质。\n解救人质比任何事情都优先。”
「おやおや。\nさすがは斑鳩警察本部所属の真田警部。」	“哎呀呀，\n不愧是隶属斑鸠警察总部的真田警部。”
