# Gekko Episode of Nova Chinese patch
# Format: exact source text<TAB>Chinese text. Use \n, \t and \\ escapes.
はい	是
いいえ	否
キャンセル	取消
もどる	返回
クリア	清除
リトライ	重试
履歴	历史
セーブ	保存
ロード	读取
オン	开
オフ	关
スキップ	跳过
なし	无
サウンド	声音
レビュー	回顾
リストア	恢复
ダウンロード	下载
言語	语言
●デバッグ情報	●调试信息
●デバッグログ	●调试日志
●デバッグメニュー	●调试菜单
セーブ消去＆終了	删除存档并退出
ｷｬｯｼｭﾌｧｲﾙ削除	删除缓存文件
「宴」のセーブデータを消去	删除游戏存档数据
「宴」のセーブデータを全て消去しますか？	要删除全部游戏存档数据吗？
「宴」のキャッシュファイルを消去	删除游戏缓存文件
「宴」のキャッシュファイルを全て消去しますか？	要删除全部游戏缓存文件吗？
「宴」の出力ファイルを消去	删除游戏输出文件
「宴」の出力ファイル（セーブデータとキャッシュファイル）を全て消去しますか？	要删除全部游戏输出文件（存档数据与缓存文件）吗？
ダウンロード中です...	正在下载……
ダウンロード完了！	下载完成！
ネットワークにつながっていません	未连接到网络
サイズの大きいデータがダウンロードされます。Wifi接続ではないですがよろしいですか。	即将下载大容量数据。当前未连接 Wi-Fi，是否继续？
アプリをバージョンアップする必要があります。ストアからアプリを最新に更新して下さい。	应用需要更新。请前往商店更新到最新版本。
ネットワーク接続エラーが発生しました。	发生网络连接错误。
初期化エラー。ゲームの起動失敗しました。	初始化错误。游戏启动失败。
再ﾀﾞｳﾝﾛｰﾄﾞ	重新下载
はじめから	开始游戏
コンフィグ	设置
戻る	返回
タイトル	标题
ﾃﾞﾌｫﾙﾄ\nに戻す	恢复默认
メッセージ速度	文字速度
自動メッセージ速度	自动文字速度
ウインドウの透明度	窗口透明度
未読でもスキップする	跳过未读文本
選択肢でスキップ解除	遇到选项时取消跳过
マウスホイールで\n文字送り	使用鼠标滚轮翻页
フルスクリーン表示	全屏显示
音量	音量
全体	全部
環境音	环境音
ボイス	语音
次の音声まで再生を続ける	播放至下一段语音
クリックで停止	点击停止
CG回想	CG回想
シーン回想	场景回想
サウンドルーム	音乐鉴赏
ギャラリー	画廊
ゲームを終了しますか？	要结束游戏吗？
「やっほー。\n『<ruby=げっこう>月光</ruby>のソードブレイカー ノヴァ編』を\nダウンロードしてくれてありがとー。」	嗨！\n谢谢你下载《月光的破剑者：诺瓦篇》！
「私はこのゲームのヒロインの一人。\n『<ruby=さみだれ>五月雨</ruby>サツキ』だよ。」	我是这部游戏的女主角之一。\n我叫五月雨皋月。
「それでは皆さん、またお会いしましょー。\n『<ruby=げっこう>月光</ruby>のソードブレイカー ノヴァ<ruby=へん>編</ruby>』！\nお楽しみに！」	那么，各位，我们下次再见！\n《月光的破剑者：诺瓦篇》！\n敬请期待！
