# Chapter 1 continuation: a new day and a forgotten past
「ありがとう！\nありがとうございます！\nリスナーの皆様！」	“谢谢！\n真的非常感谢！\n各位听众！”
「このノヴァちゃんねるは\nリスナーの皆様により支えられております！」	“诺瓦频道能走到今天，\n全靠各位听众的支持！”
「さあさあ！もうした人もまだの人も\n高評価、チャンネル登録、\nよろしくお願いするッスー！」	“来来来！已经点过和还没点的朋友，\n请给个好评、订阅频道，\n拜托啦——！”
「今後ともノヴァちゃんねるを\nよろしくお願いするッスよー！」	“今后也请继续支持诺瓦频道，\n拜托啦——！”
（なんという熱狂、なんという盛り上がり。\n伊達に学園アイドルをやってはいない。\nノヴァはアイドルを本気でやっているのだ。）	（多么狂热，多么喧闹。\n诺瓦并不是徒有其名的学院偶像，\n她是认真在做偶像的。）
（それもすべては金の為。\nノヴァのアイドル活動は<ruby=ばくだい>莫大</ruby>な利益を発生させる。\nこいつはファンから金を巻き上げる金の<ruby=もうじゃ>亡者</ruby>だったのだ。）	（但这一切全都是为了钱。\n诺瓦的偶像活动能带来<ruby=ばくだい>巨额</ruby>收益，\n她就是从粉丝身上敛财的金钱<ruby=もうじゃ>亡灵</ruby>。）
（ノヴァとの同棲生活初日。\nノヴァの新たな一面を知ると同時に\nまったく予想していない始まり方をしたのであった。）	（与诺瓦同居生活的第一天。\n我认识了诺瓦不为人知的一面，\n这段生活也以完全意想不到的方式开始了。）
「……遅い。」	“……太慢了。”
「何がですか？」	“什么太慢？”
「<ruby=きこういん>機巧院</ruby>からの定時連絡だ。\n奴が<ruby=いかるがけいさつりょう>斑鳩警察寮</ruby>に戻ってからというもの\nまったく<ruby=おとさた>音沙汰</ruby>が無くなったではないか。」	“是<ruby=きこういん>机巧院</ruby>的定时联络。\n自从那家伙回到<ruby=いかるがけいさつりょう>斑鸠警察宿舍</ruby>，\n就完全<ruby=おとさた>杳无音讯</ruby>了。”
「あー。そういえばそうですねえ。\n報告が無いッて事は\n特に進捗は無いんじゃないですかねえ。」	“啊，说起来确实如此。\n没有报告，说明\n应该没有什么进展吧。”
「フェイリクス捕獲任務は<ruby=いかるがけいさつほんぶ>斑鳩警察本部</ruby>の重要任務。\n進捗があろうが無かろうが定時連絡はあって\n<ruby=しか>然</ruby>るべきだ。」	“逮捕费利克斯是<ruby=いかるがけいさつほんぶ>斑鸠警察总部</ruby>的重要任务。\n无论有没有进展，都理应按时联络，\n这是<ruby=しか>理所当然</ruby>的。”
