# Chapter 1 continuation: the capture mission
「<ruby=しょくん>諸君</ruby>に来てもらったのは他でもない。」	“把各位<ruby=しょくん>诸君</ruby>叫来，是因为有件重要的事。”
「先ほどPTA会長であるカグヤ殿から\n斑鳩警察に対し、\n正式にフェイリクス捕獲の任務が<ruby=くだ>下</ruby>った。」	“刚才，PTA会长辉夜阁下已正式向斑鸠警察\n<ruby=くだ>下达</ruby>了\n逮捕费利克斯的任务。”
「本当はフェイリクスの<ruby=しまつ>始末</ruby>だったんですけどね。」	“其实她一开始说的是<ruby=しまつ>处决</ruby>费利克斯。”
「そりゃまた物騒な事で。」	“那可真够危险的。”
「まぁ、カグヤさんなら言いかねないッスねー。」	“换成辉夜女士，确实说得出这种话。”
「あれはカグヤ殿が事を<ruby=せ>急</ruby>いているに過ぎん。\n実際はフェイリクスの洗脳から\n生徒達を解放さえ出来れば良いのだ。」	“那只是辉夜阁下<ruby=せ>急于求成</ruby>。\n实际上，只要能把学生们\n从费利克斯的洗脑中解放出来就够了。”
「そこは真田警部の<ruby=こうしょうりょく>交渉力</ruby>によって\n<ruby=おんびん>穏便</ruby>に話をまとめ、\n捕獲という事になったわけです。」	“这都是多亏真田警部的<ruby=こうしょうりょく>谈判能力</ruby>，\n把事情<ruby=おんびん>和平</ruby>地谈妥，\n最后才改成了逮捕。”
「斑鳩警察は犯罪者の始末をする組織では無い。\nあくまで犯罪者を確保し、\n己の罪を償わせるという<ruby=たいぎ>大義</ruby>があるのだ。」	“斑鸠警察不是处决罪犯的组织。\n我们的<ruby=たいぎ>大义</ruby>是逮捕罪犯，\n让他们为自己的罪行赎罪。”
「本来、<ruby=むやみ>無闇</ruby>に血を流すのは我々としても<ruby=とくさく>得策</ruby>では無いのだ。\nとは言ってもこの考えが<ruby=しんとう>浸透</ruby>していない部署もあるがな。」	“本来，<ruby=むやみ>无谓</ruby>流血对我们来说也不是<ruby=とくさく>上策</ruby>。\n不过，警队里也有些部门还没<ruby=しんとう>理解</ruby>这一点。”
「捕獲かー。\n<ruby=とうばつ>討伐</ruby>だったら楽だったのになー。」	“逮捕啊。\n要是<ruby=とうばつ>讨伐</ruby>就轻松多了。”
「お前も物騒な事言ってるぞ。」	“你也说得够危险了。”
「まったく。\nお前達諜報部は何故こうも<ruby=ち>血</ruby>の<ruby=け>気</ruby>が多いのだ。」	“真是的。\n你们情报部怎么总是这么<ruby=ち>血</ruby><ruby=け>气方刚</ruby>。”
「ほらノヴァさんのせいで\n我々諜報部の<ruby=ひんい>品位</ruby>が疑われてるじゃないですか。」	“看吧，都怪诺瓦小姐，\n连我们情报部的<ruby=ひんい>品位</ruby>都要被怀疑了。”
「天道さんに<ruby=ひんい>品位</ruby>なんてものがあったんスか？」	“天道先生居然还有<ruby=ひんい>品位</ruby>这种东西？”
「酷い事をおっしゃりますねぇ。\n諜報部の<ruby=ひんい>品位</ruby>の<ruby=かたまり>塊</ruby>のような存在の私に対して。」	“真过分啊。\n我可是情报部<ruby=ひんい>品位</ruby>的<ruby=かたまり>化身</ruby>。”
「そうか。すごいな。」	“是吗，真厉害。”
