# Chapter 1 continuation: Yuto watches from hiding
「<ruby=にく>憎</ruby>い…ッ！」	“真是<ruby=にく>可恨</ruby>……！”
「憎い憎い憎い…ッ！」	“可恨可恨可恨……！”
「あのクソ野郎ッ！\nフェイリクスのクソ野郎が憎いッ！」	“那个混蛋！\n费利克斯那个混蛋，实在可恨！”
「今すぐこの手で野郎を<ruby=や>八</ruby>つ<ruby=ざ>裂</ruby>きにしてやりたい…ッ！！」	“真想现在就亲手把那家伙<ruby=や>大卸</ruby><ruby=ざ>八块</ruby>……！！”
「ちょっと川島さん。\nまたこんなところで<ruby=えんさ>怨嗟</ruby>を垂れ流していたんスか。」	“等一下，川岛先生。\n你怎么又躲在这里倾泻<ruby=えんさ>怨恨</ruby>？”
「だって…ッ！フェイリクスのクソ野郎が…ッ！\nユリ姉を…ッ！俺から大切なものを\nすべて奪っていったんだ…ッ！許せるわけがねぇよ…ッ！」	“因为……！费利克斯那个混蛋……！\n他把百合姐……把我珍视的一切，\n全都夺走了……！我怎么可能原谅他……！”
「そんなに<ruby=なげ>嘆</ruby>くほど嫌なら見なければいいのに。」	“既然讨厌到如此<ruby=なげ>悲叹</ruby>，不看不就好了。”
「そうだとも…ッ！\nフェイリクスにデレデレしてる\nユリ姉なんか見たくはねぇ…ッ！」	“没错……！\n我根本不想看到百合姐\n对费利克斯那副亲热模样……！”
「だ、だが…ッ！」	“可、可是……！”
「く、悔しい…ッ！でも…ッ！\n死ぬほど嫌だけど何故か目が<ruby=くぎづ>釘付</ruby>けになってしまう…ッ！\nう、うわあああ…ッ！何故だぁ…ッ！」	“好、好不甘心……！可是……！\n明明讨厌得要死，视线却莫名被<ruby=くぎづ>牢牢吸住</ruby>……！\n呜、呜哇啊啊……！为什么……！”
「あー。これば<ruby=ネトラレ>NTR</ruby>適正がありますなぁ。\n<ruby=ネトラレ>NTR</ruby>によって川島さんは<ruby=けんおかん>嫌悪感</ruby>と同時に\n<ruby=よろこ>悦</ruby>びを感じているのです。」	“啊——，看来你很有<ruby=ネトラレ>NTR</ruby>资质。\n<ruby=ネトラレ>NTR</ruby>让川岛先生在感到<ruby=けんおかん>厌恶</ruby>的同时，\n也感受到了<ruby=よろこ>愉悦</ruby>。”
「ば、馬鹿な…ッ！\n違う…ッ！俺は正常だ…ッ！\nそんな事、あるはずがねぇ…ッ！」	“怎、怎么可能……！\n不对……！我是正常的……！\n绝不可能有这种事……！”
「そうじゃなかったら毎朝こうして\nユリせんせーの<ruby=ネトラレ>NTR</ruby>現場を\nウォッチングしてないッスよ。」	“否则你也不会每天早上都像这样，\n偷偷观察百合老师的\n<ruby=ネトラレ>NTR</ruby>现场。”
「お、俺が<ruby=きょうじん>狂人</ruby>…ッ！？俺がクレイジー…ッ！？\nク、クソ…ッ！俺を狂わせたのはすべて\nフェイリクスのクソ野郎のせいだ…ッ！」	“我、我是<ruby=きょうじん>疯子</ruby>……！？我疯了……！？\n可、可恶……！把我逼疯的这一切，\n全都是费利克斯那个混蛋的错……！”
「うわー。どんどん症状が酷くなっていく。\n早くなんとかしないと。」	“哇——，症状越来越严重了。\n得赶紧想想办法。”
