# Epilogue route continuation: Yuto's forgotten school life
<Character=サツキ>怒り4	<Character=サツキ>愤怒4
「あー。　やっぱり忘れてるー。\nまぁ会うのは１ヵ月ぶりだし、仕方ないかぁ。」	“啊——果然忘了。\n毕竟一个月没见，没办法啦。”
<Off>悲しみ	<Off>悲伤
「あ、もしかして俺が入院する前に会った子か？\n悪い。　俺、大怪我した時、\n頭打ったみたいで前後の記憶曖昧なんだよな。」	“啊，你是我住院前见过的女孩吗？\n抱歉，我受重伤时好像撞到了头，\n前后的记忆有点模糊。”
<Character=サツキ>悲しみ2	<Character=サツキ>悲伤2
「そうだったんだ。\nなんだか大変だったみたいだね。」	“原来是这样。\n看来你经历了不少事。”
<Off>笑み2	<Off>笑容2
「ああ、でもそんな気にしなくてもいいぜ。\n記憶の方はまだ戻ってないところあるけど、\n怪我は完治して、この通りピンピンしてる。」	“嗯，不过不用太在意。\n记忆还有些没恢复，\n但伤已经痊愈，看我现在多精神。”
<Character=サツキ>笑顔3	<Character=サツキ>笑脸3
「それは良かった。\nじゃあ、改めて自己紹介だね。」	“那就好。\n那我们重新自我介绍吧。”
「私は聖皇学園１年Ａ組\n<ruby=さみだれ>五月雨</ruby>サツキ。　よろしくね。」	“我是圣皇学园一年A班的\n<ruby=さみだれ>五月雨</ruby>皋月，请多关照。”
<Off>笑み	<Off>笑容
「俺は２年Ｆ組、<ruby=かわしま>川島</ruby>ユート。\nよろしくな。　<ruby=さみだれ>五月雨</ruby>。」	“我是二年F班的<ruby=かわしま>川岛</ruby>悠斗。\n请多关照，<ruby=さみだれ>五月雨</ruby>。”
「私のことはサツキでいいよ。」	“叫我皋月就好。”
「あ、あぁ。　じゃあサツキ。」	“啊，好。那就皋月。”
「うん。」	“嗯。”
「そういえば、サツキって後輩なのに\n結構砕けた話し方だよな？\nそんなに俺と仲良かったのか？」	“话说，皋月明明是学妹，\n说话却挺随意的。\n我们以前很熟吗？”
「うーん。\n一回だけ会ってお話ししたぐらいかな？」	“嗯——。\n好像只见过一次、聊过几句？”
「ほぼ他人じゃねぇか。\n思いのほかフレンドリーだから、\n割と付き合いあったのかと思ったぞ。」	“那不就是基本上的陌生人吗。\n你这么友好，\n我还以为我们关系不错。”
「でも、ユートくんの方から\nタメ口でいいって言ってたよ。」	“可是悠斗你自己说过\n可以不用敬语的。”
「そうなのか。\nちなみにその時、俺とどんな話を？」	“是吗。\n那时候我们聊了什么？”
「えーと。　私とユートくんは同じチームに所属していて、\n騎士団とか魔王軍とか悪い人達と戦っていたとかなんとか。\nそれで、ラスボスを倒すのに協力して欲しいって言われた。」	“嗯……我和悠斗属于同一个队伍，\n好像一直在和骑士团、魔王军之类的坏人战斗。\n他还请我帮忙打倒最终Boss。”
「…それなんのゲームの話？\n流行ってんの？」	“……那是什么游戏？\n最近流行吗？”
「さあ？」	“谁知道？”
<Off>悲しみ4	<Off>悲伤4
「……新手のナンパじゃねーだろうな。\n過去の俺よ。」	“……过去的我不会是在用新式搭讪吧。\n过去的我啊。”
「最初は何のことかさっぱりだったんだけど、\n嘘を言ってるようには思えなくて、\n何だか一生懸命な感じがしたんだよ。」	“一开始我完全听不懂，\n但觉得他不像在撒谎，\n反而很认真。”
「どうしてもラスボスを、\n倒したかったんじゃないかな？」	“也许他真的很想\n打倒最终Boss吧？”
「ふーん。」	“哦——。”
「とうちゃーく。」	“到啦——。”
（そんなこんなで\nサツキと他愛も無い話をしながら、\n学園に辿り着いた。）	（就这样，\n我和皋月闲聊着，\n不知不觉来到了学校。）
（―――――”<ruby=せいおうがくえん>聖皇学園</ruby>”。\nここが俺達が学園だ。）	（————“<ruby=せいおうがくえん>圣皇学园</ruby>”。\n这里就是我们就读的学校。）
女子生徒Ａ	女学生A
「サツキ。　おはよー。」	“皋月，早上好。”
「あ、吉川さんおはよー。」	“啊，吉川同学，早上好。”
「それじゃね。　ユートくん。」	“那再见，悠斗。”
「おう。　じゃあここでな。」	“好，那就在这里分别吧。”
（サツキは友達と挨拶をかわしながら、\n昇降口へと向かっていった。）	（皋月和朋友互相打过招呼，\n走向校门厅。）
髪の長い女子	长发女生
<Character=ミナト>真顔-M	<Character=ミナト>面无表情-M
「五月雨さんと話していたわね。」	“你刚才和五月雨说话吧。”
「おわっ！　びっくりしたぁ！」	“哇！吓我一跳！”
<Character=ミナト>怪訝	<Character=ミナト>疑惑
「……人の顔見て叫び声を上げるなんて無礼な男ね。」	“……看到别人的脸就尖叫，真没礼貌。”
「気配消して近づくとかタダ者じゃねぇな。\n戦闘力でもコントロール出来んかよ。」	“消除气息靠近，看来不是普通人。\n不能把战斗力也控制一下吗。”
<Character=ミナト>怒り4	<Character=ミナト>愤怒4
「は？　久々に見かけたと思えば、\nまた<ruby=ざれごと>戯言</ruby>を抜かすのね。\nあの時みたいに。」	“哈？难得见到你，\n又开始说<ruby=ざれごと>胡话</ruby>了。\n和那时一样。”
「あー…もしかして、\n俺の知り合いか？\n悪い。実は記憶が……。」	“啊……你是我认识的人？\n抱歉。\n其实我的记忆……”
<Character=ミナト>目閉じ	<Character=ミナト>闭眼
「知ってるわ。\n頭の打ちどころが悪かったのよね。\nご愁傷様。」	“我知道。\n你撞到头了吧。\n节哀。”
<Off>思案	<Off>思考
「……一応確認しておくが、\nそれは<ruby=いた>労</ruby>わりの言葉という認識でいいんだよな？」	“……我确认一下，\n你这是在<ruby=いた>慰问</ruby>我，对吧？”
「私は２年Ｆ組<ruby=しどう>獅堂</ruby>ミナト。\nこの学園を<ruby=ぎゅうじ>牛耳</ruby>る生徒会長よ。\n今度は忘れないようにその頭に刻みつけておきなさい。」	“我是二年F班的<ruby=しどう>狮堂</ruby>凑。\n是<ruby=ぎゅうじ>掌控</ruby>这所学校的学生会长。\n这次给我牢牢记在脑子里。”
「俺の質問は無視かよ。\n……え？なに？\n生徒会長って学園を牛耳るだけの権力あんの？」	“无视我的问题吗。\n……诶？什么？\n学生会长有掌控学校的权力？”
「そんなことより、\n五月雨さんとどういう関係？」	“先别管那个，\n你和五月雨是什么关系？”
<Off>真顔	<Off>面无表情
「五月雨…、あぁサツキか。\nいや、まだ少し話したぐらいの仲だけど。」	“五月雨……啊，你说皋月。\n没什么，只是聊过几句。”
「ふーん。\nその割にはやけに親しそうじゃない。」	“哦——。\n可你们看起来很亲密嘛。”
「そう言われましても。」	“你这么说我也……”
「まぁいいわ。　今日のところは見逃してあげる。」	“算了，今天就放过你。”
「何を見逃されたんだ俺は……。」	“我到底被放过了什么……”
<Character=アメリア>怒り	<Character=アメリア>愤怒
「か、川島ユートっ！」	“川、川岛悠斗！”
「今度は誰だ……？」	“这次又是谁……？”
「あ、あんた！\n私にあんなことをしておいて、\n一か月も音沙汰無いってどういうことよ！？」	“你、你这家伙！\n对我做了那种事以后，\n一个月都杳无音信，究竟是什么意思！？”
「え？　俺また何かしちゃいましたか？」	“诶？我又做了什么吗？”
<Character=アメリア>怒り6・照れ	<Character=アメリア>愤怒6・害羞
「と、とぼけんじゃないわよ…っ！\nし、したじゃない！　か、壁ドン…！」	“不、不许装傻……！\n你明明做过！就、就是壁咚……！”
「壁ドン……。」	“壁咚……”
<Character=アメリア>悲しみ4・照れ	<Character=アメリア>悲伤4・害羞
「わ、私、男の人に壁ドンされたの初めてで…！\nそれでそれで…っ！」	“我、我还是第一次被男生壁咚……！\n然后、然后……！”
「すまん。　何のことか覚えてない。」	“抱歉，我不记得你说的是什么。”
<Character=アメリア>怒り5	<Character=アメリア>愤怒5
「はあ！？」	“哈啊！？”
男子生徒Ａ	男学生A
「委員長。　川島は先日大怪我をした際に\n頭を打っており、記憶の混濁がみられるとのことです。\n委員長のことも忘れている可能性があります。」	“委员长。川岛前几天受重伤时撞到了头，\n据说记忆出现了混乱。\n他可能连委员长你都忘了。”
「なんですって！？\nあ、あんた！　じゃああの時、\nこの私に言ったこと忘れたの！？」	“你说什么！？\n你、你这家伙！那你把当时\n对我说过的话也忘了吗！？”
「あ、ああ。　そうみたいだ。」	“啊，嗯。好像是这样。”
<Character=アメリア>怒り6	<Character=アメリア>愤怒6
「…っ！　…ざけんな。」	“……！开什么玩笑。”
「え？」	“诶？”
「ふざけんな！　バーカバーカ！\nこっちだってあんたのことなんか、\n忘れてやるわよ！　バーカ！」	“开什么玩笑！笨蛋笨蛋！\n我也会把你这种家伙，\n彻底忘掉！笨蛋！”
<Off>呆れ	<Off>无语
「えぇ……。」	“呃……”
「彼女は我が学園の風紀委員長、\n<ruby=たてがみ>盾守</ruby>アメリアだ。」	“她是本校的风纪委员长，\n<ruby=たてがみ>盾守</ruby>艾米莉亚。”
「<ruby=たてがみ>盾守</ruby>、ねぇ。」	“<ruby=たてがみ>盾守</ruby>……是吗。”
「川島ユート。\n君は複数の女性を次から次へと\n口説いた軟派男だと聞いている。」	“川岛悠斗。\n听说你是个接二连三\n勾搭女性的轻浮男人。”
「まじかよ。」	“真的假的。”
「私はあまり噂を<ruby=うの>鵜呑</ruby>みにするような人間ではないが、\n我々の委員長に手を出す事は絶対に許さん。\n肝に銘じておけ。」	“我不是会轻易<ruby=うの>盲信</ruby>传闻的人，\n但你胆敢对我们的委员长出手，我绝不允许。\n给我牢牢记住。”
「……なんだったんだ。」	“……她到底是怎么回事。”
男子生徒Ｂ	男学生B
「よー。　川島ー！\n退院おめでとー！\n調子はどうだ？」	“哟，川岛！\n恭喜出院！\n身体怎么样？”
「よう。\nまぁ、まだ病み上がりってのもあるが、\nこの通り、怪我は完治したぜ。」	“哟。\n虽然还算刚病愈，\n不过你看，伤已经痊愈了。”
